ID,CABALLO,POSICION,EDAD,KG,JINETE,CUADRA,PREPARADOR,CAJÓN,HIPODROMO,DISTANCIA,PISTA
4_19-01-2014,WHISTLEINTHEWIND (IRE),8,7,64,R. SOUSA (62),NANINA,"CALDERON, J.",11,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,FINLEY CONNOLLY (IRE),3,5,62,J.L. MARTINEZ,JEPE,"ALVAREZ, M.",4,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,JOKAN (FR),1,5,62,O.O. DE URBINA,FRANCISCO SANTOS,"CERQUEIRA., J.C",5,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,REA SILVIA (IRE),7,4,58,J.E. JARCOVSKY,LABERINTO,"GOMEZ, G.",2,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,AREZU,9,4,57,V. JANACEK,REZA PAZOOKI,"RODRIGUEZ, F.",6,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,EL AFRICANO,10,7,57,J. HORCAJADA,LAS AGUILAS,"IVANOVA, E.",8,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,BALON DE ORO,2,4,56,J. CROCQUEVIEILLE,ASTURLEÑA,"LOPEZ, J.",7,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,SANTUZZO,4,4,56,"SR. DE JULIAN, N. (54)",CALVENTE CHECA,"RODRIGUEZ, J.A.",10,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,SYRILLUS (IRE),12,8,56,M. GOMES,MAIA ALFE,"VIDINHA, C.",9,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,CHATARRILLA (FR),5,5,55,A. GOMEZ,CELSO MENDEZ,"ALVAREZ, M.",3,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,MARENGO,11,4,55,"B. FAYOS (55,5)",YEGUADA CORTIÑAL,"RODRIGUEZ, J.A.",12,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
4_19-01-2014,MAGIC POMMIER (GB),6,4,54,"R, RAMOS (54,5)",LOS NIÑOS,"SALGUERO, J.",1,Gran Hipódromo de Andalucía Javier Piñar Hafner,1800,HIERBA
