ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_16-07-2011;VIVANCO;1;3;62;E. MELIAN (60);Y. CORTIÑAL;J. M. BORREGO R.;7;Hipódromo Costa del Sol.;1800;ARENA
1_16-07-2011;HERRI IRRATIA;5;3;60;J. HORCAJADA;MADROÑOS;B. RAMA;6;Hipódromo Costa del Sol.;1800;ARENA
1_16-07-2011;FANDIÑO;7;3;57;J. CROCQUEVIEILLE;CACHARELA;J. A. RODRIGUEZ;5;Hipódromo Costa del Sol.;1800;ARENA
1_16-07-2011;OLINA;4;4;55;B. FAYOS;KINGS RACING;B. RAMA;2;Hipódromo Costa del Sol.;1800;ARENA
1_16-07-2011;BELIDO;3;7;54;M. GOMES;NORTENHA;T. MARTINS;1;Hipódromo Costa del Sol.;1800;ARENA
1_16-07-2011;BLANCA DE NAVARRA;2;4;52;M. SECCI;ALDARA;G. ARIZCORRETA;3;Hipódromo Costa del Sol.;1800;ARENA
1_16-07-2011;VALESKA;6;3;52;R. NAYLOR (51);VIENTOS DEL SUR;J. SALGUERO;4;Hipódromo Costa del Sol.;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_16-07-2011;CALLSIDE(IRE);7;2;57;J. GROSJEAN;SAFSAF;E. LEON;8;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;DESEADO;3;2;57;J. CROCQUEVIEILLE;SUREÑA;J. A. RODRIGUEZ;7;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;EL VIRGINIANO;5;2;57;O. ORTIZ DE URBINA;ENALTO;R. LOPEZ;2;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;CANELA FINA;4;2;55,5;V. JANACEK;SOÑADOR;J. SALGUERO;3;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;BENTAYGA(IRE);1;2;55;I. LOPEZ (56);INSTAGONZA;O. ANAYA;1;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;THOMAS CHURCHYARD(GB);8;2;55;B. FAYOS;CARRERAS INT;J. L. EYRE;6;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;EMIRATY CUP(POR);9;2;53,5;P. JORGE (54);INTERNORTE;T. MARTINS;4;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;LA NIÑA(IRE);6;2;53,5;M. GOMES;ROCHE;M. ALVAREZ;9;Hipódromo Costa del Sol.;1100;ARENA
2_16-07-2011;PIPPA SNUDGE(IRE);2;2;53,5;G. CARTER;SUNSHINE RACING;P. HALEY;5;Hipódromo Costa del Sol.;1100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_16-07-2011;FINISTERRE;3;3;62;V. JANACEK;NORTENHA;T. MARTINS;12;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;THINK TWICE(IRE);13;3;61;G. CARTER;SUNSHINE RACING;P. HALEY;13;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;MAJOR DUDE (GB);10;3;61;O. ORTIZ DE URBINA;RACHAEL TEASDALE RACING;J. L . EYRE;9;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;LAAZEM(IRE);1;4;60,5;I. LOPEZ;HNOS. GARCIA Y VEGA;O. ANAYA;7;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;MAGNUM;4;3;59;J. CROCQUEVIEILLE;Y.CORTIÑAL;J. A. RODRIGUEZ;1;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;EL PIPA HI;11;3;56;A. FUSCO;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;10;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;AMERVI;7;3;55;J. GROSJEAN;LOS TONELES;F. RODRIGUEZ;6;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;DELIRADA;99;3;55;M. S. SALOKANTO(57) (B.R.);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;15;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;SHAHBANOU(GB);5;4;54,5;B. FAYOS(55);YANKEE RACING;B. RAMA;4;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;MORANTE;8;3;54;E. MELIAN (52);CELANOVA;J. A. RODRIGUEZ;11;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;NORTH EAST CORNER(USA);9;5;53,5;P. L. ROQUE;CASTILLO DE CHARETA;B. RAMA;8;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;BATILIA;12;3;53;R. NAYLOR (51);DUO;J. SALGUERO;3;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;NAZARENO HEN(IRE);2;3;53;M. GOMES (B.B.);DUO;J. SALGUERO;2;Hipódromo Costa del Sol.;1300;ARENA
3_16-07-2011;EL LOLO(IRE);6;5;51,5;SRTA. ZAPICO, S. (52,5);EL LOBO;O. ANAYA;5;Hipódromo Costa del Sol.;1300;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4_16-07-2011;BARKING (IRE);6;3;63,5;SR. BENITEZ, D. (61,5);B.P. SAN MATEO;O. ANAYA;2;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;BOMBADIL(IRE);1;4;62;V. JANACEK;JEREZANA;J. CALDERON;12;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;ALTERNATIVE(GB);5;7;60;O. ORTIZ DE URBINA;SANLUQUEÑA;J. CALDERON;7;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;BORKEN(FR);3;6;60;J. E. JARCOVSKY;NANINA;J. CALDERON;5;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;STORMY MONTLIOUX(FR);2;4;60;F. ALVARADO;DIAZMOR;P. DIAZ;8;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;BLACK DIBEL (GB);8;3;59,5;M. S. SALOKANTO;RIISIO S.L;J. C. MARTINEZ;11;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;BOREAS;11;4;59;J. CROCQUEVIEILLE;DQ DE ALBURQUERQUE;J. M OSORIO;1;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;PERFECTAMENTE(GB);7;5;58;M. GOMES;CELSO MENDEZ;E. OLGADO;3;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;SALTERGATE(GB);4;3;57,5;I. LOPEZ;INSTAGONZA;O. ANAYA;4;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;HEART IN MOTION (IRE);9;3;56,5;B. FAYOS;MARTEL SANCHEZ;B. RAMA;9;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;MARACAIBO (FR);10;3;56,5;J. GROSJEAN;SALVADOR ELIZONDO TEKNICA;J. A. RODRIGUEZ;10;Hipódromo Costa del Sol.;1300;ARENA
4_16-07-2011;NOVA GLITTER(IRE);99;3;55,5;V. SANCHEZ(53,5);LUZERPALHA;T. MARTINS;6;Hipódromo Costa del Sol.;1300;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5_16-07-2011;BALATA (GB)(8000);99;6;65;SRTA. ZAPICO, S.;MAZANTINNI;A.CARRASCO;5;Hipódromo Costa del Sol.;2000;ARENA
5_16-07-2011;SANDULCES(8.000);4;4;65;SR. SOTO, A.;CELSO MENDEZ;M. ALVAREZ;2;Hipódromo Costa del Sol.;2000;ARENA
5_16-07-2011;COMANCHE TRAIL(FR)(5.000);2;5;63,5;SR. ESCARIO, J. I.;ASC. SOÑADOR & SUNSHINE RACIN;P. HALEY;1;Hipódromo Costa del Sol.;2000;ARENA
5_16-07-2011;ESQUIMO GREEN (FR)(5000);99;5;63,5;SR. MARTIN, A., R.;BOADILLA DEL MONTE;B. RAMA;8;Hipódromo Costa del Sol.;2000;ARENA
5_16-07-2011;FLOW BOY(IRE)(5.000);3;7;63,5;SR. PINEDA, G.;PADRONESA;J. A. RODRIGUEZ;7;Hipódromo Costa del Sol.;2000;ARENA
5_16-07-2011;NAVARON (5,000);5;5;63,5;SR. GREDILLA, P.;Y. CORTIÑAL;J. M. BORREGO R.;6;Hipódromo Costa del Sol.;2000;ARENA
5_16-07-2011;TURRIALBA (5000);1;4;63,5;SR. BENITEZ, D.;INSTAGONZA;O. ANAYA;4;Hipódromo Costa del Sol.;2000;ARENA
5_16-07-2011;GOLDSIDE(5.000);6;3;59;SRTA. LOPEZ, D.;SAFSAF;M. DELCHER S.;3;Hipódromo Costa del Sol.;2000;ARENA
