ID;CABALLO;POSICION;EDAD;KG;JINETES;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_29-07-2011;BURNING LIGHT(IRE)(9.000);6;4;67;SR. ESTEBAN, O.( 65);CASTILLO DE CHARETA;B. RAMA;6;HIPODROMO COSTA DEL SOL;2200;ARENA
1_29-07-2011;SALSARIX (FR)(9.000);5;6;67;SRTA. RODRIGUEZ, G (65);NANINA;E. OLGADO;5;HIPODROMO COSTA DEL SOL;2200;ARENA
1_29-07-2011;ARAPILES(IRE)(5.000);3;9;64;SR. SANTANA, A (62);REAPERTURA;J. C. LOPERA;1;HIPODROMO COSTA DEL SOL;2200;ARENA
1_29-07-2011;COMANCHE TRAIL(FR)(5,000);2;5;64;SR.DE JULIAN.N (60);ASC. SOÑADOR & SUNSHINE RACIN;P. HALEY;7;HIPODROMO COSTA DEL SOL;2200;ARENA
1_29-07-2011;OLZA (GB) (7.000);1;4;64;SRTA. BUESA, C. (62);ESCUDERIA TOSCANA;M. AUGUELLI;3;HIPODROMO COSTA DEL SOL;2200;ARENA
1_29-07-2011;TALISMANIX (FR) (5,000);4;5;64;SR. PINEDA, G (62);TALISMAN;J. A. RODRIGUEZ;4;HIPODROMO COSTA DEL SOL;2200;ARENA
1_29-07-2011;LOVELY SILENCE (FR)(5.000);7;3;59;SR. ACUÑA, J . (61);EQUIMANOS;J. OLIVEIRA;2;HIPODROMO COSTA DEL SOL;2200;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETES;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_29-07-2011;MONDOÑEDO;3;2;56;I. LOPEZ;PEREIRA S.A.T.;J. C. LOPERA;3;HIPODROMO COSTA DEL SOL;1200;ARENA
2_29-07-2011;PIPPA SNUDGE(IRE);1;2;54,5;F. LYNCH;SUNSHINE RACING;P. HALEY;6;HIPODROMO COSTA DEL SOL;1200;ARENA
2_29-07-2011;EL TIBET(IRE);4;2;54;J. CROCQUEVIEILLE (54,5);MARIA DE SALAS;M. ALVAREZ;1;HIPODROMO COSTA DEL SOL;1200;ARENA
2_29-07-2011;ORDEE(FR);2;2;52,5;V.JANACEK (54,5);INTERNORTE;T. MARTINS;2;HIPODROMO COSTA DEL SOL;1200;ARENA
2_29-07-2011;PACHA;6;2;52,5;E. MELIAN;SOÑADOR;J. C. LOPERA;4;HIPODROMO COSTA DEL SOL;1200;ARENA
2_29-07-2011;VALKIRIA;5;2;52,5;M. GOMES;TUKANA;J. C. LOPERA;5;HIPODROMO COSTA DEL SOL;1200;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETES;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_29-07-2011;COQUETA;1;3;62;E. MELIAN (60);COLISA;J. A. RODRIGUEZ;1;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;MORANTE;2;3;61;F. LYNCH;CELANOVA;J. A. RODRIGUEZ;10;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;DEDDO;5;5;61;V.JANACEK;LUZERPALHA;T. MARTINS;4;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;REY DE OROS(IRE);6;3;61;J. CROCQUEVIEILLE;LUCHANA;E. GALLARDO;8;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;BATILIA;10;3;60;M.GOMES;DUO;J. SALGUERO;7;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;EUROBETIS;3;5;60;J.L. BORREGO;LA GOYA;E. GALLARDO;5;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;SWEET SARATOGA(IRE);9;5;60;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;2;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;TICIA BERE (FR);8;4;60;R. NAYLOR (58) (B.R);CASTILLO DE CHARETA;B. RAMA;6;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;ACCOMPLISH(GB);4;9;59;R.H.HUAYAS;AIRES DE DOÑANA;E. OLGADO;3;HIPODROMO COSTA DEL SOL;1800;ARENA
3_29-07-2011;EVA DE SARON;7;3;57;I.LOPEZ;LABERINTO;O. ANAYA;9;HIPODROMO COSTA DEL SOL;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETES;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4_29-07-2011;CARA BLANCA(GB);1;3;62;F. LYNCH;RACHAEL TEASDALE RACING;J. L. EYRE;5;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;BIPOLAR;2;3;62;B. FAYOS;LEVANTE;J. C. FERNANDEZ;6;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;SUISDIVIN (GB);6;5;62;J.L. BORREGO;ODISEA;B. RAMA;9;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;BELIDO;7;7;62;I. LOPEZ;NORTENHA;T. MARTINS;11;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;BLANCA DE NAVARRA;3;4;61;M. SECCI;ALDARA;G. ARIZCORRETA;8;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;HONG KONG BOY(FR);99;5;61;S.P.OLIVEIRA;EQUIMANOS;J. OLIVEIRA;10;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;FIDO DIDO(FR);11;3;59;E. MELIAN (57);SUREÑA;J. A. RODRIGUEZ;3;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;VALESKA;10;3;59;M.GOMES;VIENTOS DEL SUR;J. SALGUERO;7;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;EL PIPA HI;8;3;58;R. NAYLOR (56);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;4;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;HANDSOME HUGO;9;3;58;V. JANACEK;LA SUECA;J. C. LOPERA;1;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;DELIRADA;5;3;58;M.S.SALOKANTO (B.BL);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;13;HIPODROMO COSTA DEL SOL;1800;ARENA
4_29-07-2011;VRAIZEM;4;3;57;R.H.HUAYAS;TURF LA GARE;R. LOPEZ;2;HIPODROMO COSTA DEL SOL;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETES;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5_29-07-2011;KURUCHET (ARG);10;4;65;SR.SOTO, A (63);SAN ACACIO;J. CALDERON;4;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;KAYSERI;1;4;59;J.L. BORREGO;AREVACOS;A. CARRASCO;10;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;SANDULCES;8;4;58;J. E. JARCOVSKY;CELSO MENDEZ;M. ALVAREZ;9;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;COLELARA(FR);5;4;55;V.JANACEK;SANLUQUEÑA;J. CALDERON;1;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;DAVAY(USA);4;3;54;J. CROCQUEVIEILLE;LUIS A. NUÑEZ;J. A. RODRIGUEZ;2;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;FLOW BOY(IRE);3;7;52;SRTA. GELABERT , L (49);PADRONESA;J. A. RODRIGUEZ;8;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;ILLIZMIT (FR);2;6;51;M. GOMES;ORO;J. C. LOPERA;6;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;COVELO;7;6;51;E. MELIAN;PEREIRA S.A.T.;J. C. LOPERA;7;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;MEARI(ARG);9;4;51;R. NAYLOR;MI VIEJITA;J. C. FERNANDEZ;3;HIPODROMO COSTA DEL SOL;1800;ARENA
5_29-07-2011;MUNRO'S DRAGON(GB);6;3;50;M. SECCI (51);NANINA;J. CALDERON;5;HIPODROMO COSTA DEL SOL;1800;ARENA
