;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1-16/10/2011;AROUSA;11;4 años;56,5;J.E.JARCOVSKY;PEREIRA S.A.T.;LOPERA, J.C.;10;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;BARONIA;1;4 años;56,5;V.JANACEK;L'ETOILE;SALAS, J.L. DE;5;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;LA RUBIA (IRE);8;5 años;56,5;R.RAMOS;CIELO DE MADRID;RODRIGUEZ, O.;8;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;MUÑECA BRAVA (IRE);4;4 años;56,5;O.O. DE URBINA;KEMENG, C.D.E.;LOPEZ, R.;7;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;NARYA (IRE);2;4 años;56,5;J.HORCJADA;MIRANDA;DELCHER S., M.;9;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;PANACEA (GB);3;4 años;56,5;J.CROCQUEVIEILLE;DUQUE DE ALBURQUERQUE;OSORIO, J.M.;6;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;TASHA LINDA (IRE);5;4 años;56,5;J.C.CERQUEIRA;PAGANINI;CALLEJO S., T;1;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;WHOSWITHYA (IRE);7;5 años;56,5;J.L.MARTINEZ;JOSE LUIS PEREZ-TOLEDO;PEREZ T., J.L;2;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;BELATE;6;3 años;55;F.JIMENEZ;SAN CRISTOBAL;LOPEZ, J.;3;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;PICHUCA (GB);10;3 años;55;J.L.BORREGO;ROMANA ALTA;PEREZ, M.J.;4;Hipódromo LA ZARZUELA;1600;HIERBA
1-16/10/2011;REENATA (IRE);9;3 años;55;J.GROSJEAN;TOLOSANA;GALDEANO R., F.;11;Hipódromo LA ZARZUELA;1600;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2-16/10/2011;ALDUIDES (IRE);5;2 años;57;V.JANACEK;QUINTO REAL;ARIZKORRETA, G.;6;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;CALLSIDE (IRE);1;2 años;57;J.GROSJEAN;SAFSAF;LEON,E.;4;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;DANIEL BOONE;9;2 años;57;D.DELGADO;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;7;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;EL VIRGINIANO;7;2 años;57;O.O. DE URBINA;ENALTO;LOPEZ, R.;2;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;ESGUES;8;2 años;57;J.C.CERQUEIRA;LA SUECA;LOPERA, J.C.;1;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;FORTUN (IRE);2;2 años;57;J.CROCQUEVIEILLE;BECARES;MAROTO, J.L.;3;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;ILLUNBE (FR);4;2 años;57;F.JIMENEZ;CIELO DE MADRID;RODRIGUEZ, O.;8;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;KIUMARS (IRE);3;2 años;57;S.RUIS;REZA PAZOOKI;RODRIGUEZ, F.;5;Hipódromo LA ZARZUELA;1500;HIERBA
2-16/10/2011;VALERIANO (IRE);6;2 años;55;J.HORCAJADA;MEDITERRANEO;DELCHER S., M.;9;Hipódromo LA ZARZUELA;1500;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3-16/10/2011;LE BIG BOSS (FR);9;6 años;62;F.JIMENEZ;SAN JULIO;MAROTO, J.L.;3;Hipódromo LA ZARZUELA;1600;HIERBA
3-16/10/2011;AS DE THOMAS (GB);7;5 años;62;E.MELIAN (60);CUATRO JOTAS;RECIO, B.;4;Hipódromo LA ZARZUELA;1600;HIERBA
3-16/10/2011;KATIRE (FR);4;3 años;60,5;M.SECCI;POPULAR;ARIZKORRETA, G.;9;Hipódromo LA ZARZUELA;1600;HIERBA
3-16/10/2011;ISAMAN (GB);5;4 años;59;J.CROCQUEVIEILLE;AFRICA;OSORIO, J.M.;10;Hipódromo LA ZARZUELA;1600;HIERBA
3-16/10/2011;GOMINOLA (IRE);11;3 años;58,5;SRTA.GELABERT,L (55,5);CANTER;MARTINEZ, J.L;5;Hipódromo LA ZARZUELA;1600;HIERBA
3-16/10/2011;SARAHZEM;12;3 años;58,5;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;8;Hipódromo LA ZARZUELA;1600;HIERBA
3-16/10/2011;SAPHYRA (IRE);3;6 años;58;V.JANACEK;C.D. DOS TRIOS;HERNANDEZ, M.;1;Hipódromo LA ZARZUELA;1600;HIERBA
