;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1-18/12/2011;VICTOR'S BET;2;60;2;O. O. URBINA;BET VICTOR;P. HALEY;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
1-18/12/2011;HENARES;4;58;2;J. CROCQUEVIEILLE;A'CASIÑA;J. A. RODRÍGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
1-18/12/2011;MASIVO MAN (GB);5;58;2;J. E. JARCOVSKY;CELSO MENDEZ;M. ÁLVAREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
1-18/12/2011;DESEADO;1;56;2;B. FAYOS;SUREÑA;J. A. RODRÍGUEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
1-18/12/2011;PACIFIC TRADER (GB);3;56;2;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2-18/12/2011;ESQUIO;2;66;4;SR. CARMENA M.;PEREIRA SAT;J. C. LOPERA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
2-18/12/2011;DEL COSSA (FR);1;65,5;3;SR. SARABIA D.;RIO CUBAS;J. C. FERNÁNDEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
2-18/12/2011;IRAIZOTZ;7;64,5;4;SR. GREDILLA P.;BANALMÁDENA;A. CARRASCO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
2-18/12/2011;RAAMI (GB);6;64,5;3;SR. GUTIERREZ A. (60,5);B. P. SAN MATEO;O. ANAYA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
2-18/12/2011;ROYAL IMARI (USA);4;64,5;4;SR. MARTIN A. R,;LA TOLEDANA;J. L. MAROTO;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
2-18/12/2011;BANBU;5;62,5;3;SR. SOTO A.;ALBERO;J. C. FERNÁNDEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
2-18/12/2011;OMNIPOTENT (IRE);3;61;3;SR. BENITEZ, D.;INSTAGONZA;O. ANAYA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
2-18/12/2011;VIVA A FRANCA (USA);8;61;3;SRTA. GELABERT L.;YEGUADA CORTIÑAL;J. M. BORREGO;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1800;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3-18/12/2011;ILUSIONISTA;6;65;5;A. GÓMEZ (63);ODISEA;I. GÓMEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
3-18/12/2011;INDIAN LOU;1;63;4;J. CROCQUEVIEILLE;BARREIROS;J. C. ROSELL;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
