ID;CABALLO;POSICION;PESOS;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_24-12-2011;SECRETSIDE (IRE);1;62;3;SR. CARMENA, M.;SAFSAF;F. RODRÍGUEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1600;HIERBA
1_24-12-2011;BETANZOS;5;61;3;SRTA. LÓPEZ L., D.;LLAS;J. L. VALVERDE;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1600;HIERBA
1_24-12-2011;EAGLE CANYON (IRE);4;61;3;SR. SOTO, A.;TINERFE;J. CALDERON;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1600;HIERBA
1_24-12-2011;VIREAL (FR);7;61;3;SR. GREDILLA, P.;ALISARES;A. SANCHEZ C;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1600;HIERBA
1_24-12-2011;BANBU;3;60;3;SR. SANTANA, A. (58);ALBERO;J. C. FERNÁNDEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1600;HIERBA
1_24-12-2011;PADRON;6;60;3;SRTA. STOREN, S.;PEREIRA SAT;J. C. LOPERA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1600;HIERBA
1_24-12-2011;TASHQEEL (GB);2;60;3;SR. BENITEZ, D.;SAN ACACIO;O. ANAYA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1600;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESOS;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_24-12-2011;CANELA FINA;5;56;2;J.M. SANCHEZ CUEVAS;SOÑADOR;J. SALGUERO;10;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;GIMENA;4;56;2;V. JANACEK;REZA PAZOOKI;F. RODRÍGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;POMPON COEUR;2;56;2;J. GROSJEAN;SAFSAF;F. RODRÍGUEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;ALDAMAR;8;54;2;E. MELIÁN;COLISA;J. A. RODRIGUEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;AZAFATA;3;54;2;J. CROCQUEVIEILLE (54,5);PILOTOS 747;J. LÓPEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;CAFFE LATTE;7;54;2;A. GÓMEZ (B. ROJA);SOÑADOR;J. SALGUERO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;EXPATBET (GB);99;54;2;I. LÓPEZ (56);BET VICTOR;P. HALEY;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;EXTRAÑEZA;1;54;2;R. HUAYAS;STUD RIO QUEQUEN;M. J. PEREZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;FOL MOON;9;54;2;J.E. JARCOVSKY;YANKEE RACING;B. RAMA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_24-12-2011;GAMELA;6;54;2;O.O. URBINA (55);DI BENISICHI;B. VALENTI;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESOS;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_24-12-2011;HIGH DOMINO (FR);8;62;4;I. LÓPEZ;ALISARES;A. SANCHEZ C;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;BETICA (GB);6;62;5;J. CROCQUEVIEILLE;VIGO;M. ÁLVAREZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;PEDREÑA;10;61;4;C. FERNÁNDEZ (59);HISPANICA;J. C. FERNÁNDEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;NAZARENO HEN (IRE);7;60;3;J.M. SÁNCHEZ C. (58);DUO;J. SALGUERO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;SANDOVAL (GB);2;59;5;O.O. URBINA;VADILLO;A. CARRASCO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;MUNRO'S DRAGON (GB);4;59;3;V. JANACEK;NANINA;J. CALDERÓN;10;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;FOLGOSO;11;59;3;J. GROSJEAN;MARES;A. GUTIÉRREZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;LUTHJET;1;57;5;R. RAMOS;LAS AGUILAS;G. VILLARTA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
3_24-12-2011;EL LOLO (IRE);3;54;5;F. JIMÉNEZ (55);EL LOBO;O. ANAYA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
