ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_04-12-2011;BENTAYGA (IRE);6;59;2;I. LÓPEZ;INSTAGONZA;O. ANAYA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
1_04-12-2011;HENARES;2;59;2;V. JANACEK;A' CASIÑA;J. A. RODRÍGUEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
1_04-12-2011;MASIVO MAN (IRE);7;59;2;J.E. JARCOVSKY;CELSO MÉNDEZ;M. ÁLVAREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
1_04-12-2011;CATTIVA (FR);1;57,5;2;O.O. URBINA;DI BENISICHI;B. VALENTÍ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
1_04-12-2011;DESEADO;3;57;2;D. DELGADO;SUREÑA;J. A. RODRÍGUEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
1_04-12-2011;CANELA FINA;99;55,5;2;A. GÓMEZ;SOÑADOR;J. SALGUERO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
1_04-12-2011;VALLARTA;4;55,5;2;R. RAMOS (56);COSTA LA VALL;B. J. RECIO;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
1_04-12-2011;LA NIÑA;5;53,5;2;J.L. MARTÍNEZ;ROCHE;M. ÁLVAREZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_04-12-2011;YES WE COULD (FR);7;62;4;B. FAYOS;SILVER;T. MARTINS;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_04-12-2011;SANDOVAL (GB);1;62;5;O.O. URBINA;VADILLO;A. CARRASCO;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_04-12-2011;EL LOLO;4;62;5;I. LÓPEZ;EL LOBO;O. ANAYA;12;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
2_04-12-2011;AMERVI;8;62;3;J. GROSJEAN;LOS TONELES;F. RODRÍGUEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
