ID;CABALLO;POSICION;PESO;EDAD;CUADRA;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_22-01-2012;JUAN DANIEL;2;58;3;J.L. BORREGO;JEREZANA;J. CALDERON;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;VRAIVITA;4;57,5;3;O.O. URBINA;MARISOL;R. LOPEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;GOLDEN;5;57;3;C. FERNANDEZ (55);CARBALLOP;J. C. FERNANDEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;BLADE RUNNER;99;56;3;I. LOPEZ;RACHEL TEASDALE RACING;J. L. EYRE;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;INDIAN VICTORY;7;56;3;V. JANACEK;ALISARES;A. SANCHEZ C;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;MY FAIR LADY;9;54,5;3;M. GOMES;LAS AGUILAS;G. VILLARTA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;POMPOM COEUR;1;54,5;3;J. GROSJEAN;SAFSAF;F. RODRIGUEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;FISCHER;6;54;3;C. CAZALIS;COMANSI;J. C. FERNANDEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;EXPATBET (GB);3;52,5;3;A. GOMEZ (52);BET VICTOR;P.HALEY;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1_22-01-2012;SINDARITA;8;52,5;3;E. MELIAN (52);EL GIRALDILLO;M. ALVAREZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;CUADRA;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_22-01-2012;AZABACHE;1;58;3;J. GROSJEAN;LOS TONELES;F. RODRIGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;DESEADO;2;58;3;J. CROCQUEVIEILLE;SUREÑA;J. A. RODRIGUEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;VICTOR'S BET;3;58;3;O.O. URBINA;BET VICTOR;P. HALEY;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;HENARES;7;57;3;D. DELGADO;A'CASIÑA;J. A. RODRIGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;CALITXO;9;56;3;J.L. BORREGO;M & K RACING;B. RAMA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;EXTRAÑEZA;5;55,5;3;R. HUAYAS;STUD RIO QUEQUEN;M. J. PEREZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;AZAFATA;8;54,5;3;M. GOMES;PILOTOS 747;J. LOPEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;CANELA FINA;4;54,5;3;E. MELIAN;SOÑADOR;J. SALGUERO;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2_22-01-2012;SCARLATTI;6;54,5;3;V. JANACEK (55);YEGUADA CORTIÑAL;J. M. BORREGO .R;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_22-01-2012;SECRETSIDE (IRE)(10.000);6;60;4;M. BORREGO;SAFSAF;F. RODRIGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;CAÑADIO (IRE)(8.000);4;58;5;C. FERNANDEZ (55);HISPANICA;J. C. FERNANDEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;COMPTON PARK (GB)(8.000);99;58;5;S. MARTIN;RACHEL TEASDALE RACING;J. L. EYRE;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;DUNEDAIN (GB) (8.000);1;58;4;J.M. SANCHEZ C. (55);MIRANDA;M. DELCHER S.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;VAL DA MAHIA (8.000);99;58;4;A. SANTANA (55);PALMA REAL;J. M. BORREGO R.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;RAAMI (GB)(7.000);2;57;5;SRTA. BUESA, C. (54);BP SAN MATEO;O. ANAYA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;BARKING (IRE)(6.000);7;56;4;SRTA. ZAPICO, S. (B. ROJA);BP SAN MATEO;O. ANAYA;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;BOMBADIL (IRE) (6.000);3;56;5;S. BERMEJO (53);JEREZANA;J. CALDERON;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;EL AFRICANO (6.000);5;56;5;C. CAZALIS;LAS AGUILAS;G. VILLARTA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;MAJOR DUDE (GB)(6.000);10;56;4;V. SANCHEZ (53) (B. BLANCA);RACHEL TEASDALE RACING;J. L. EYRE;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;MAKAAMEN (GB) (6.000);8;56;6;J.L. URIBE;TEODORO CALLEJO;T. CALLEJO;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
3_22-01-2012;PICHUCA (GB)(6.000);9;54,5;4;SRTA. GONZALEZ, R. (51,5);ROMANA ALTA;M. J. PEREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_22-01-2012;PERSICUS (GB);2;65;6;C. FERNANDEZ (63);HISPANICA;J. C. FERNANDEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;ECO JAR;5;62;5;M. BORREGO;REZA PAZOOKI;F. RODRIGUEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;BURNING LIGHT (IRE);99;61;5;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;ORLOV;01-ene;61;6;J.C. CERQUEIRA;AGRADO;T. CALLEJO;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;STRANGE CAT (FR);3;60;4;V. JANACEK;ALISARES;A. SANCHEZ C.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;VIREAL (FR);6;60;4;J. CROCQUEVIEILLE (B. BLANCA);ALISARES;A. SANCHEZ C.;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;ISAMAN (GB);7;59;5;A. GOMEZ (57);ESTACION TURF;I. GOMEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;BOREAS;8;58;5;J.L. BORREGO;CELSO MENDEZ;M. ALVAREZ;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;REY MAMBO (IRE);11;58;5;F. JIMÉNEZ;ITALICA;M. ALVAREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;ZENOTZ;9;55;4;J. GROSJEAN;SAFSAF;F. RODRIGUEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;DROP RISK (FR);10;53;9;E. MELIAN (52);JOLAM;E. OLGADO;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_22-01-2012;GREEN NIGHT (IRE);4;52;4;M. GOMES;LAS AGUILAS;G. VILLARTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_22-01-2012;CALAMARGO (IRE);5;57,5;5;J.L. BORREGO;JIMENA;A.F. SANCHEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
5_22-01-2012;DOMESIDE (GB);1;57,5;6;J. GROSJEAN;SAF SAF;M. DELCHER S.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
5_22-01-2012;JIMMY FALABELLA (IRE);7;57,5;7;J.C. CERQUEIRA;C.D.H. LOS ASPIRANTES DOS TUMBOS;T. CALLEJO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
5_22-01-2012;KARLUV MOST (FR);2;57,5;6;J. CROCQUEVIEILLE;CHOLAICA;J.L. MAROTO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
5_22-01-2012;KURUCHET (ARG);6;57,5;5;D, DELGADO;SAN ACACIO;J. CALDERON;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
5_22-01-2012;VOLAPIE;4;57,5;5;R. HUAYAS;ROMANA ALTA;M.J. PEREZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
5_22-01-2012;DON HERNANDO HAB;3;56;4;F. JIMENEZ;GONZALO HERNANDO-ABOIN;A. CARRASCO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
