;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_17-06-2012;CANTARELLA (IRE);4;2 años;57;A.GOMEZ;ODISEA;GOMEZ, I.;2;Hipódromo LA ZARZUELA;1200;HIERBA
1_17-06-2012;YAKARAK;3;2 años;57;J.CROCQUEVIEILLE;YEGUADA MILAGRO;CALLEJO S., T;1;Hipódromo LA ZARZUELA;1200;HIERBA
1_17-06-2012;ZAHORA;2;2 años;57;J.L.MARTINEZ;CELSO MENDEZ;ALVAREZ, M.;7;Hipódromo LA ZARZUELA;1200;HIERBA
1_17-06-2012;BEAR PRINCE (GER);5;2 años;55;O.O. DE URBINA;LOS TONELES;RODRIGUEZ, F.;6;Hipódromo LA ZARZUELA;1200;HIERBA
1_17-06-2012;COLLIO SIDE;1;2 años;55;J.GROSJEAN;SAFSAF;DELCHER S., M.;4;Hipódromo LA ZARZUELA;1200;HIERBA
1_17-06-2012;MEDITERRANEO (GB);6;2 años;55;V.JANACEK;YEGUADA AGF;ARIZKORRETA, G.;3;Hipódromo LA ZARZUELA;1200;HIERBA
1_17-06-2012;VRAIFOL;7;2 años;55;F.JIMENEZ;CIELO DE MADRID;RODRIGUEZ,O.;5;Hipódromo LA ZARZUELA;1200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_17-06-2012;CORCUBION;3;7 años;63;SR MARTIN,L.A. (60,5);PEREIRA S.A.T.;LOPERA, J.C.;4;Hipódromo LA ZARZUELA;1200;HIERBA
2_17-06-2012;TAGOMAGO;2;4 años;61;V.JANACEK;IBIZA;ARIZKORRETA, G.;3;Hipódromo LA ZARZUELA;1200;HIERBA
2_17-06-2012;AZABACHE;1;3 años;60;O.O. DE URBINA;LOS TONELES;RODRIGUEZ, F.;1;Hipódromo LA ZARZUELA;1200;HIERBA
2_17-06-2012;GALILEUS;5;3 años;60;SR SARABIA,D.;RIO CUBAS;FERNANDEZ R., J.C.;6;Hipódromo LA ZARZUELA;1200;HIERBA
2_17-06-2012;PADRON;4;4 años;60;SR DE JULIAN,N.(56) (B.Roja);PEREIRA S.A.T.;LOPERA, J.C.;2;Hipódromo LA ZARZUELA;1200;HIERBA
2_17-06-2012;BAZTAN;6;4 años;59;R,HUAYAS;CALEJAÑA;HUAYAS, R.;7;Hipódromo LA ZARZUELA;1200;HIERBA
2_17-06-2012;FEARSIDE;7;3 años;56,5;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;5;Hipódromo LA ZARZUELA;1200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_17-06-2012;DRACO;2;6 años;62;SRTA LOPEZ,D.;LOPEZ VALLADARES;LOPEZ L, D.;17;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;ESGUES;3;3 años;61;J.GROSJEAN;LA SUECA;LOPERA, J.C.;12;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;LE COURLIS (FR);16;9 años;61;R.RAMOS;EL SWING;RECIO, B.;18;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;ARGALY;13;6 años;59;SR SARABIA,D.;RIO CUBAS;FERNANDEZ R., J.C.;15;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;MISS USHUAIA (FR);17;3 años;58;V.JANACEK;L'ETOILE;SALAS, J.L. DE;13;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;ILLIZMIT (FR);9;7 años;58;O.O. DE URBINA (B.Roja);LA SUECA;LOPERA, J.C.;16;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;AMOREBIETA;6;4 años;58;R.HUAYAS;MADELAINE;HUAYAS, R.;1;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;BOUQUETOT BELLE (USA);1;4 años;57;S.MARTIN;LISSELAN FARMS;ACOSTA, A.R;10;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;VILCABAMBA (FR);11;3 años;56;M.BORREGO;SAN MARCIAL;BORREGO, J.M.;9;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;ALTEZA (IRE);14;4 años;55;B.FAYOS;MIRINDA RACING, S.C.;PEREZ, F.;3;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;COMODORO (GER);15;3 años;54;C.FERNANDEZ;CARBALLOP;FERNANDEZ R., J.C.;6;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;TANEA (IRE);5;6 años;54;J.M.SANCHEZ C (52);RIBAMONTAN;SANCHEZ, A.F.;2;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;YUCATAN;4;3 años;54;J.L.BORREGO (54,5);A GRANXA;BORREGO R , J. M.;14;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;REAL DE CATORCE;10;3 años;53;J.L.MARTINEZ (54);JARILLA;PEREZ, F.;8;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;RICHEL;99;4 años;53;M.SECCI;PINCAL;SANCHEZ, A.F.;7;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;YES WE COULD (FR);8;5 años;53;M.GOMES;SILVER;MARTINS, T;5;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;BLANTOR (IRE);12;3 años;52;A.GOMEZ;E. PEREZ GUZMAN;MARTIN V., R.;4;Hipódromo LA ZARZUELA;1800;HIERBA
3_17-06-2012;VIUGA;7;4 años;50;C.CAZALIS;LAS AGUILAS;URBINA, P.R.;11;Hipódromo LA ZARZUELA;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_17-06-2012;MAYERLING (FR);5;4 años;62;A.GOMEZ;ODISEA;GOMEZ, I.;12;Hipódromo LA ZARZUELA;1800;HIERBA
4_17-06-2012;INDIAN LOU;9;5 años;61;J.CROCQUEVIEILLE;BARREIROS;ROSELL, J.C.;4;Hipódromo LA ZARZUELA;1800;HIERBA
4_17-06-2012;AMBASADOR;12;6 años;59;SRTA ZAPICO,S.;LA ESPIGA;GOMEZ, I.;6;Hipódromo LA ZARZUELA;1800;HIERBA
