;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1-17/08/2012;ILUSIONISTA (8.000);2;6;65;SR. SARABIA, D.;ODISEA;B. RAMA;3;Hipódromo Costa de Sol;2100;ARENA
1-17/08/2012;BLANCA DE NAVARRA (6.000);4;5;61;SR. PINEDA, G. (59,5);ALDARA;G. ARIZCORRETA;4;Hipódromo Costa de Sol;2100;ARENA
1-17/08/2012;MISSIN (6.000);3;6;61;SR. DE JULIAN, N.;KINGS RACING;B. RAMA;2;Hipódromo Costa de Sol;2100;ARENA
1-17/08/2012;OLINA (6.000);5;5;61;SR. MARTIN, R.(B.R);KINGS RACING;B. RAMA;1;Hipódromo Costa de Sol;2100;ARENA
1-17/08/2012;VODKA LEMON(GB) (6.000);1;4;61;SR. AGUILERA .R.;MADELAINE;R. H. HUAYAS;5;Hipódromo Costa de Sol;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2-17/08/2012;GOMARIZ;2;3;62;E. MELIAN (60);PADRONESA;J. A. RODRIGUEZ;1;Hipódromo Costa de Sol;1800;ARENA
2-17/08/2012;ARATZ(GB);1;3;60;V. JANACEK;ALDARA;G. ARIZCORRETA;5;Hipódromo Costa de Sol;1800;ARENA
2-17/08/2012;GOLDENEYE;6;3;57;F. JIMENEZ A.;CIELO DE MADRID;O. RODRIGUEZ;3;Hipódromo Costa de Sol;1800;ARENA
2-17/08/2012;FOL MOON;4;3;56;I. LOPEZ;YANKEE RACING;B. RAMA;2;Hipódromo Costa de Sol;1800;ARENA
2-17/08/2012;LUISIANNA;3;3;51;S. BERMEJO (51,5);JOLAM;J. C. MARTINEZ;4;Hipódromo Costa de Sol;1800;ARENA
2-17/08/2012;ESTRELLITA DIBEL;5;3;50;J. M. SANCHEZ, C.(49);RIISIO, S.L.;J. C. MARTINEZ;6;Hipódromo Costa de Sol;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3-17/08/2012;COLORIN(IRE);99;5;63;C. FERNANDEZ (61);Y. CASAS;J. C. FERNANDEZ;5;Hipódromo Costa de Sol;1600;ARENA
3-17/08/2012;ALHAPRINCE(IRE);1;8;59;I. LOPEZ;LABERINTO;R. AON;2;Hipódromo Costa de Sol;1600;ARENA
3-17/08/2012;QUEENSIDE (USA);4;4;58;D. DELGADO;LA VICTORIA;J. A. RODRIGUEZ;9;Hipódromo Costa de Sol;1600;ARENA
3-17/08/2012;DON PABLOS(IRE);5;4;56;E. MELIAN (54);CIELO DE MADRID;O. RODRIGUEZ;1;Hipódromo Costa de Sol;1600;ARENA
3-17/08/2012;LISSELAN BEAUTY (USA);6;6;56;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;4;Hipódromo Costa de Sol;1600;ARENA
3-17/08/2012;BOUQUETOT BELLE (USA);3;4;53;J. M. SANCHEZ C. (51)(B.R);LISSELAN FARMS;A. R.ACOSTA;7;Hipódromo Costa de Sol;1600;ARENA
3-17/08/2012;PICHUCA(GB);99;4;52;SR. DE JULIAN, N.(54,5)(B.B);LABERINTO;R. AON;6;Hipódromo Costa de Sol;1600;ARENA
3-17/08/2012;PIPPA SNUDGE(IRE);2;3;52;S. BERMEJO (51,5);SUNSHINE RACING;P. HALEY;3;Hipódromo Costa de Sol;1600;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4-17/08/2012;TAGOMAGO;4;5;60;V. JANACEK;IBIZA;G. ARIZCORRETA;6;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;SERGEI (IRE);6;4;59;N. GARCIA;SUREÑA;J. A. RODRIGUEZ;2;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;TASHQEEL(GB);3;4;59;I. LOPEZ;SAN ACACIO;O. ANAYA;9;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;VALLE(USA);1;4;59;O. ORTIZ DE URBINA;MALDON;M. DELCHER S.;1;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;BLACK DIBEL (GB);7;4;57;J. E. JARCOVSKY;LABERINTO;R. AON;7;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;LAAZEM(IRE);2;5;57;J. CROCQUEVIEILLE;HNOS. GARCIA Y VEGA;O. ANAYA;3;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;GALILEUS;9;3;57;SR. SARABIA, D.;RIO CUBAS;D. SARABIA;8;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;CARA BLANCA(GB);5;4;56;D. DELGADO;RACHAEL TEASDALE RACING;J. L. EYRE;10;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;LISSELAN HOSTESS(IRE);8;4;56;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;4;Hipódromo Costa de Sol;1400;ARENA
4-17/08/2012;RED SOLES (IRE);10;4;56;J. M. SANCHEZ C.(B.B);LABERINTO;R. AON;5;Hipódromo Costa de Sol;1400;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5-17/08/2012;FACE THE FACT(SWE);8;10;62;F. JIMENEZ A.;GABRIELLE VON ECKERMANN;O. ANAYA;4;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;ARKADIN(IRE);2;3;62;J. CROCQUEVIEILLE;IGUELDO;J. C. ROSELL;7;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;MISS CORONITA;3;4;61;I. LOPEZ;EL LOBO;O. ANAYA;3;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;EL LOLO(IRE);99;6;58;D. DELGADO (B.V);EL LOBO;O. ANAYA;1;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;DELIRADA;1;4;56;R.H. HUAYAS;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;11;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;EUROPAMPLONA;4;3;56;J E. JARCOVSKY (56);LA LONGUERA;J. C. MARTINEZ;9;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;GHOST;7;3;56;V. JANACEK;ENALTO;R. LOPEZ;2;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;PERFECTAMENTE(GB);5;6;54;S. BERMEJO (52);JOLAM;J. C. MARTINEZ;5;Hipódromo Costa de Sol;1600;ARENA
5-17/08/2012;SARAHZEM;6;4;54;E. MELIAN (52);CIELO DE MADRID;O. RODRIGUEZ;6;Hipódromo Costa de Sol;1600;ARENA
