Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_09-12-12;DEVIL BLACK;2;59;2;A. GOMEZ;LA ESPIGA;I. GOMEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;FAST CANARY (GB);1;58;2;J.E. JARCOVSKY;TINERFE;J. CALDERON;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;SIR PEPO;3;58;2;J.L. MARTINEZ;SOÑADOR;J. SALGUERO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;DAVID'S DIVINA (USA);6;57,5;2;F. JIMENEZ;LISSELAN FARMS LTD;A. R. ACOSTA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;DUST WHIRL (GB);4;57;2;O.O. URBINA;B.P SAN MATEO;O. ANAYA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;LUCIA MONTLIOUX (FR);7;56,5;2;R. RAMOS;COLISA;J. A. RODRIGUEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;SHIRGITA;5;55,5;2;R.H. HUAYAS;CORRALEJO;R. H. HUAYAS;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;LUCKY DAVID (USA);9;55;2;M. SECCI (BDA. ROJA);LISSELAN FARMS LTD;A. R. ACOSTA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;MIRLO;99;55;2;V. JANACEK;YEGUADA AGF;G. ARIZCORRETA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;VIENTO DE GUERRA (GB);8;55;2;J.L. BORREGO;LAS AGUILAS;A. GUTIERREZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
1_09-12-12;LAVERNIA (FR);10;53,5;2;M. GOMES;M. S. TURF;F. PEREZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1200;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_09-12-12;LUTHJET;6;62;6;J.L. BORREGO;LAS AGUILAS;A. GUTIERREZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;SCARLATTI;9;62;3;SR. DE JULIAN, N. (59);AREVACOS;J. A. RODRIGUEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;TERMANCIA;8;62;3;SRTA. GALVEZ, G (60);TORBISCAL;A. CARRASCO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;COVELO;2;61;7;J.L. MARTINEZ;VALLE DE ANLEO;J. C. LOPERA;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;UN MONDE;3;61;4;J. GROSJEAN;GREILET;A. SANCHEZ, C.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;NUBIA;4;59;4;V. JANACEK;MANUELA;J. CALDERON;13;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;SHERWOOD;12;59;6;SR. HIDALGO, J. (59,5);LA GITANA;J. HIDALGO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;MICEROUS;7;58;3;M. GOMES;NORTENHA;T. MARTINS;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;GREEN NIGHT (IRE);1;58;4;M. SECCI (BDA. ROJA);LAS AGUILAS;A. GUTIERREZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;FONCUBERTA;13;57;4;A. GOMEZ;CORRALEJO;R. H. HUAYAS;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;SUPER NENA (IRE);11;57;4;E. MELIAN (55) (BDA. VERDE);AREVACOS;J. A. RODRIGUEZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;PERFECTAMENTE (GB);5;55;6;J. HORCAJADA;MADELAINE;R. H. HUAYAS;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2_09-12-12;NORTH EAST CORNER (USA);10;53;6;V. SANCHEZ (51);CASTILLO DE CHARETA;B. RAMA;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_09-12-12;REAL TIGRESS (IRE);4;62;3;M. SECCI;BETVICTOR;G. ARIZCORRETA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;CALITXO;8;62;3;V. JANACEK;M & K RACING;B. RAMA;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;CHIQUI (IRE);1;62;3;J.L. BORREGO;SUFLE;J. C. FERNANDEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;PIPPA SNUDGE (IRE);12;61;3;F. JIMENEZ;SUNSHINE RACING;P. HALEY;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;FLASH VAL;7;61;4;J. GROSJEAN;REZA PAZOOKI;F. RODRIGUEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;HENARES;13;61;3;R.H. HUAYAS;A'CASIÑA;J. A. RODRIGUEZ;14;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;CAÑADIO (IRE);2;60;5;J.L. MARTINEZ;HISPANICA;J. C. FERNANDEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;DESEADO;5;59;3;E. MELIAN (57);SUREÑA;J. A. RODRIGUEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;DON PABLOS (IRE);6;59;4;R. RAMOS;CIELO DE MADRID;O. RODRIGUEZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;GALA;10;59;3;M. GOMES (BDA. ROJA);REZA PAZOOKI;F. RODRIGUEZ;13;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;LISSELAN HOSTESS (IRE);3;59;4;S. BERMEJO (57);LISSELAN FARMS LTD;A. R. ACOSTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;ORDEE (FR);11;58;3;O.O. URBINA;INTERNORTE;T. MARTINS;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
3_09-12-12;AROUSA;99;57;5;A. GOMEZ;PEREIRA SAT;J. C. LOPERA;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
