;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_11-05-2014;CAPEARTH (IRE);7;4 años;62;B.FAYOS;YEGUADA LA LLANA;PUENTE, E.;11;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;MOU THE SPECIAL (IRE);4;4 años;61;O.O. DE URBINA;LOS TONELES;RODRIGUEZ, F.;10;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;SUPER COCO;3;4 años;60;J.L.BORREGO;ODISEA;CARRASCO, A.;5;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;DROMEOS (GB);1;4 años;59;J.CROCQUEVIEILLE;AMIGOS DEL MOYATE;CALLEJO S., T;1;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;FACE TO FACE;6;4 años;56;V.JANACEK (B.Blanca);LOS TONELES;RODRIGUEZ, F.;7;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;ROBERTTINO STAR;5;4 años;55;J.HORCAJADA;MAGAÑA;FERNANDEZ R., J.C.;8;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;STEELER;9;5 años;55;J.L.MARTINEZ;KAELA;MARTIN V., R.;4;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;CALITXO;11;5 años;52;M.GOMES (52,5);M & K RACING;RAMA, B.;9;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;CASCABEL;2;5 años;51;M.SECCI (52);SAMALASSA;COMAS, M;6;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;IGUALON;99;4 años;51;J.M.SANCHEZ C. (49,5);ULIA;FERNANDEZ R., J.C.;12;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;SALTERGATE (GB);10;6 años;51;R.SOUSA (53);SILVER;MARTINS, T;3;Hipódromo de la Zarzuela;1600;HIERBA
4_11-05-2014;AHORA NO (GB);8;5 años;50;J.GELABERT (47);FORMENTOR;GOMEZ, I.;2;Hipódromo de la Zarzuela;1600;HIERBA
