ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_10-01-2016;SIR ALFIL;5;7;60,5;V. JANACEK;AJEDREZ RACING;B. RAMA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
1_10-01-2016;ULICY MAKER (FR);4;8;59,5;B. FAYOS;QUINTA SANTA JUSTA MAIA;C. VIDINHA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
1_10-01-2016;MASCARADO (FR);2;4;59;J.L. MARTINEZ;JARILLA;F. PEREZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
1_10-01-2016;DOWN HOUSE (GB);1;5;58,5;N. DE JULIAN (57);ALTAMIRA;A. NUÑEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
1_10-01-2016;EROS WELLS;6;5;58,5;G. MADERO;EKI;D. DEL BARRIO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
1_10-01-2016;SEL VISINFEEL;7;6;58,5;A. GOMEZ;EL PARAISO;D. DEL BARRIO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
1_10-01-2016;SINNIEVA;3;6;58;M. GOMES;O TORRON;J. C. CERQUEIRA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
1_10-01-2016;EMERALD SWELL (IRE);8;6;57;R. SOUSA;EXTREMEÑA OP;M. AUGELLI;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;3000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_10-01-2016;FUNNY HOW (7.000);6;5;63;SRTA. LOPEZ L. D.;TINERFE;O. ANAYA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_10-01-2016;PROUD SIDE (9.000);2;6;62,5;SR. MELGAREJO, I. (60,5);SAFSAF;F. RODRIGUEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_10-01-2016;ANGEL MELODY (FR) (5.000);3;10;62;SR. SARABIA, D.;RIO CUBAS;O. ANAYA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_10-01-2016;EMPERORS SONG (IRE) (5.000);4;5;61;SRTA. BUESA, C. (B. BLANCA);RIO CUBAS;O. ANAYA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_10-01-2016;ARTIST CRY (GB ) (5.000);7;4;60;SR. HIDALGO, J. (58);LA GITANA;J .HIDALGO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_10-01-2016;GLOBAL VISION (FR) (5.000);8;6;60;SRTA. GELABERT, L.;CORVITEGALOPE;H. PEREIRA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_10-01-2016;NAFAR (GER) (5.000);1;8;60;SR. CARMENA, M.;SILVER;I. MENDES;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_10-01-2016;ACQUITTAL (GB) (5.000);5;4;58,5;SRTA. MORENO, O. (56,5);MALLOW GRAN CANARIA;I. LOPEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_10-01-2016;MERSAD (GB);7;5;62;V. JANACEK;SIEMPRE FANI;T. MARTINS;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;ROBERTTINO STAR;1;6;62;E.J. ARGUINZONES;BOLAK;C. FERNANDEZ B.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;TALENTUM;5;4;62;C.A. LOAIZA;NANINA;J. CALDERON;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;EL AFRICANO;10;9;60;N. DE JULIAN (59);LAS AGUILAS;T. CALLEJO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;BORYSTHENE (FR);4;8;60;R. SOUSA;RESTAURANTE JASMIN;H. PEREIRA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;RICHELIEU (FR);2;5;60;B. FAYOS;CORVITEGALOPE;H. PEREIRA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;BALTAZAR (IRE);8;5;58,5;J.L. MARTINEZ;BARREIROS;D. DEL BARRIO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;MALYSIEUSE (FR);9;6;58;SR. MELGAREJO, I. (56,5);QUINTA SANTA JUSTA MAIA;C. VIDINHA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;LADY CINZA;6;4;57;J. GELABERT (55);EL BRUJO;J. CALDERON;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3_10-01-2016;THE LAST ONE;3;5;53;M. GOMES (53,5);AGROCARVALHO;I. MENDES;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_10-01-2016;MOU THE SPECIAL (IRE);99;6;62;A.G. DELGADO;EL BILLETERO;O. ANAYA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;LAFFAN (IRE);1;7;61;M. GOMES;MANUELA;J. CALDERON;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;MAJESTIC DREAM (FR);9;8;59;J.L. MARTINEZ;OS COISAS DOCES;H. PEREIRA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;VALLILA (GB);5;5;58,5;B. FAYOS;TRES MALAGUEÑAS;O. ANAYA;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;DUBROVNIK;4;6;57;V. JANACEK;YEGUADA LAS CUEVAS;J. CALDERON;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;KUKALA;8;4;55;SR. MELGAREJO, I.;CELSO MENDEZ;M. ALVAREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;HAIL PROMENADER (IRE);6;10;55;N. DE JULIAN (54);LAS AGUILAS;T. CALLEJO;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;CANTARELLA (IRE);99;5;53;R.SOUSA;NOTRE DAME;R. AON;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;JUAN DANIEL;7;7;52,5;A. GOMEZ;JEREZANA;J. CALDERON;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;CHARMING STAR;2;4;52,5;E.J. ARGUINZONES;MAGAÑA;C. FERNANDEZ B.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;WINKL SIDE;3;6;52,5;J. GELABERT (50,5);HISPANICA;O. ANAYA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4_10-01-2016;DAGOBERTO;99;6;52;C.A. LOAIZA;NANINA;J. CALDERON;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_10-01-2016;MADAME CECILE (ITY);3;5;62;J.L. MARTINEZ;BEST HORSE;L.A. OLIVEIRA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5_10-01-2016;ANDALUCIA;2;5;60;V. JANACEK;POPULAR;G. ARIZKORRETA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
