ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_3-09-2016;ULICY MAKER(FR);2;8;62;R.SOUSA;C.QUINTA STA.JUSTA MAIA;C.VIDINHA;5;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
1_3-09-2016;SINNIEVA(FR);5;6;61;M.GOMES;C.O TORRON;R.AON;4;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
1_3-09-2016;GAMBERRO;4;8;57,5;R.C.MONTENEGRO;C.ZEBRA;J.JIMENEZ;2;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
1_3-09-2016;AIL NEUK;1;5;53,5;V.JANACEK (55);C.EL SABLE;E.PUENTE;3;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
1_3-09-2016;JACETANA(FR);3;6;51;J.GELABERT (50);C.ESTRADOS;F.RODRIGUEZ;1;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_3-09-2016;IL PRESUNTUOSO(FR) (9.000);2;5;68;SR.ALONSO M. (66);C.ROBER;R.AVIAL;3;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
2_3-09-2016;BILBO(FR) (5.000);1;9;64;SR.GREDILLA P. (62);C.RIO AULENCIA;V.B.BUDA;6;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
2_3-09-2016;BORYSTHENE(FR) (5.000);3;8;64;SR.SARABIA D.A.;RESTAURANTE JASMIM;H.PEREIRA;1;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
2_3-09-2016;ROYAL CHANGO (5.000);6;4;64;SRTA.BUESA C.;C.ZEZINHO;J.C.CERQUEIRA;5;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
2_3-09-2016;ZIBERTO(FR) (5.000);4;8;64;SR.PINEDA G.;C.MANNEKEN PIS;L.ENNOUNI;4;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
2_3-09-2016;JAI (5.000);7;3;62;SR.PULIDO M. (59);C.LA MILLA;S.VIDAL;7;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
2_3-09-2016;LOUP BOUTIN(FR) (5.000);5;3;60,5;SR.CARMENA M.;C.EVA;A.IMAZ C.;2;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_3-09-2016;CAPTAIN HADDOCK(FR);5;3;60;I.BORREGO;C.TORNASOL;E.LEON;7;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
3_3-09-2016;DESTINO CANARIAS;4;3;59;J.L.MARTINEZ;GR.BOLAÑOS GR.CANARIA;A.REMOLINA;5;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
3_3-09-2016;STURM(IRE);1;3;59;R.C.MONTENEGRO;C.MARTUL;A.IMAZ C.;6;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
3_3-09-2016;HALLOCHOP(FR);6;3;58,5;V.JANACEK;C.POPULAR;G.ARIZKORRETA;4;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
3_3-09-2016;AL LOPEZ(FR);2;3;57,5;B.FAYOS;C.EVA;A.IMAZ C.;3;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
3_3-09-2016;CIEN COLORAO(FR);3;3;57;R.SOUSA;Y.URDIN-ORIYA;E.LEON;1;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
3_3-09-2016;CIUDADELA(IRE);7;3;53,5;J.GELABERT;C.MEDITERRANEO;L.ENNOUNI;2;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_3-09-2016;QUIMERA(GB);8;4;62;J.GELABERT (61);C.FORMENTOR;G.ARIZKORRETA;11;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;MUNGAMIS(GB);10;5;61;B.FAYOS;C.JIMENA;B.RAMA;6;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;WHISTLEINTHEWIND(IRE);11;9;60,5;C.A.LOAIZA;C.NANINA;J.CALDERON;10;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;EBEON;5;5;60;R.SOUSA (G. azul);C.NANINA;J.CALDERON;8;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;ARGALY;7;10;58,5;E.J.ARGUINZONES;C.R.H.O.;R.H.HUAYAS;4;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;MAIAR;1;4;58,5;V.JANACEK;C.MIRANDA S.L.;C.DELCHER;5;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;ARTESA(GB);6;6;58;M.GOMES;C.KARIKATO;M.AUGELLI;1;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;KAMGO;4;7;55;R.C.MONTENEGRO;C.EL AVILES;D.DEL BARRIO;9;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;WATERVILLE(FR);2;5;54,5;J.L.MARTINEZ;STAND CARMO;L.A.OLIVEIRA;3;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;LEY DE LEYES(FR);9;8;53,5;SRTA. PEREZ C. (51,5);C.EL SABLE;E.PUENTE;7;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_3-09-2016;DALAN REY(IRE);3;5;53,5;F.MARTINEZ;C.LUCHANA;I.LOPEZ;2;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_3-09-2016;OREGON;1;5;63;B.FAYOS;Y.CORTIÑAL;J.A.RODRIGUEZ;3;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
5_3-09-2016;ALCANO;4;5;62;R.SOUSA;LINDA KREJCOVA;E.LEON;4;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
5_3-09-2016;XIUNI;3;3;58,5;R.C.MONTENEGRO;C.LEVANTE;A.IMAZ C.;1;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
5_3-09-2016;MERON;2;3;57;V.JANACEK;Y.ROCIO;G.ARIZKORRETA;2;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
5_3-09-2016;NARCISO EL ABUELO(FR);99;3;55;J.GELABERT;C.LOS VAZQUEZ;G.ARIZKORRETA;5;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
