ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_28-5-2017;STAR WARS;5;3 años;60;V.M.VALENZUELA (58);PALOMARES;J.A.RODRIGUEZ;1;Hipódromo de La Zarzuela ;1200;HIERBA
1_28-5-2017;GASTON MIX (GB);7;3 años;59,5;B.FAYOS;TOLOSANA;J.L.MAROTO;7;Hipódromo de La Zarzuela ;1200;HIERBA
1_28-5-2017;QUM RAM;1;3 años;58,5;O.O. DE URBINA;LAC INTERNACIONAL;J.LOPEZ;3;Hipódromo de La Zarzuela ;1200;HIERBA
1_28-5-2017;BEAR ESSENTIALS (IRE);2;3 años;57;V.JANACEK;ROCCO'S;T.MARTINS;6;Hipódromo de La Zarzuela ;1200;HIERBA
1_28-5-2017;BARON VOLADOR;4;3 años;55;J.GELABERT;ODISEA;A.CARRASCO;4;Hipódromo de La Zarzuela ;1200;HIERBA
1_28-5-2017;TANKSALOT (IRE);3;3 años;54,5;M.GOMES;ESPECTACULO;H.PEREIRA;2;Hipódromo de La Zarzuela ;1200;HIERBA
1_28-5-2017;ENSUEÑO;6;3 años;53,5;N.GARCIA;CIELO DE MADRID;J.A.RODRIGUEZ;5;Hipódromo de La Zarzuela ;1200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_28-5-2017;ALMOROX (GB);2;5 años;61;J.AUGE;ECURIE ANTONIO CARO;C. FERLAND.;7;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;TOTXO (IRE);5;9 años;60;T.HUET;ROBER;R.AVIAL;6;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;ARAB POET (GB);1;4 años;59;V.JANACEK;RIO CUBAS;O.ANAYA;5;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;DELFMAR;3;5 años;57;J.L.BORREGO;COLISA;J.A.RODRIGUEZ;4;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;GUITAR (FR);8;4 años;57;B.FAYOS;VIGURIA;J.M.OSORIO;8;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;KHALAAS (GB);4;5 años;57;O.O. DE URBINA;TINERFE;O.ANAYA;3;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;PIQUIO (FR);6;5 años;57;R.SOUSA;HISPANICA;O.ANAYA;10;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;QUIAA NOMINOOR (FR);9;6 años;57;F.JIMENEZ;KAELA;R.MARTIN V.;2;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;SHESSPIRR (FR);7;4 años;57;E.REVOLTE;ODISEA;A.CARRASCO;1;Hipódromo de La Zarzuela ;1600;HIERBA
2_28-5-2017;ALTERNATIVAS;10;4 años;55,5;J.GELABERT;ROMANA ALTA;M.J.PEREZ;9;Hipódromo de La Zarzuela ;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_28-5-2017;ALARO (GB);7;3 años;58;B.FAYOS;AFRICA;J.M.OSORIO;6;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;PARISIEN BLUE;8;3 años;58;F.JIMENEZ;AGRADO;J.L.MAROTO;15;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;SOTOGRANDE;9;3 años;58;M.GOMES;JOSE SIMO;T.MARTINS;5;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;SURVIVOR (GB);1;3 años;58;J.L.MARTINEZ;ARCO;J.SALGUERO;3;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;TILO (IRE);2;3 años;58;J.L.BORREGO;JOSE IGNACIO OLAVE;P. OLAVE;1;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;BERNIE DOC;10;3 años;56,5;N.DE JULIAN;CDE CIBELES;J.C.CERQUEIRA;4;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;GETARIA (GB);5;3 años;56,5;O.O. DE URBINA;TOLOSANA;J.L.MAROTO;7;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;GIPUZKOA (IRE);12;3 años;56,5;M.DWYER;EL CAPRICHO;A.SANCHEZ C.;9;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;LONDON CALLING;4;3 años;56,5;A.FIORI;ENALTO;F.PEREZ;10;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;MARIA BRAVA;6;3 años;56,5;J.GELABERT;CELSO MENDEZ;J.LOPEZ;8;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;MELTEMI (IRE);13;3 años;56,5;V.M.VALENZUELA;LA TOLEDANA;J.L.MAROTO;14;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;MISSOURI;99;3 años;56,5;R.SOUSA;MARISOL;J.C.CERQUEIRA;11;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;NOVELA (IRE);3;3 años;56,5;V.JANACEK;REAPERTURA;M.TELLINI;13;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;OVACIONES;15;3 años;56,5;J.E.JARCOVSKY;ALTAMIRA;A.NUÑEZ;12;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;WHITE MISCHIEF (IRE);11;3 años;56,5;N.GARCIA;4 C;J.A.RODRIGUEZ;2;Hipódromo de La Zarzuela ;1500;HIERBA
3_28-5-2017;LITTLEBECK LADY (GB);14;3 años;55;F.MARTINEZ;JIMENA;B.RAMA;16;Hipódromo de La Zarzuela ;1500;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_28-5-2017;EMBAT (IRE);3;4 años;63,5;V.M.VALENZUELA (61,5);LA TOLEDANA;J.L.MAROTO;3;Hipódromo de La Zarzuela ;2000;HIERBA
4_28-5-2017;KISMAR (IRE);9;4 años;56,5;I.BORREGO;COLIBRI;J.A.RODRIGUEZ;8;Hipódromo de La Zarzuela ;2000;HIERBA
4_28-5-2017;BRIGANTIA;8;6 años;56;E.CORTEZ (54);YEGUADA CASAS;C.FERNANDEZ;1;Hipódromo de La Zarzuela ;2000;HIERBA
