;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_26-06-2021;CONSPIRACY (GB);5;3 años;60;V.JANACEK;SHOSHOLOZA;M&M RACING;5;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;BARBADO;4;3 años;60;J.GELABERT;WHYLAR;G.ARIZKORRETA;7;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;MARIANCE (GB);6;3 años;59;M.E.FERNANDEZ;REZA PAZOOKI;O.ANAYA;10;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;EL TAPADO (FR);9;3 años;58;J.L.MARTINEZ;MEDITERRANEO;A.SOTO;1;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;MACHU PICCHU;2;3 años;57,5;N.GARCIA (56);AMAZING TURF;J.A.RODRIGUEZ;6;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;GIPSY BLUE EYES (FR);8;3 años;54,5;R.SOUSA;MARQUES DE MIRAFLORES DE SAN ANTONIO;CH.DELCHER;8;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;MAUNA LOA;3;3 años;54;N.SACCU;PAOLO Y BERTA;M&M RACING;4;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;AGAMENON;1;3 años;53;V.SEGUY;EL PLACAJE;L. ENNOUNI;3;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;PENSARRIVA (IRE);7;3 años;51,5;M.HRUBOSOVA (49);VIGURIA;J.M.OSORIO;9;Hipódromo de La Zarzuela;1400;HIERBA
4_26-06-2021;MAFERED (IRE);99;3 años;51;J.M.TORO (52);BUDAFER STABLES;E.BUZON;2;Hipódromo de La Zarzuela;1400;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
