17/04/2011;;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;;
;;;;;;;;;
1ª CARRERA;;2200 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;VIVANCO;8;3 años;59;F.JIMENEZ;YEGUADA CORTIÑAL;BORREGO R , J. M.;9;[03,02,03,NP,01]
2;ABDEL (FR);1;3 años;58;J.CROCQUEVIEILLE;DUQUE DE ALBURQUERQUE;OSORIO, J.M.;6;[01,08]
3;AMERICAN GANSTER;3;3 años;58;S.PASQUIER;DE LA FUENTE STUD;DUREPAIRE, Y.;8;[04,02,05,04]
4;ELTSO;99;3 años;58;O.O. DE URBINA;SAN CRISTOBAL;LOPEZ, J.;1;[01]
5;ACHTUNG;4;3 años;57;J.L.MARTINEZ;ENALTO;LOPEZ, R.;10;[04,03]
6;CASPIAN BOY;99;3 años;57;M.BORREGO;REZA PAZOOKI;RODRIGUEZ, F.;4;[09,07,06,06]
7;INDIANO;2;3 años;57;V.JANACEK;EL POTRO CLUB;ARIZKORRETA, G.;13;[03,04]
8;MAYERLING (FR);5;3 años;57;J.HORCAJADA;ODISEA;DELCHER P., M.;3;[10,07]
9;PLATA DE LEY;7;3 años;57;J.L.BORREGO;USSIA-FIGUEROA;ARIZKORRETA, G.;2;[06]
10;TRESENPUNTO;10;3 años;57;R.H.HUAYAS;DONALFA;PEREZ, M.J.;12;[03,07]
11;VINOLETO;9;3 años;57;M.SECCI;CRUCEÑA;MARTINEZ, J.C.;11;[05,05,NP,03]
12;ALKOTZ;11;3 años;55,5;R.RAMOS (56,5);MATIAS BORREGO;BORREGO,M.;5;Debutante
13;IRUÑA;6;3 años;55,5;J.GROSJEAN;SAFSAF;DUREPAIRE, Y.;7;[09]
;;;;;;;;;
2ª CARRERA;;1400 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;DON PABLOS (IRE);3;3 años;59;M.GOMES;CIELO DE MADRID;RODRIGUEZ, O.;1;[05,04,NP,02,03]
2;FIGUEIRA DA FOZ;13;3 años;57,5;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;15;[07,03,03,03]
3;KAYREL;9;3 años;57;J.L.BORREGO;PINCAL;SANCHEZ, A.F.;9;[08,07,14,04,05]
4;SANTI GULCH (IRE);99;3 años;57;J.C.CERQUEIRA;PAGANINI;CALLEJO S., T;2;[07,05,04,05]
5;TAGOMAGO;1;3 años;57;V.JANACEK;IBIZA;ARIZKORRETA, G.;10;[06,03]
6;BELLA LUCI (IRE);5;3 años;55,5;R.NAYLOR (52,5);TRANSPORTE TRANSAIGUA, S.L.;MARTINEZ, J.C.;13;[03,05,10,06]
7;NOVA GLITTER (IRE);10;3 años;55,5;V.SANCHEZ (51,5);LUZERPALHA;MARTINS, T;4;[10,03,09,10,07]
8;ARTICO (USA);12;3 años;55;O.O. DE URBINA (55,5);CHICAGO;DELCHER S., M.;8;[06,10]
9;DON ANDRES (GB);8;3 años;55;M.SALOKANTO (56,5);ANTON;MARTINEZ, J.C.;11;[05,07]
10;DUNEDAIN (GB);6;3 años;55;J.HORCAJADA;MIRANDA;DELCHER S., M.;6;Debutante
11;WESTSTOW (GB);2;3 años;55;J.CROCQUEVIEILLE;VIGURIA;OSORIO, J.M.;7;[07]
12;CALDERETA;4;3 años;53,5;S.MARTIN (54);DONDE VAMOS;AVIAL, J.P.;14;[16,08]
13;CARINA;11;3 años;53,5;J.M.SANCHEZ C (49,5);FALCATA;RODRIGUEZ, O.;5;[10]
14;KEPA BABY (IRE);14;3 años;53,5;M.SECCI;BAND-KARO;CALLEJO S., T;12;[08]
15;MARIA IGNACIA (FR);7;3 años;53,5;B.FAYOS (55);KIF KIF;DUREPAIRE, Y.;3;[15,14,05,13]
;;;;;;;;;
3ª CARRERA;;2100 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;EOMER (IRE);3;3 años;58;J.HORCAJADA;MIRANDA;DELCHER S., M.;7;[02,06]
2;GREEN NIGHT (IRE);14;3 años;58;J.M.SANCHEZ C (54);LAS AGUILAS;URBINA, P.R.;5;[12,14,02,11,12]
3;ALJARAFE (FR);1;3 años;57;J.L.BORREGO;WHYLAR;ARIZKORRETA, G.;12;[03]
4;FETICHE VAL;10;3 años;57;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;1;[04,04,06,12]
5;FRANCESCO CARA (FR);4;3 años;57;J.C.CERQUEIRA;SANTA BARBARA;CALLEJO S., T;14;[03,NP]
6;IL DUE;99;3 años;57;S.PASQUIER;VIGO;DUREPAIRE, Y.;17;[04,Qdo]
7;KURDO (FR);2;3 años;57;V.JANACEK;YEGUADA AGF;ARIZKORRETA, G.;3;[03,08]
8;ALTEZA (IRE);7;3 años;55,5;M.SECCI;MIRINDA RACING, S.C.;MARTINS, T;8;[03,05,05,12,11]
9;BAND KARO (GB);5;3 años;55;F.LYNCH (56);BAND-KARO;CALLEJO S., T;2;[05]
10;CASAR (IRE);6;3 años;55;B.FAYOS (55,5);BERING;DELCHER S., M.;10;Debutante
11;IZABARRE;11;3 años;55;R.H.HUAYAS;DOS DE MAYO;HERNANDEZ, M.;13;[11]
12;MIKELO (IRE);99;3 años;55;P.L.ROQUE;TOLOSANA;GALDEANO R., F.;16;[10]
13;OJO DE HALCON (IRE);15;3 años;55;S.MARTIN (B.Roja);LAS AGUILAS;URBINA, P.R.;11;[07,10,17,14]
14;PENSILVANIA GOLD (FR);12;3 años;55;F.JIMENEZ;SALVADOR ELIZONDO TEKNICA;RODRIGUEZ, J.A.;4;Debutante
15;NARIXA (GB);9;3 años;53,5;R.NAYLOR (51);CRUCEÑA;MARTINEZ, J.C.;15;[05,08]
16;NOVIZA (GB);8;3 años;53,5;J.CROCQUEVIEILLE (54,5);AFRICA;OSORIO, J.M.;6;Debutante
17;RICHEL;13;3 años;53,5;A.GOMEZ;PINCAL;SANCHEZ, A.F.;9;[11]
;;;;;;;;;
4ª CARRERA;;2100 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;ORGI;1;4 años;62;O.O. DE URBINA;SAN CRISTOBAL;LOPEZ, J.;4;[07,01,07,01,03]
2;INDIAN BLUE (IRE);11;7 años;61;J.L.BORREGO;YEGUADA MARQUES;PUENTE, E.;12;[09,01,NP,05,01]
3;DIEGO QUERCUS (FR);8;6 años;60;R.RAMOS;EL REMO;CARRASCO, A.;11;[NP,12,08,03,07]
4;INDIAN LOU;4;4 años;59;J.CROCQUEVIEILLE;TOLOSANA;GALDEANO R., F.;1;[02,06,05,02,01]
5;CALAMARGO (IRE);2;4 años;58;B.FAYOS;JIMENA;SANCHEZ, A.F.;3;[07,NP,01,01,04]
6;EL CHULAPO (FR);3;5 años;58;J.HORCAJADA;GONZALO HERNANDO-ABOIN;CARRASCO, A.;6;[07,06,01,02,02]
7;MAGICIAN'S CAPE (IRE);99;4 años;56;J.C.CERQUEIRA;DANIEL ROSET;CALLEJO S., T;10;[09,05,05,07,09]
8;VAINILLA (IRE);6;5 años;56;M.GOMES;EL LATIGAZO;SALAS, J.L. DE;8;[04,05,04,02,07]
9;SMASHER (FR);10;6 años;54;V.JANACEK (54,5);KAELA;MARTIN V., R.;9;[01,08,10,03,05]
10;JATIBONICO (IRE);9;4 años;52;J.GROSJEAN (53,5);YLEPA;RODRIGUEZ, F.;2;[12,06,04,01,10]
11;SUISDIVIN (GB);7;5 años;52;A.GOMEZ;ODISEA;GOMEZ, I.;5;[05,05,09,08,02]
12;ECO JAR;5;4 años;51;M.SECCI;REZA PAZOOKI;RODRIGUEZ, F.;7;[06,09,04,08,03]
;;;;;;;;;
5ª CARRERA;;1600 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;AYANZ (GB);3;3 años;57;J.CROCQUEVIEILLE;QUINTO REAL;ARIZKORRETA, G.;4;[01,01,08]
2;BANBU;12;3 años;57;F.JIMENEZ;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;3;[02,01,05,01,02]
3;BLACK DIBEL (GB);99;3 años;57;D.DELGADO;RIISIO, S.L.;MARTINEZ, J.C.;9;[03,01,07,01,02]
4;CIELO CANARIAS (IRE);8;3 años;57;V.JANACEK;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;6;[02,01,13]
5;EL INCENDIO (IRE);6;3 años;57;O.O.DE URBINA;BECARES;MAROTO, J.L.;12;[06,03,02,01,03]
6;FESTEIRO;1;3 años;57;J.HORCAJADA;EL NEGREDO;DELCHER P., M.;1;[03,03,01,05,06]
7;GOLFO PERSICO (IRE);7;3 años;57;M.BORREGO;TONELES PAZOOKI;RODRIGUEZ, F.;11;[08,03,01,02,03]
8;MIL AZUL;4;3 años;57;J.L.BORREGO;YEGUADA URDIÑ-ORIYA;SALAS, J.L. DE;5;[01,NP,05,01,02]
9;NOVA CAT (FR);2;3 años;57;S.PASQUIER;SAFSAF;DUREPAIRE, Y.;13;[01,NP]
10;SERGEI (IRE);11;3 años;57;J.E JARCOVSKY;LA BUENA ESTRELLA;RODRIGUEZ, J.A.;10;[03,02,01,08,02]
11;TIRION (USA);10;3 años;57;B.FAYOS;MIRANDA;DELCHER S., M.;2;[02,04,03,06,03]
12;URUBU (FR);9;3 años;57;J.L.MARTINEZ;ALISARES;IMAZ C., A.;8;[06,04,03,02,01]
13;VOLCANICO (IRE);5;3 años;57;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;7;[01,07,01,01,02]
