22/04/2011;;;;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;;;;
;;1ª Carrera PREMIO;;;TATTERSALLS (AMAZ Y GENT);;-;7.65 €;a repartir.- 1.800 mts. Hora: 11,30;;
Nº;;CABALLO;;EDAD;KG;;;JINETE;CUADRA;ENTRENADOR;C.S.
1;;SANDULCES;;4;68;;;SR. SOTO, A.;CELSO MENDEZ;M. ALVAREZ;7
2;;MISSIN;-5;5;65;;;SRTA. ZAPICO, S.;KINGS RACING;B. RAMA;8
3;;MISTER LUCKY(FR);-5;7;65;;;SR. DE JULIAN, N. (61);DOS HERMANOS;J. C. MARTINEZ;2
4;;NAVARON;;5;65;;;SR. ESCARIO, J.I.;Y. CORTIÑAL;J. M. BORREGO R.;3
5;;OCEANINTERNATIONAL(USA);-5;11;65;;;SR. BENITEZ, D.;SUNSHINE RACING;P. HALEY;1
6;;ENXEBRE;-3;4;63,5;;;SRTA. RODRIGUEZ, G.(61,5)(B.R);CELSO MENDEZ;E. OLGADO;5
7;;FLOW BOY(IRE);-5;7;63,5;;;SR. PINEDA, G. (61,5);PADRONESA;J. A. RODRIGUEZ;6
8;;LISSELAN PHAROAH (USA);;4;62;;;SR. SANTANA, A.(58);LISSELAN FARMS;A. R. ACOSTA;4
;;;;;;;;;;;
;;;;;;;;2ª Carrera PREMIO CRIA NACIONAL(FINANCIADO POR EL MINISTERIO DE MEDIO AMBIENTE Y MEDIO RURAL Y MARINO);;;
;;;;;9.000 € a repartir .- 1.300 mts.;;;Hora: 12,00;;;
Nº;;CABALLO;;EDAD;KG;;;JINETE;CUADRA;ENTRENADOR;C.S.
1;;DUENDE;;3;58;;;J. GROSJEAN;BLOKE;J. A. RODRIGUEZ;8
2;;GREDOS;-5;3;58;;;I. LOPEZ;INSTAGONZA;O. ANAYA;12
3;;EL PIPA HI;;3;56;;;D. DELGADO;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;11
4;;MAGNUM;;3;56;;;V. JANACEK;Y. CORTIÑAL;J. A. RODRIGUEZ;5
5;;DELIRADA;-2;3;55,5;;;M. SALOKANTO(56,5)(B.R);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;14
6;;BATILIA;;3;54,5;;;A. GOMEZ;GUADALIMAR;J. SALGUERO;2
7;;EVA DE SARON;;3;54,5;;;S. MARTIN;LABERINTO;E.OLGADO;4
8;;SARAHZEM;-5;3;54,5;;;M. GOMES;CIELO DE MADRID;O. RODRIGUEZ;1
9;;VALESKA;;3;54,5;;;J. L. BORREGO (55);DELAR;J. SALGUERO;9
10;;BARBECHO;;3;54;;;J. HORCAJADA (54,5);TIZIANO;R. AON;3
11;;MORANTE;;3;54;;;B. FAYOS (55)(B.BL);Y. CORTIÑAL;J. A. RODRIGUEZ;6
12;;MYLORD;;3;54;;;SRTA. ZAPICO, S.;GAMMEL;E. LEON;10
13;;MISS CLAUS;;3;52,5;;;R. H. HUAYAS;NANINA;J. CALDERON;7
;;;;;;;;;;;
