29/04/2011;;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;;
;;;;;;;;;
1ª CARRERA;;1800 metros;ARENA-FIBRA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;PANACEA (GB);1;4 años;63;J. CROCQUEVIELLE;DUQUE DE ALBURQUERQUE;OSORIO, J.M.;2;[02,08,04,05,05]
2;DREIZEHN (IRE);2;4 años;60;E. MELIAN (57);COMETA;ROSELL, J.C.;4;[08,09,02,08,07]
3;BLUE DIAMOND;5;4 años;58;J.M. SANCHEZ C. (54);LAS AGUILAS;VILLARTA, G.;6;[06,12]
4;MANLY DREAM (FR);4;4 años;58;J.C. CERQUEIRA;TRES Y MEDIO;VALENTI, B.;1;[10,11,10,11,10]
5;REVOLAINA (USA);3;4 años;58;J.L. BORREGO;YEGUADA URDIÑ-ORIYA;PEREZ, F.;5;[10,10,12,01,03]
6;SEASIDE (FR);6;3 años;54;J. GROSJEAN;SAN MARCOS;PEREZ, F.;3;[06,02]
;;;;;;;;;
2ª CARRERA;;1900 metros;ARENA-FIBRA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;MADRUGAR (FR);5;7 años;64;E. MELIAN (62);PADRONESA;RODRIGUEZ, J.A.;9;[13,13,01,06,02]
2;OLZA (GB);8;4 años;64;M. SECCI;BATTISTI TURF;AUGELLI, M.;5;[01,02,11,10,01]
3;PENDENCIERO (USA);2;4 años;62;J. CROQUEVIEILLE;LA PAZ;RODRIGUEZ, J.A.;2;[12,07,11,06,09]
4;JUNKAL;7;5 años;59;O.O. DE URBINA;GRAFIMAR;SANCHEZ, A.F.;1;[08,08,03,03,01]
5;COVELO;4;6 años;58;V. JANACEK;PEREIRA S.A.T.;LOPERA, J.C.;8;[02,08,07,10,02]
6;ECO JAR;6;4 años;55;J. GROSJEAN;REZA PAZOOKI;RODRIGUEZ, F.;3;[05,06,09,04,08]
7;MAKEMEMONEY (IRE);9;4 años;54;M. GOMES;NORTENHA;MARTINS, T;7;[10,02,07,08,04]
8;SKY BLUE;1;4 años;54;J.M. SANCHEZ C. (51);LAS AGUILAS;URBINA, P.R.;6;[11,14,04,07,03]
9;KALINEA (GER);3;4 años;53;A. GOMEZ;TALISMAN;RODRIGUEZ, J.A.;4;[03,11,12,10,19]
;;;;;;;;;
3ª CARRERA;;1600 metros;ARENA-FIBRA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;CHITON;3;3 años;59;E. MELIAN (56);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;3;[04,02,05,03,06]
2;HUDACHA;99;3 años;58;J. CROCQUEVIELLE;LUIS ALBERTO NUÑEZ;RODRIGUEZ, J.A.;1;[05,06,02,08,05]
3;BAILONGO;7;3 años;57;J. GROSJEAN;INDIA;RODRIGUEZ, F.;2;[05,07,10,04]
4;SACRAMENTO;5;3 años;57;V. JANACEK (B. BLANCA);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;6;[03,13]
5;BLUE SKY;2;3 años;55;M. SECCI;LAS AGUILAS;URBINA, P.R.;9;[05,11,12,11,13]
6;EL CAÑONERO;8;3 años;55;A. GUTIERREZ;A'CASIÑA;GUTIERREZ, A.;5;[11,09]
7;FIDO DIDO (FR);4;3 años;55;B. FAYOS;ASOC. NUÑEZ-VERAGUAS;RODRIGUEZ, J.A.;8;[10,15]
8;LIONEL STAR (FR);1;3 años;55;J.L. BORREGO;LOS HIERROS;PEREZ, M.J.;4;[05,08]
9;CARINA;6;3 años;53,5;J.M. SANCHEZ C. (49,5);FALCATA;RODRIGUEZ, O.;7;[11,10]
;;;;;;;;;
4ª CARRERA;;1200 metrso;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;ALTERNATIVE (GB);9;7 años;62;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;2;[01,01,01,02,04]
2;NEWBY (GB);1;6 años;61;J. HORCAJADA;ADRIANA;RAMA, B.;6;[01,01,03,02,01]
3;FLYING FLUTE (GB);3;6 años;60;D. DELGADO;DOS HERMANOS;MARTINEZ, J.C.;7;[01,05,NP,03,02]
4;BAHRAJ (USA);8;4 años;59,5;F. LYNCH;BP SAN MATEO;ANAYA, O.;4;[Dto,03,06,07,02]
5;MAGIC VICTORY (GB)(*);5;6 años;59;J.C. CERQUEIRA;SILVER;ABREU, P.;12;[12,06,11,08,04]
6;WE'LL CONFER (GB);10;7 años;59;O.O. DE URBINA (B. BLANCA);LOS TONELES;RODRIGUEZ, F.;9;[07,02,03,04,02]
7;BARKING (IRE);4;3 años;58;I. LOPEZ (B. ROJA);BP SAN MATEO;ANAYA, O.;1;[04,01,01,01,03]
8;PICHUCA (GB);6;3 años;55,5;J.L. BORREGO;PEGASO;PEREZ, M.J.;11;[03,01,01,NP,06]
9;VALLE (USA);7;3 años;55;B. FAYOS;BERING;DELCHER S., M.;3;[07,01,09]
10;FONTANAR;99;3 años;54,5;V. JANACEK;DIANDRA;LOPEZ, R.;8;[08,02,07,01,02]
11;LOCAL FIREFOX (SWE);99;3 años;54;M. GOMES;TRANSPORTE TRANSAIGUA, S.L.;MARTINEZ, J.C.;5;Debutante
12;RISBY (IRE);2;3 años;54;J. CROCQUEVIELLE (54,5);VIGURIA;OSORIO, J.M.;10;[04,04,04,02,09]
;;;;;;;;;
5ª CARRERA;;1900 metros;ARENA-FIBRA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Últ. actuaciones*
1;DAGA BOY (IRE);3;4 años;62;J.C. CERQUEIRA;INTERNORTE;MARTINS, T;3;[05,01,05,11,09]
2;SOFGUI (IRE);6;5 años;61;J. CROCQUEVIEILLE;COLISA;RODRIGUEZ, J.A.;2;[04,14,16,09,02]
3;FLECHE D'ARCIS (FR);1;3 años;60;B. FAYOS;TALISMAN;RODRIGUEZ, J.A.;8;[07,08,01,06,14]
4;TRUMOI;4;6 años;60;M. BORREGO;MARTIN;SANCHEZ, A.F.;1;[06,NP,11,01,11]
5;GIOCONDA;8;5 años;58;J.M. SANCHEZ C. (55);LAS AGUILAS;URBINA, P.R.;7;[13,07,02,09,01]
6;ULZARA (IRE);7;3 años;57;J.L. BORREGO;LEZO;BORREGO, J.A.;4;[04,06,05,NP,06]
7;OTRANTO;2;4 años;50;V. SANCHEZ (47);COMANSI;FERNANDEZ R., J.C.;6;[05,08,10,12,10]
8;MELANITA;5;7 años;50;A. GUTIERREZ;A'CASIÑA;GUTIERREZ, A.;5;[09,10,NP,06,07]
