12/08/2011;;;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;;;
;;;;;;;;;;
1ª Carrera;;;2100 metros;ARENA;;;;;;
Nº;;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;;C.S.
1;;COQUETA;1;3;62;E.MELIAN (60);COLISA;J. A. RODRIGUEZ;;8
2;;CARMENCHU;9;5;62;J.HORCAJADA;JEM;O. RODRIGUEZ;;7
3;;DELIRADA;3;3;60;M.SALOKANTO;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;;10
4;;GETXO (IRE);8;4;60;B.FAYOS;JIMENA;B. RAMA;;4
5;;VRAIZEM;4;3;59;R.H.HUAYAS;TURF LA GARE;R. LOPEZ;;1
6;;YISHABEIR(FR);6;3;59;V.JANACEK;CIELO DE MADRID;O. RODRIGUEZ;;3
7;;DROP RISK(FR);2;8;57;I.LOPEZ;LABERINTO;O. ANAYA;;2
8;;DOVERY;7;5;57;R.NAYLOR (55);COURTNEY;J. L. EYRE;;5
9;;ESTELA;5;4;53;M.GOMES;MI VIEJITA;F. PEREZ;;6
;;;;;;;;;;
2ª Carrera;;;1300 metros;ARENA;;2ª Carrera PREMIO P & R GRAFIS (CAT C) - 10.200 €;a repartir.- 1.300 mts.;;;
Nº;;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;;C.S.
1;;COMPTON PARK (GB);2;4;60;J.L.MARTINEZ;RACHAEL TEASDALE RACING;J.L EYRE;;5
2;;BAHRAJ (USA);3;4;57,5;I.LOPEZ;B.P. SAN MATEO;O. ANAYA;;3
3;;STORMY MONTLIOUX(FR);1;4;57;F.ALVARADO;DIAZMOR;P. DIAZ;;1
4;;LA RUBIA(IRE);4;5;56,5;J.HORCAJADA;CIELO DE MADRID;O. RODRIGUEZ;;2
5;;BLACK DIBEL (IRE);5;3;56;D.DELGADO;RIISIO S.L.;J.C.MARTINEZ;;4
;;;;;;;;;;
3ª Carrera;;;1200 metros;ARENA;;;;;;
