15/08/2011;;;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;;;
;;;;;;;;;;
1ª Carrera;;1400 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;;CUADRA;PREPARADOR;CAJÓN;Últ. Actuac.
1;ARKADIN(IRE);8;2;57;J.HORCAJADA;;C.IGUELDO;J.C.ROSELL;3;9,6,4,9
2;GARAJONAY(FR);2;2;57;R.C.MONTENEGRO;;C.SAFSAF;F.RODRIGUEZ;8;6,4,2
3;HELSINKI;1;2;57;A.GOMEZ;;Y.MILITAR;J.P.ESPINOSA;7;8
4;MARIUS;7;2;57;O.O.DE URBINA;;C.LUXEMBURGO;R.LOPEZ;5;2
5;OHCAPTAINMYCAPTAIN(FR);3;2;57;J.L.BORREGO;;C.SAN MARCIAL;J.M.BORREGO B;2;6,3
6;DAKSIDE;5;2;55;J.GROSJEAN (B.roja);;C.SAFSAF;F.RODRIGUEZ;9;Deb.
7;EL KIMBO(FR);4;2;55;G.MADERO;;C.ROBER;R.AVIAL;1;Deb.
8;OLAIBAR;99;2;55;M.BORREGO;;C.EKI;D.del BARRIO;6;Deb.
9;OTRO GINTONIC(GB);6;2;55;V.JANACEK;;C.FACTOR SORPRESA;G.ARIZKORRETA;4;Deb.
;;;;;;;;;;
2ª Carrera;;2200 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;DUKE(GER);5;5;61,5;O.O.DE URBINA;;C.CHOLAICA;J.L.MAROTO;6;3,3,4,2,1
2;IRUZ(IRE);6;6;61,5;F.X.BERTRAS;;C.CARAMBOLA;R.AVIAL;1;7,6,9,1,1
3;CALAMARGO(IRE);4;4;60,5;B.FAYOS;;C.JIMENA;A.F.SANCHEZ;3;5,1,1,1,2
4;VIRLY(GER);2;4;58,5;G.MADERO;;C.OMBRA;A.IMAZ C;4;8,0,0,0,2
5;VIVE LE SUD(FR);1;4;57,5;J.CROCQUEVIEILLE;;C.EDIF;R.MARTIN S;2;3,2,7,1,2
6;URUBU(FR);3;3;57;R.C.MONTENEGRO;;C.ALISARES;A.IMAZ C;5;4,1,5,9,6
;;;;;;;;;;
3ª Carrera;;1500 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;;CUADRA;PREPARADOR;CAJON;Ult.Actuac.
1;NAMIA(FR);13;8;62;S.BERMEJO (60);;C.MY OWN BUSINESS;L.A.OCQUE;6;0,0,9,2,5
2;PEDREÑA;7;4;61;R.C.MONTENEGRO;;C.HISPANICA;F.RODRIGUEZ;12;5,4,2,6,7
3;ON THE DOT(IRE);8;7;61;G.MADERO;;C.OMBRA;M.COMAS;15;0,2,7,2,2
4;YIRA;16;3;60,5;J.L.BORREGO;;C.AIBRIN;A.GUTIERREZ;1;6,1,5,7,1
5;LA MORAÑA;9;7;60;V.JANACEK;;C.EL SABLE;E.PUENTE;3;0,8,6,7,2
6;AKA BAY(FR);12;7;58;M.BORREGO;;C.TALBOT;E.OLGADO;14;6,7,0,0,0
7;GALUA(IRE);5;6;58;O.O.DE URBINA;;C.TURF LA GARE;R.LOPEZ;5;7,0,8,5,6
8;SAIOA;1;5;57;J.GROSJEAN;;C.APAI;R.MARTINEZ C;16;1,7,0,1,5
9;VEGA DE CASTILLA(IRE);3;6;57;M.GOMES;;STAND CARMO;L.A.OLIVEIRA;13;4,2,0,5,8
10;NAVARRO(PER);10;4;57;F.X.BERTRAS;;C.LOS COLCHONEROS;J.C.LOPERA;4;8,0,9,6,8
11;SIDRA(FR);2;3;55,5;R.H.HUAYAS;;C.SEGAIR;E.PUENTE;8;7,0,9,0,0
12;TEXEDU;17;4;55;B.FAYOS (56);;MARQUES DE CAVIEDES;G.VILLARTA;17;3,9,1,0,4
13;REDDY ON TANGO;14;7;55;C.FERNANDEZ (53);;C.LAS MIERES;J.JIMENEZ;10;0,0,9,8,1
14;ENXEBRE;4;4;55;J.HORCAJADA;;CELSO MENDEZ;R.MARTIN V;7;2,6,9,8,0
15;MIURA;6;4;54;E.MELIAN (52);;STAND VITORIA;L.A.OLIVEIRA;9;8,3,9,6,8
