19/08/2011;;;;;;;;;
Hipódromo de la Costa del Sol ;;;;;;;;;
;;;;;;;;;
4ª CARRERA;;1800 metros;ARENA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;;JINETE;CUADRA;PREPARADOR;C.S.
1;TURRIALBA (7000);1;4;59;;I. LOPEZ;INSTAGONZA;O. ANAYA;1
2;ESQUIO (5000);4;4;57;;V. JANACEK;PEREIRA S.A.T.;J. C. LOPERA;11
3;HIGH IKER (5000);7;6;57;;R.H. HUAYAS;RIAS BAIXAS;R. LOPEZ;4
4;NAVARON (5000);2;5;57;;B.FAYOS;Y. CORTIÑAL;J. M. BORREGO R.;2
5;CHIRIVITO(FR) (7000);5;3;56;;J.C.CERQUEIRA;SAN CRISTOBAL;J. LOPEZ;10
6;DELIRADA (7000);99;3;54,5;;R.NAYLOR (51,5);TRANSPORTES TRANSAIG;J. C. MARTINEZ;13
7;LUNABELLA (7000);9;3;54,5;;V,SANCHEZ (51,5)(B.BL);Y. CORTIÑAL;J.B.RECIO;7
8;CHITON (5000);6;3;54;;D. DELGADO (54,5)(B.AZ);Y. CORTIÑAL;J. A. RODRIGUEZ;5
9;EL PIPA HI (5000);11;3;54;;M.SALOKANTO (57) (B.BL);TRANSPORTES TRANSAIG;J. C. MARTINEZ;8
10;FANDIÑO (5000);10;3;54;;F. LYNCH (55);CACHARELA;J. A. RODRIGUEZ;6
11;SACRAMENTO (5000);8;3;54;;E .MELIAN (51) (B.V);Y. CORTIÑAL;J. A. RODRIGUEZ;3
12;BIPOLAR (5000);3;3;52,5;;M.GOMES;LEVANTE;J. C. FERNANDEZ;9
