26/08/2011;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª Carrera;;1300 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;BAHRAJ (USA)(8,000);1;4;60;I. LOPEZ;B.P. SAN MATEO;O. ANAYA;6
2;BOMBADIL(IRE)(5,000);2;4;59,5;V. JANACEK;JEREZANA;J. CALDERON;5
3;ALTERNATIVE(GB)(5,000);99;7;58,5;E. MELIAN (55,5);TINERFE;J. CALDERON;1
4;SALTERGATE(GB)(5,000);3;3;55;J. CROCQUEVIEILLE;INSTAGONZA;O. ANAYA;4
5;LISSELAN NYMPH(USA)(8,000);5;3;53,5;M. GOMES;LISSELAN FARMS;A. R. ACOSTA;2
6;THINK TWICE(IRE)(5,000);99;3;53,5;R. NAYLOR (51);SUNSHINE RACING;P. HALEY;3
7;MOLY(5,000);4;3;51,5;V. SANCHEZ (48,5);LAC INTERNACIONAL;J. LOPEZ;7
;;;;;;;;
2ª Carrera;;1800 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;CHITON;10;3;62;D. DELGADO;Y. CORTIÑAL;J. A. RODRIGUEZ;2
2;LISSELAN STAR(IRE);13;4;62;J.L.BORREGO;LISSELAN FARMS;A. R. ACOSTA;1
3;OLINA;3;4;62;B. FAYOS;KINGS RACING;B. RAMA;7
4;MEARI(ARG);6;4;60;J.C CERQUEIRA;MI VIEJITA;J. C. FERNANDEZ;10
5;EL CAPITALISTA;12;3;58;J. L. MARTINEZ;Y. PUERTAS;M.J.PEREZ;3
6;MISS CORONITA;4;3;58;I. LOPEZ;B. P. SAN MATEO;O. ANAYA;12
7;HANDSOME HUGO;5;3;57;V. JANACEK;LA SUECA;J. C. LOPERA;8
8;VRAIZEM;1;3;57;R.H.HUAYAS;TURF LA GARE;R. LOPEZ;13
