28/08/2011;;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;;
;;;;;;;;;
1ª Carrera;;2000 metros ;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;"Últ.
actuaciones**"
1;YALLAYAN(FR);2;4;68,5;SR.SARABIA D.A. (66,5);C.RIO CUBAS SL;J.C.FERNANDEZ;3;3,4,4,1,2
2;BAROUD DE COEUR(FR);1;5;67,5;SR.FOULON Q;C.SAN MARCIAL;J.M.BORREGO B;7;2,4,7,8,4
3;PERCUS MOL;4;7;66,5;SR.CAMPO E (62,5);ENDICA ARCENTALES;E.PUENTE;4;3,3,0,2,5
4;ASHDEUZO(FR);3;5;65,5;SR.MIJANGOS J (63,5);Y.BALBAS ALONSO;E.PUENTE;2;6,0,5,3,7
5;SARASATE(GB);5;5;65,5;SR.GREDILLA P;C.QUINTO REAL;G.ARIZKORRETA;5;6,1,4,2,1
6;DIHISTANI(FR);6;3;63;SR.DE JULIAN N (59);C.SAN CRISTOBAL;J.LOPEZ;1;3,4,4
7;TCHAPATCHAPA(FR);99;3;60,5;SR.NASARI B (64);C.LA TALETA;E.ABAJAS;6;6,7,9
;;;;;;;;;
2ª Carrera;;1300 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;AZABACHE;1;2;57;O.O.DE URBINA;C.LOS TONELES;F.RODRIGUEZ;7;3,3,2,2
2;CRACK;2;2;57;J.CROQUEVIEILLE;Y.DONOSTIARRA;R.MARTIN S;1;2,4
3;DAKSIDE;3;2;57;M.BORREGO;C.SAFSAF;F.RODRIGUEZ;3;5
4;GUMBO(GB);5;2;57;G.MADERO;C.LEVANTE;I.VAQUERO;4;6
5;HAMELIN;99;2;57;A.GOMEZ;Y.MILITAR;J.P.ESPINOSA;8;7,7
6;JUAN DANIEL;4;2;55;J.C.CERQUEIRA (56,5);C.CARBIAL;J.M.BORREGO R;5;Deb.
7;OLAIBAR;7;2;55;J.L.BORREGO;C.EKI;D.del BARRIO;2;Deb.
8;STEELER;6;2;55;V.JANACEK;C.LA CINCHA;R.MARTIN S;6;Deb.
;;;;;;;;;
3ª Carrera;;1600 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;Ult.Actuac.
1;LA MORAÑA;5;7;62;V.JANACEK;C.EL SABLE;E.PUENTE;3;9,0,8,6,7
2;GALUA(IRE);2;6;61;O.O.DE URBINA;C.TURF LA GARE;R.LOPEZ;6;5,7,0,8,5
3;GALES;6;3;60,5;S.BERMEJO (58,5 );Y.MILITAR;J.P.ESPINOSA;8;9,4,7,8,8
