07/08/2011;;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;;
;;;;;;;;;
1ª Carrera;;1600 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;actuaciones*
1;SOLISTE BERE(FR);5;5;67;SR.BOISGONTIER J.P;C.ESTRADOS;R.MARTIN S;4;9,0,0,8,1
2;BILBO(FR);1;4;66;SR.GREDILLA P (64);C.RIO AULENCIA;G.ARIZKORRETA;5;2,9,2,4,4
3;DEL COSSA(FR);4;3;65;SR.SARABIA D.A. (63);C.RIO CUBAS SL;J.C.FERNANDEZ;3;2,1,2,9
4;MELKOR(GB);2;4;65;SRTA.LOPEZ D;C.MIRANDA SL;M.DELCHER S;6;3,3,2,0,0
5;SPEED EMPEROR(ARG);3;7;65;SR.MARTIN R.;C.KAELA;R.MARTIN V;2;0,0,0,0,6
6;SAMANA BLUE(FR);6;5;64,5;SR.CAMPO E (60,5);Y.MARQUES;E.PUENTE;1;8,0,6,9,2
;;;;;;;;;
2ª Carrera;;1600 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;FLASH VAL;3;3;60;J.GROSJEAN;REZA PAZOOKI;F.RODRIGUEZ;3;2,4,4,3,2
2;TAGOMAGO;2;3;58;E.MELIAN (55);C.IBIZA;G.ARIZKORRETA;4;5,1,6,3
3;RESU;4;3;56,5;G.MADERO;C.CARAMBOLA;R.AVIAL;6;0,8,0,7,1
4;VALLE DE RONCAL;1;3;56,5;S.BERMEJO (53,5);C.SAFSAF;F.RODRIGUEZ;5;5,0,0,1,4
5;MAYDRIT SANTOS;7;3;56;C.FERNANDEZ (54);C.HOTELES SANTOS;E.PUENTE;9;8
6;OCEANICO;99;3;56;J.HORCAJADA;C.APAI;R.MARTINEZ C;2;6,9
7;NANNERL;5;3;55,5;M.SECCI;C.LA CEPA;M.ALONSO;7;7,3,2,0,0
8;SHARP EYE;6;3;54,5;B.FAYOS (55);C.LAS AGUILAS;G.VILLARTA;1;8,0,0
9;VIUGA;8;3;54,5;V.JANACEK (55) (B.roja);C.LAS AGUILAS;G.VILLARTA;8;0,0,0
;;;;;;;;;
3ª Carrera;;2000 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;Ult.Actuac.
1;SINAN;4;3;62;C.FERNANDEZ (60);C.CARAMBOLA;R.AVIAL;6;0,0,9,7,4
2;MERCANTYL(FR);5;5;62;J.GROSJEAN;C.LOS TONELES;F.RODRIGUEZ;5;6,2,4,9,8
3;GALES;9;3;61;A.GOME Z;Y.MILITAR;J.P.ESPINOSA;8;4,7,8,8
4;NAVARRO(PER);8;4;61;J.C.CERQUEIRA;C.LOS COLCHONEROS;J.C.LOPERA;7;0,9,6,8,9
5;HAMALAO;6;5;60;M.SECCI;LUIS FELIPE AUÑON;J.C.ROSELL;2;8,7,5,0,5
6;TANEA(IRE);7;5;60;E.MELIAN (58);C.LAMASON;J.L.MAROTO;10;9,0,4,4,1
7;CONMIRIAN;2;6;57;J.CROCQUEVIEILLE;C.RESTAURANTE ARAETA;M.ALONSO;9;3,3,2,7,9
8;TEXEDU;3;4;57;B.FAYOS;MARQUES DE CAVIEDES;G.VILLARTA;1;9,1,0,4,2
9;TODT(FR);1;4;57;V.JANACEK;C.EL SABLE;E.PUENTE;4;6,4,5,5,3
10;BALLINGLORIA(FR);10;5;51;V.SANCHEZ (49);C.ROYAL GAIT CB;M.ALONSO;3;7,5,7,4,3
;;;;;;;;;
4ª Carrera;;2000 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;INDIAN BLUE(IRE);4;7;62;V.JANACEK;Y.MARQUES;E.PUENTE;9;2,5,0,9,1
2;PERSICUS(GB);7;5;62;S.BERMEJO (60);C.HISPANICA;F.RODRIGUEZ;6;4,6,4,2,1
3;REFUSE(IRE);5;4;62;G.MADERO;C.ALISARES;A.IMAZ C;2;3,7,7,2,7
4;EL MAGO(IRE);2;6;61;B.FAYOS;C.RACING PARDO;M.HERNANDEZ;11;6,9,1,0,6
5;ENFIA;8;4;60;J.CROCQUEVIEILLE;C.ODISEA;I.GOMEZ;5;6,3,9,9,6
6;RELAMPAGO(GB);1;4;59;J.B.HAMEL;C.TRES Y MEDIO;B.VALENTI;8;4,2,2,2,6
7;CAPITAL;10;4;55;A.GOMEZ;C.BOBBY;I.GOMEZ;12;4,0,7,4,3
8;HIGHSIDE(IRE);11;3;54;J.GROSJEAN;C.SAFSAF;M.DELCHER S;4;0,3,2,6,2
9;RIVIERA DE SOU(FR);6;8;54;R.H.HUAYAS;C.MY OWN BUSINESS;L.A.OCQUE;7;9,9,5,9,2
10;KLARA;3;5;53;J.JIMENEZ (51);C.JIMENEZ;J.JIMENEZ;3;0,5,1,0,4
11;KALIMUTXO(FR);9;4;53;M.SECCI;C.ROBER;R.AVIAL;1;6,7,0,7,8
12;LYSEO(FR);12;4;52;V.SANCHEZ (50);C.EL ESTRIBO;E.PUENTE;10;0,6,5,3,0
;;;;;;;;;
5ª Carrera;;2200 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
