18/12/2011;;;;;;;;
Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª Carrera;;1000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;VICTOR'S BET;2;60;2;O. O. URBINA;BET VICTOR;P. HALEY;4
2;HENARES;4;58;2;J. CROCQUEVIEILLE;A'CASIÑA;J. A. RODRÍGUEZ;1
3;MASIVO MAN (GB);5;58;2;J. E. JARCOVSKY;CELSO MENDEZ;M. ÁLVAREZ;3
4;DESEADO;1;56;2;B. FAYOS;SUREÑA;J. A. RODRÍGUEZ;5
5;PACIFIC TRADER (GB);3;56;2;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;2
;;;;;;;;
2ª Carrera;;1800 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ESQUIO;2;66;4;SR. CARMENA M.;PEREIRA SAT;J. C. LOPERA;8
2;DEL COSSA (FR);1;65,5;3;SR. SARABIA D.;RIO CUBAS;J. C. FERNÁNDEZ;3
3;IRAIZOTZ;7;64,5;4;SR. GREDILLA P.;BANALMÁDENA;A. CARRASCO;1
4;RAAMI (GB);6;64,5;3;SR. GUTIERREZ A. (60,5);B. P. SAN MATEO;O. ANAYA;5
5;ROYAL IMARI (USA);4;64,5;4;SR. MARTIN A. R,;LA TOLEDANA;J. L. MAROTO;2
6;BANBU;5;62,5;3;SR. SOTO A.;ALBERO;J. C. FERNÁNDEZ;7
7;OMNIPOTENT (IRE);3;61;3;SR. BENITEZ, D.;INSTAGONZA;O. ANAYA;4
8;VIVA A FRANCA (USA);8;61;3;SRTA. GELABERT L.;YEGUADA CORTIÑAL;J. M. BORREGO;6
;;;;;;;;
3ª Carrera;;2100 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ILUSIONISTA;6;65;5;A. GÓMEZ (63);ODISEA;I. GÓMEZ;1
2;INDIAN LOU;1;63;4;J. CROCQUEVIEILLE;BARREIROS;J. C. ROSELL;7
3;ZARIEVICH NUÑEZ (IRE);4;60;4;B. FAYOS;L. A. NÚNEZ;J. A. RODRÍGUEZ;6
4;COMANCHE TRAIL (FR);7;59;5;E. MELIÁN (57);SOÑADOR;J. SALGUERO;8
5;NARIXA (GB);10;59;3;I. LÓPEZ;CRUCEÑA;O. ANAYA;4
6;ABANTOS (IRE);9;58;3;O. O. URBINA;ESCORIAL;J. L. MAROTO;10
7;ORLOV;5;58;5;J.C. CERQUEIRA;AGRADO;T. CALLEJO;9
8;ECO JAR;3;57;4;J. GROSJEAN;REZA PAZOOKI;F. RODRÍGUEZ;5
9;SKY BLUE;8;55;4;R. RAMOS (56);LAS AGUILAS;G. VILLARTA;2
10;STRANGE CAT (FR);2;54;3;V. JANACEK (54,5);ALISARES;A. SANCHEZ C;3
;;;;;;;;
4ª Carrera;;2100 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;DIAMOND FOR EVER;3;63;4;J. GROSJEAN;ADELAI;F. RODRÍGUEZ;9
2;MISS CORONITA;11;63;3;SR. BENITEZ, D. (61);B. P. SAN MATEO;O. ANAYA;1
3;GRAN AGUILA (IRE);7;62;5;J.E. JARCOVSKY;YEGUADA IGKAMAR;M. ÁLVAREZ;8
4;YES WE COULD (FR);2;62;4;V. JANACEK;SILVER;T. MARTINS;7
5;GAMBERRO;1;61;3;B. FAYOS;ZEBRA;J. C. FERNÁNDEZ;5
6;PARTOVIA;9;60;3;F. ALVARADO;BOREAL;T. CALLEJO;10
7;BUEN VIAJE;99;59;4;I. LÓPEZ;NUEVE DE JULIO;T. MARTINS;6
8;HANDSOME HUGO;10;59;3;J.C. CERQUEIRA;LA SUECA;J. C. LOPERA;4
9;LA GALEA;5;58;3;J. CROCQUEVIEILLE;COLISA;J. A. RODRÍGUEZ;12
10;LEADER LADY;6;56;4;R. RAMOS;LAS AGUILAS;G. VILLARTA;2
11;ALTER KAISER (GER);8;54;7;J. M. SÁNCHEZ C. (52);GERONIMO ANGULO;J. SALGUERO;11
12;XAMURAY;4;53;7;A. GÓMEZ (52);BOBBY;I. GÓMEZ;3
;;;;;;;;
5ª Carrera;;1000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;BARKING (IRE);5;61;3;I. LÓPEZ;B. P. SAN MATEO;O. ANAYA;4
2;CARIOKA;2;59,5;3;F. JIMENEZ;YEGUADA CORTIÑAL;J. C. FERNÁNDEZ;1
3;PICHUCA;6;59,5;3;J. L. BORREGO;ROMANA ALTA;M. J. PÉREZ;3
4;CAÑADIO (IRE);3;59;4;J. L. MARTÍNEZ;HISPANICA;J. C. FERNÁNDEZ;2
5;SERGEI (IRE);1;59;3;J. CROCQUEVIEILLE;SAN JOSÉ;J. A. RODRÍGUEZ;7
6;SANTI GULCH (IRE);4;57;3;J. C. CERQUEIRA;PAGANINI;T. CALLEJO;5
7;CAPTAIN BLUEBIRD (IRE);7;56;4;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;6
