04/12/2011;;;;;;;;
Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;;;;;;;;
;;;;;;;;
;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;BENTAYGA (IRE);;59;2;I. LÓPEZ;INSTAGONZA;O. ANAYA;4
2;HENARES;;59;2;V. JANACEK;A' CASIÑA;J. A. RODRÍGUEZ;2
3;MASIVO MAN (IRE);;59;2;J.E. JARCOVSKY;CELSO MÉNDEZ;M. ÁLVAREZ;3
4;CATTIVA (FR);;57,5;2;O.O. URBINA;DI BENISICHI;B. VALENTÍ;1
5;DESEADO;;57;2;D. DELGADO;SUREÑA;J. A. RODRÍGUEZ;8
6;CANELA FINA;;55,5;2;A. GÓMEZ;SOÑADOR;J. SALGUERO;5
7;VALLARTA;;55,5;2;R. RAMOS (56);COSTA LA VALL;B. J. RECIO;6
8;LA NIÑA;;53,5;2;J.L. MARTÍNEZ;ROCHE;M. ÁLVAREZ;7
;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;YES WE COULD (FR);;62;4;B. FAYOS;SILVER;T. MARTINS;7
2;SANDOVAL (GB);;62;5;O.O. URBINA;VADILLO;A. CARRASCO;2
3;EL LOLO;;62;5;I. LÓPEZ;EL LOBO;O. ANAYA;12
4;AMERVI;;62;3;J. GROSJEAN;LOS TONELES;F. RODRÍGUEZ;3
5;ENXEBRE;;61;4;J. CROCQUEVIEILLE;CELSO MÉNDEZ;M. ÁLVAREZ;6
6;LA GALEA (IRE);;60;3;E. MELIÁN (58);COLISA;J. A. RODRÍGUEZ;11
7;BERLINESA;;60;3;J.E. JARCOVSKY;LAS ÁGUILAS;G. VILLARTA;13
8;MISS CLAUS;;59;3;V. JANACEK;NANINA;J. CALDERÓN;8
9;GREEN NIGHT (IRE);;58;3;M. SECCI (B. ROJA);LAS ÁGUILAS;G. VILLARTA;1
10;NORTH EAST CORNER (USA);;58;5;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;16
11;BATILIA;;56;3;SRTA. GELABERT, L. (54);DUO;J. SALGUERO;9
12;SAMBA NEGRA (URU);;55;5;SRTA. BUESA, C. (53);MARES;A. GUTIÉRREZ;10
13;SHERWOOD;;55;5;SRTA. ZAPICO, S.;LA GITANA;J. HIDALGO;15
14;XAMURAY;;53;7;A. GÓMEZ (52);BOBBY;I. GÓMEZ;4
15;KUCHULU (GB);;52;4;SRTA. GUTIÉRREZ, A. (49);Y AHORA QUE;A. GUTIÉRREZ;14
16;EUROBETIS;;51;5;J.L. MARTÍNEZ (53,5);LA GOYA;E. GALLARDO;5
;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ILLIZMIT (FR);;62;6;I. LÓPEZ;LUREA;J. C. LOPERA;3
2;FIGUEIRA DA FOZ;;61;3;J. GROSJEAN;LOS TONELES;F. RODRÍGUEZ;16
