14/07/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;1600 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ANGEL MELODY (FR)(8000);99;5 años;64;SR.SARABIA,D (62);RIO CUBAS;FERNANDEZ R., J.C.;3
2;FORTH KING(6000);4;4 años;62,5;SR DE JULIAN,N (56,5);FRANCISCO DE JULIAN;RODRIGUEZ, J.A.;6
3;MELKOR (GB)(6000);3;4 años;62,5;SRTA.MORENO,O (60,5);MIRANDA;DELCHER S., M.;1
4;NEWMAN (6000);5;4 años;62,5;SRTA.LOPEZ,D.;TENIS;DELCHER P., M.;5
5;FIGUEIRA DA FOZ(6000);1;3 años;57;SRTA.ZAPICO,S;LOS TONELES;RODRIGUEZ, F.;2
6;PRISCA VIVAZ (IRE)(6000);2;3 años;57;SR.SANTANA,A (53);POPULAR;ARIZKORRETA, G.;4
;;;;;;;;
2ª CARRERA;;1200 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ALFACAR;1;2 años;57;J.GROSJEAN;EL FARGUE;DELCHER P., M.;10
2;CASTELLANA;2;2 años;57;J.L.MARTINEZ;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;4
3;CHUCHES;6;2 años;57;J.L.BORREGO;NAVELLOS;SALAS, J.L. DE;9
4;GALLOFEIRO;8;2 años;57;R.RAMOS;NEREO;LOPEZ, R.;6
5;GNOMO;4;2 años;57;O.O. DE URBINA;SAN CRISTOBAL;LOPEZ, J.;2
6;GOLDEN;3;2 años;57;V.JANACEK (B.Blanca);YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;8
7;OBLA DI;5;2 años;57;J.HORCAJADA;L. Y J.A. ALONSO;RODRIGUEZ, O.;7
8;SILENT HAB;7;2 años;57;D.DIEZ;TADI;DIEZ, D;5
9;TYSUN;10;2 años;57;J.CROCQUEVIEILLE;YEGUADA ARANJUEZ;RODRIGUEZ, J.A.;3
10;PEPONINA HAB;9;2 años;55;R.H.HUAYAS;GONZALO HERNANDO-ABOIN;CARRASCO, A.;
;;;;;;;;
3ª CARRERA;;1900 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;DRACO;11;5 años;62;SRTA.LOPEZ,D.;LOPEZ VALLADARES;LOPEZ L, D.;5
2;JATIBONICO (IRE);9;4 años;61;J.GROSJEAN;YLEPA;RODRIGUEZ, F.;2
3;BIPOLAR;4;3 años;60,5;B.FAYOS;LEVANTE;VAQUERO, I.;3
4;KALINEA (GER);1;4 años;60;J.CROCQUEVIEILLE;TALISMAN;RODRIGUEZ, J.A.;13
5;ALKOTZ;6;3 años;59,5;M.GOMES;MATIAS BORREGO;BORREGO, M.;9
6;RIDE TO LIVE (IRE);5;4 años;59;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;14
7;CARMENCHU;2;5 años;58;J.HORCAJADA;JEM;RODRIGUEZ, O.;12
8;HANDSOME HUGO;12;3 años;57,5;O.O.DE URBINA;LA SUECA;LOPERA, J.C.;1
9;LEADER LADY;13;4 años;57;M.SECCI;LAS AGUILAS;VILLARTA, G.;6
10;FONCUBERTA;8;3 años;56,5;V.JANACEK;LOS GUERREROS;LOPEZ, R.;7
11;SOFGUI (IRE);3;5 años;55;E.MELIAN (53);COLISA;RODRIGUEZ, J.A.;4
12;GIOCONDA;14;5 años;54;S.BERMEJO (52)(B.Roja);LAS AGUILAS;VILLARTA, G.;10
13;ULZARA (IRE);10;3 años;53,5;V.SANCHEZ (51,5);LEZO;BORREGO, J.A.;11
14;MELANITA;7;7 años;50;A.GUTIERREZ;A'CASIÑA;GUTIERREZ, A.;8
;;;;;;;;
4ª CARRERA;;1900 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;MADRUGAR (FR);6;7 años;67;SR.PINEDA,G (64);PADRONESA;RODRIGUEZ, J.A.;12
2;SPECIAL REQUEST (FR);8;4 años;65;M.GOMES;INTERNORTE;AUGELLI, M.;7
3;ESQUIO;9;4 años;60;V.JANACEK;PEREIRA S.A.T.;LOPERA, J.C.;3
4;LIONEL STAR (FR);4;3 años;59,5;S.BERMEJO (57,5);LOS HIERROS;PEREZ, M.J.;6
5;REVOLAINA (USA);5;4 años;58;J.L.BORREGO;YEGUADA URDIÑ-ORIYA;PEREZ, F.;9
6;SPLITTER;3;3 años;57,5;J.CROCQUEVIEILLE;SALVADOR ELIZONDO TEKNICA;RODRIGUEZ, J.A.;11
7;SKY BLUE;99;4 años;57;M.SECCI;LAS AGUILAS;VILLARTA, G.;5
8;KINGSIDE (FR);2;3 años;56,5;J.GROSJEAN;SAFSAF;DELCHER S., M.;2
9;SUDAFRICANA HAB (GB);7;3 años;56,5;D.DIEZ;TADI;DIEZ, D;4
10;NESKA (GB);1;3 años;55,5;R.H.HUAYAS;GONZALO HERNANDO-ABOIN;CARRASCO, A.;8
11;ILLIZMIT (FR);10;6 años;55;O.O.DE URBINA;ORO;LOPERA, J.C.;10
12;KAYREL;11;3 años;54,5;E.MELIAN (52,5);PINCAL;SANCHEZ, A.F.;1
;;;;;;;;
5ª CARRERA;;1800 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;SACRAMENTO;1;3 años;58;SRTA.GELABERT,L. (54);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;10
2;SARAHZEM;3;3 años;57,5;J.HORCAJADA;CIELO DE MADRID;RODRIGUEZ, O.;5
3;VODKA LEMON (GB);2;3 años;57,5;B.FAYOS;DE LA FUENTE STUD;VAQUERO, I.;7
4;CASPIAN BOY;5;3 años;57;J.GROSJEAN;REZA PAZOOKI;RODRIGUEZ, F.;13
5;EL CAPITALISTA;6;3 años;57;SRTA.GONZALEZ,R (53);YEGUADA PUERTAS;PEREZ, M.J.;2
6;SMALL HILL;10;3 años;57;SRTA.ZAPICO,S;LAS AGUILAS;VILLARTA, G.;14
7;VRAIZEM;9;3 años;57;O.O. DE URBINA;TURF LA GARE;LOPEZ, R.;6
8;GRANADA;4;3 años;55,5;M.SECCI;BATTISTI TURF;AUGELLI, M.;9
9;LA BAILARINA;99;3 años;55,5;E.MELIAN (52,5);USSIA-FIGUEROA;ARIZKORRETA, G.;12
10;LUNABELLA;8;3 años;55,5;V.JANACEK (B.Blanca);YEGUADA CORTIÑAL;RECIO, B.;3
11;MARIBEL;7;3 años;55,5;J.L.BORREGO;CARBIAL;BORREGO R , J. M.;4
12;VIUGA;11;3 años;55,5;S.BERMEJO (52,5) (B.Roja);LAS AGUILAS;VILLARTA, G.;11
13;FORCAREI;13;3 años;55;R.RAMOS (55,5);OS COISAS DOCES;SILVA, J.M.;8
14;GAMBERRO (IRE);12;3 años;55;M.GOMES;;FERNANDEZ R., J.C.;1
