23/07/2011;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª Carrera;;2200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;BUEN VIAJE;3;4;62;V. JANACEK;NUEVE DE JULIO;T. MARTINS;2
2;SOFGUI (IRE);4;5;60;E. MELIAN ( 58);COLISA;J. A. RODRIGUEZ;3
3;KAHMPANILLA;6;3;59;C. FERNANDEZ (57);LOS COMILONES;J. C. FERNANDEZ;1
4;DROP RISK(FR);2;8;58;I. LOPEZ;LABERINTO;O. ANAYA;5
5;OTRANTO;5;4;54;M. GOMES;COMANSI;J. C. FERNANDEZ;6
6;DOVERY;1;5;53;R. NAYLOR (51);COURTNEY;J. L. EYRE;4
;;;;;;;;
2ª Carrera;;2100 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;CHITON;5;3;57;SRTA. GELABERT, L.(53);Y.CORTIÑAL;J. A. RODRIGUEZ;7
2;CUDON(IRE);3;3;57;A. FUSCO;RONCESVALLES;M. AUGELLI;2
3;DON ANDRES(GB);99;3;57;B. FAYOS;ANTON;B. RAMA;1
4;DON FLORENTINO;6;3;57;M. GOMES;NORTENHA;T. MARTINS;3
5;KURDO(FR);1;3;57;V. JANACEK;AGF;G. ARIZCORRETA;6
6;ALTEZA(IRE);2;3;55,5;M. SECCI;MIRINDA RACING, S.C.;T. MARTINS;4
7;MISS CORONITA;4;3;55,5;I. LOPEZ (56);B. P. SAN MATEO;O. ANAYA;5
;;;;;;;;
3ª Carrera;;2200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;MUSTAQER (IRE);6;5;63;SR. BENITEZ, D. (61);SAN ACACIO;O. ANAYA;7
2;SEMINOLE CRY(USA);1;6;62;F. LYNCH;CARRERAS INT.;J. L. EYRE;4
3;MADISON PARK (IRE);3;5;60;I. LOPEZ;YANKEE RACING;B. RAMA;3
4;ELTZABURU;4;4;58;E. MELIAN(56);SALVADOR ELIZONDO TEKNICA;J. A. RODRIGUEZ;1
5;ZARIEVICH NUÑEZ(IRE);5;4;58;J. CROCQUEVIEILLE;LUIS ALBERTO NUÑEZ;J. A. RODRIGUEZ;5
6;LISSELAN CLANSMAN(IRE);7;6;57;M. GOMES;LISSELAN FARMS;A. R. ACOSTA;6
7;NARIXA(GB);2;3;54;V. JANACEK (54,5);CRUCEÑA;O. ANAYA;2
;;;;;;;;
4ª Carrera;;1200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;EL LOLO(IRE);4;5;58;I. LOPEZ;EL LOBO;O. ANAYA;7
2;DUENDE;1;3;57;E. MELIAN (54);BLOKE;J. A. RODRIGUEZ;11
3;GREDOS;10;3;57;B. FAYOS;INSTAGONZA;O. ANAYA;5
4;LISSELAN STAR(IRE);9;4;54,5;V. SANCHEZ (51,5);LISSELAN FARMS;A. R. ACOSTA;8
5;NAVAL REVIEW(USA);2;6;54,5;V. JANACEK;MARTEL SANCHEZ;O. ANAYA;10
6;GLENAVON(GB);99;3;54;F. ALVARADO (56);CASTILLO DE CHARETA;B. RAMA;12
7;MORANTE;5;3;54;J. CROCQUEVIEILLE (55);CELANOVA;J. A. RODRIGUEZ;2
8;SUPER NENA (IRE);99;3;54;SRTA. GELABERT, L(50)(B.AM.);CELANOVA;J. A. RODRIGUEZ;9
9;TICIA BERE (FR);7;4;53;R. NAYLOR (51)(B.B.);CASTILLO DE CHARETA;B. RAMA;1
10;BELLA LUCI(IRE);3;3;52,5;M. SECCI;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;3
11;LOCAL FIREFOX(SWE);8;3;52;A. FUSCO (B.V.);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;4
12;LISSELAN NYMPH(USA);6;3;50,5;M. GOMES (51) (B. R.);LISSELAN FARMS;A. R. ACOSTA;6
;;;;;;;;
5ª Carrera;;1300 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;CAMURAY;4;6;60,5;V. JANACEK;Y. CORTIÑAL;E. LEON;4
2;BAHRAJ (USA);3;4;60;I. LOPEZ;B.P. SAN MATEO;O. ANAYA;6
3;CARIOKA;6;3;57,5;B. FAYOS (B.B.);Y.CORTIÑAL;J. C. FERNANDEZ;1
4;RISBY (IRE);2;3;57;J. CROCQUEVIEILLE;VIGURIA;J. M. OSORIO;7
5;MAGIC VICTORY (GB);8;6;56,5;M. GOMES;SILVER;T. MARTINS;9
6;BLACK DIBEL (GB);5;3;56;F. LYNCH;RIISIO S.L;J. C. MARTINEZ;2
7;S GRILLO (GB);1;3;55;M. SECCI;USSIA FIGUEROA;G. ARIZCORRETA;3
8;SONFLY;7;3;54;V. SANCHEZ;SOÑADOR;J. C. LOPERA;5
