31/07/2011;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;
;;;;;;;;
1ª Carrera;;2200 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;FRANCESCO CARA(FR);1;3;58;J.C.CERQUEIRA;C.SANTA BARBARA;T.CALLEJO;9
2;SUDDENSIDE;13;3;58;J.GROSJEAN;C.SAFSAF;F.RODRIGUEZ;3
3;BARATHEA BAY(IRE);7;3;57;J.HORCAJADA;C-TIZIANO;M.DELCHER S;2
4;LIBRETRASTO;4;3;57;J.B.HAMEL;C.CARDIE;A.IMAZ C;11
5;DON ALVARO(FR);11;3;56;A.GOMEZ;JUAN PEINADO;A.IMAZ C;5
6;GAMBERRO;12;3;56;C.FERNANDEZ (55);C.ZEBRA;J.C.FERNANDEZ;4
7;AMOREBIETA;6;3;54,5;E.MELIAN (51,5);C.SAN MAMES;G.ARIZKORRETA;6
8;ANTIQARIA(FR);9;3;54,5;J.L.BORREGO (55);C.ODISEA;I.GOMEZ;12
9;BLACK MOON(IRE);3;3;54,5;V.JANACEK;C.TRES Y MEDIO;B.VALENTI;13
10;CARABELLE;10;3;54,5;G.MADERO;C.ALISARES;A.IMAZ C;10
11;DONASKAIA(FR);8;3;54,5;M.SECCI;C.GARAZI;A.IMAZ B;7
12;KEITY;5;3;54,5;E.J.ARGUINZONES;C.EL TRISQUEL;L.A.OCQUE;1
13;RAMALLAH;2;3;54,5;J.CROCQUEVIEILLE (B.r.);C.ODISEA;I.GOMEZ;8
;;;;;;;;
2ª Carrera;;2000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;RAYEN;99;5;59;O.O.DE URBINA;C.KIF KIF;Y.DUREPAIRE;2
2;AMBASADOR;4;5;58,5;A.GOMEZ;C.LA ESPIGA;I.GOMEZ;1
3;ECO JAR;5;4;58,5;J.GROSJEAN;REZA PAZOOKI;F.RODRIGUEZ;5
4;INDIANO;6;3;57;V.JANACEK;C.POTRO CLUB;G.ARIZKORRETA;6
5;DON HERNANDO HAB;3;3;55;J.CROCQUEVIEILLE;GONZALO HERNANDO ABOIN;A.CARRASCO;8
6;GOIMENDI;2;3;54;J.L.MARTINEZ;Y.MILITAR;J.P.ESPINOSA;3
7;LIONEL STAR(FR);1;3;54;J.L.BORREGO (55);C.LOS HIERROS;M.J.PEREZ;7
8;IRUÑA;7;3;52,5;M.SECCI;C.SAFSAF;M.DELCHER S;4
;;;;;;;;
3ª Carrera;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON
1;PEDREÑA;5;4;62;S.BERMEJO (60);C.HISPANICA;F.RODRIGUEZ;5
2;HULRICK;4;5;62;J.C.CERQUEIRA;C.JIMENEZ;J.JIMENEZ;3
3;GENOVEVA;3;3;61,5;J.L.MARTINEZ;Y.MILITAR;J.P.ESPINOSA;2
4;LE BIG BOSS(FR);2;6;61;J.CROCQUEVIEILLE;C.SAN JULIO;J.L.MAROTO;1
5;VETTSTORI(FR);11;3;59,5;V.JANACEK;C.KALAMUA;R.LOPEZ;6
6;AKA BAY(FR);6;7;59;M.BORREGO;C.TALBOT;E.OLGADO;8
7;REDDY ON TANGO;10;7;57;C.FERNANDEZ (55);C.LAS MIERES;J.JIMENEZ;9
8;SIDRA(FR);7;3;54,5;R.H.HUAYAS;C.SEGAIR;E. PUENTE;4
9;FUSSY;8;4;54;A.GOMEZ (B.bl.);Y.MILITAR;J.P.ESPINOSA;7
10;SAIOA;1;5;54;J.GROSJEAN;C.APAI;R.MARTINEZ C;11
11;TEXEDU;9;4;54;G.MADERO;MARQUES DE CAVIEDES;G.VILLARTA;10
;;;;;;;;
4ª Carrera;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN
1;GINTONIC DOBLE(IRE);9;6;62;E.MELIAN (60);C.FACTOR SORPRESA;G.ARIZKORRETA;6
2;CAÑADIO(IRE);6;4;60;M.BORREGO;C.HISPANICA;F.RODRIGUEZ;2
3;SECRETSIDE(IRE);2;3;58,5;S.BERMEJO (56,5);C.SAFSAF;F.RODRIGUEZ;3
4;ROSA DO BARBADO(IRE);7;4;58;M.SECCI;C.WHYLAR;G.ARIZKORRETA;4
5;LE MUGUET(IRE);8;4;57;O.O.DE URBINA;C.NEARCO;J.L.MAROTO;7
6;DREIZEHN(IRE);99;4;56;J.L.MARTINEZ;C.COMETA;J.C.ROSELL;12
7;NAMIA(FR);11;8;55;J.CROCQUEVIEILLE;C.MY OWN BUSINESS;L.A.OCQUE;8
8;QUEENSIDE(USA);1;3;54,5;J.GROSJEAN (B.roja);C.SAFSAF;M.DELCHER S;1
9;VALLE DE RONCAL;5;3;54,5;J.L.BORREGO (55) (B.blanca);C.SAFSAF;F.RODRIGUEZ;10
10;CAPITAL;4;4;54;A.GOMEZ;C.BOBBY;I.GOMEZ;9
11;WOLFGANG;10;4;54;J.B.HAMEL;C.GASOGAS;M.ALONSO;11
12;PERCUS MOL;3;7;53;G.MADERO (54);ENDICA ARCENTALES;E.PUENTE;5
;;;;;;;;
5ª Carrera;;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;AZABACHE;;2;56;J.GROSJEAN;C.LOS TONELES;F.RODRIGUEZ;8
2;GALILEUS;;2;56;J.L.MARTINEZ;C.RIO CUBAS SL;J.C.FERNANDEZ;4
3;GIGGOLO STAR;;2;56;J.L.BORREGO;C.MAGAÑA;J.C.FERNANDEZ;3
4;HAMELIN;;2;56;A.GOMEZ;Y.MILITAR;J.P.ESPINOSA;6
5;LEITZARAN;;2;56;G.MADERO;C.EVA;A.IMAZ C;5
6;MATUSALEN;;2;56;J.HORCAJADA;C.ALLER;M.DELCHER S;7
7;VICTOR'S BET;;2;56;O.O.DE URBINA;C.BETVICTOR;I.VAQUERO;2
8;EMSI;;2;54,5;O.H.FLORES;C.ROBER;R.AVIAL;9
9;FLASH MCQUEEN;;2;54,5;J.B.HAMEL;CEDRIC BOUTIN;A.IMAZ C;1
10;LIBERALIA;;2;54,5;F.R.MARTINEZ;C.BUELNA EQUII;P.R.URBINA;10
