09/07/2011;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;
;;;;;;;;
1ª Carrera;;2100 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;COMANCHE TRAIL(FR);3;5;60,5;F. LYNCH;ASC. SOÑADOR & SUNSHINE RACI;P. HALEY;8
2;LISSELAN CLANSMAN(IRE);5;6;60,5;R. RAMOS;LISSELAN FARMS;A. R. ACOSTA;7
3;PENDENCIERO(USA);4;4;60,5;J. CROCQUEVIEILLE;LA PAZ;J. A. RODRIGUEZ;5
4;COVELO;6;6;59;V. SANCHEZ (55);PEREIRA S.A.T.;J. C. LOPERA;4
5;MADISON PARK (IRE);2;5;59;B. FAYOS;YANKEE RACING;B. RAMA;1
6;OLINA;7;4;59;J. E. JARCOVSKY;KINGS RACING;B. RAMA;3
7;IOVIA (FR);8;4;57,5;I. LOPEZ;BETICO;M. ALVAREZ;6
8;RIENZI(IRE);1;3;55,5;J. L. BORREGO;EL HERROJO;G. ARIZKORRETA;2
;;;;;;;;
2ª Carrera;;1800 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;DON ANDRES(GB);2;3;62;J. E. JARCOVSKY;ANTON;B. RAMA;3
2;VINOLETO;1;3;61;V. JANACEK;CRUCEÑA;J. C. MARTINEZ;9
3;FIDO DIDO(FR);5;3;60;J. CROCQUEVIEILLE;SUREÑA;J. A. RODRIGUEZ;1
4;GETXO (IRE);6;4;59,5;B. FAYOS;JIMENA;B. RAMA;5
5;COQUETA;4;3;57;R. RAMOS;COLISA;J. A. RODRIGUEZ;6
6;EUROBETIS;8;5;56,5;A. GOMEZ;LA GOYA;E. GALLARDO;7
7;EVA DE SARON;9;3;54;R. H. HUAYAS;LABERINTO;E.OLGADO;4
8;OTRANTO;7;4;51,5;M. GOMES;COMANSI;J. C. FERNANDEZ;8
9;DOVERY;3;5;50;R. NAYLOR (51);COURTNEY;J. L. EYRE;2
;;;;;;;;
3ª Carrera;;1800 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;KAYSERI;5;4;62;J. L. BORREGO;AREVACOS;A. CARRASCO;10
2;MISSIN;1;5;58;B. FAYOS;KINGS RACING;B. RAMA;2
3;COLELARA(FR);10;4;57;J. E. JARCOVSKY;SANLUQUEÑA;J. CALDERON;9
4;HERRI IRRATIA;2;3;55,5;J. HORCAJADA;MADROÑOS;B. RAMA;6
5;MEARI(ARG);9;4;54;M. GOMES;MI VIEJITA;J. C. FERNANDEZ;7
6;MAJOR DUDE (GB);6;3;53,5;R. NAYLOR (51,5);RACHAEL TEASDALE RACING;J. L . EYRE;1
7;FLOW BOY(IRE);4;7;53;J. CROCQUEVIEILLE(54,5);PADRONESA;J. A. RODRIGUEZ;3
8;MUNRO'S DRAGON(GB);7;3;52,5;R. H. HUAYAS;NANINA;J. CALDERON;5
9;SUISDIVIN (GB);8;5;52;A. GOMEZ;ODISEA;B. RAMA;8
10;CARA BLANCA(GB);3;3;50,5;V. SANCHEZ (48) (B. V.);RACHAEL TEASDALE RACING;J. L. EYRE;4
;;;;;;;;
4ª Carrera;;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;DUENDE;3;3;57;J. CROCQUEVIEILLE;BLOKE;J. A. RODRIGUEZ;2
2;GREDOS;4;3;57;I. LOPEZ;INSTAGONZA;O. ANAYA;10
3;JOE JUNIOR(GB);8;3;57;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;7
4;BELLA LUCI(IRE);2;3;55,5;M. S. SALOKANTO (56,5);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;4
5;MISS CORONITA;6;3;55,5;G. CARTER;B. P. SAN MATEO;O. ANAYA;3
6;THINK TWICE(IRE);1;3;55,5;F. LYNCH;SUNSHINE RACING;P. HALEY;6
7;LOCAL FIREFOX(SWE);12;3;55;R. NAYLOR (52)(B.R.);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;12
8;LISSELAN NYMPH(USA);5;3;53,5;M. GOMES;LISSELAN FARMS;A. R. ACOSTA;5
9;MIMBRERA;10;3;53,5;J. HORCAJADA (55);MADROÑOS;B. RAMA;8
10;MISS CLAUS;7;3;53,5;R. H. HUAYAS;NANINA;J. CALDERON;1
11;PARTOVIA;11;3;53,5;A. GOMEZ;SAN AMARO;J. C. LOPERA;11
12;ZAMBURIÑA;9;3;53,5;V. SANCHEZ (49,5);PEREIRA SAT;J. C. LOPERA;9
;;;;;;;;
5ª Carrera;;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;KURUCHET (ARG);99;4;62;J. HORCAJADA;SAN ACACIO;J.CALDERON;2
2;BLACKBERRY BOY(IRE);2;7;60,5;F. LYNCH;SUNSHINE RACING;P. HALEY;5
3;CABO CAÑAVERAL (FR);1;6;60,5;J. CROCQUEVIEILLE;SALVADOR MARQUEZ;J. A. RODRIGUEZ;3
4;LE FEU DU CIEL(FR);3;5;60,5;V. JANACEK;SAYAGO;G. ARIZKORRETA;1
5;LISSELAN BEAUTY (USA);4;5;59;J. E. JARCOVSKY;LISSELAN FARMS;A. R. ACOSTA;6
6;LISSELAN STAR(IRE);5;4;59;R. RAMOS (B.B.);LISSELAN FARMS;A. R. ACOSTA;4
