12/06/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
1ª CARRERA;;1000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;HIRU (FR);2;2 años;57;F.LYNCH;LA MILLA;SALAS, J.L. DE;3
2;IRISH CLIFF (IRE);1;2 años;57;J.HORCAJADA;CHICAGO;DELCHER S., M.;6
3;KIUMARS (IRE);3;2 años;57;J.GROSJEAN;REZA PAZOOKI;RODRIGUEZ, F.;1
4;MENCEY;5;2 años;57;M.BORREGO;LOS TONELES;RODRIGUEZ, F.;4
5;MISS BLONDIE (FR);4;2 años;57;A.GOMEZ;BOBBY;GOMEZ, I.;5
6;ORLIKA;6;2 años;57;J.C.CERQUEIRA;LAS AGUILAS;VILLARTA, G.;2
;;;;;;;;
2ª CARRERA;;1000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;GALILEUS;1;2 años;57;J.L.MARTINEZ;RIO CUBAS;FERNANDEZ R., J.C.;8
2;SILENT HAB;4;2 años;57;D.DIEZ;TADI;DIEZ, D;7
3;AZABACHE;2;2 años;55;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;6
4;CHUCHES;5;2 años;55;F.LYNCH;NAVELLOS;SALAS, J.L. DE;1
5;MAR CARIBE;8;2 años;55;J.C.CERQUEIRA (56);LAS AGUILAS;VILLARTA, G.;5
6;MARIA ANTONIETA;3;2 años;55;J.L.BORREGO;LA EXTREMEÑA;BORREGO,J.A.;2
7;MICEROUS;7;2 años;55;J.CROCQUEVIEILLE;TRES Y MEDIO;VALENTI, B.;4
8;MONDOÑEDO;6;2 años;55;V.JANACEK;PEREIRA S.A.T.;LOPERA, J.C.;3
;;;;;;;;
3ª CARRERA;;1400 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CALBLANQUE (IRE);3;4 años;62;C.FERNANDEZ (60);HABIT;FERNANDEZ R., J.C.;8
2;SAPHYRA (IRE);7;6 años;61;V.JANACEK;C.D.DOS TRIOS;HERNANDEZ, M.;9
3;BEROA (GB);1;3 años;60,5;M.BORREGO;MATIAS BORREGO;BORREGO, M.;1
