30/06/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
1ª CARRERA;;1100 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;KATIRE (FR);3;3 años;61;M.SECCI;POPULAR;ARIZKORRETA, G.;3
2;VALLE (USA);1;3 años;61;B.FAYOS;BERING;DELCHER S., M.;6
3;VIREAL (FR);4;3 años;59;O.O. DE URBINA;ALISARES;SANCHEZ C., A.;1
4;NOVA GLITTER (IRE);2;3 años;57,5;V.SANCHEZ (53,5);LUZERPALHA;MARTINS, T;4
5;SANGUIÑAL;6;3 años;55;J.C.CERQUEIRA (56,5);LAS AGUILAS;VILLARTA, G.;5
6;WINDING PATH (GB);5;3 años;53,5;C.FERNANDEZ (54);YEGUADA CASAS;FERNANDEZ R., J.C.;2
;;;;;;;;
2ª CARRERA;;1900 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;JIMMY FALABELLA (IRE);2;6 años;70;SR.SANTANA,A. (66);C.D.H. LOS ASPIRANTES 2 TUMBOS;CALLEJO S., T;8
2;EL MAGO (IRE);6;6 años;67;SR.MARTIN A,R.;RACING PARDO;HERNANDEZ, M.;3
3;YALLAYAN (FR);4;4 años;67;SR.SARABIA,D. (65);RIO CUBAS;FERNANDEZ R., J.C.;4
4;FLOW BOY (IRE);8;7 años;65,5;SR.SANTAMARIA,J.A (61,5);PADRONESA;RODRIGUEZ, J.A.;6
5;TALISMANIX (FR);5;5 años;64;SR.DE JULIAN,N (60);TALISMAN;RODRIGUEZ, J.A.;2
6;STRATEGOS (FR);7;4 años;62,5;SR.CAMPO,E.(60);EL SABLE;PUENTE, E.;5
7;KAYREL;1;3 años;57,5;SRTA.GELABERT,L (55,5);PINCAL;SANCHEZ, A.F.;1
8;EKKAIA (IRE);3;3 años;56;SRTA.MORENO,O (54);MIRANDA;DELCHER S,M.;7
;;;;;;;;
3ª CARRERA;;1600 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;SPECTRUM'S CHILD (IRE);8;6 años;62;J.HORCAJADA;LAS AGUILAS;VILLARTA, G.;11
2;DAGA BOY (IRE);2;4 años;62;J.C.CERQUEIRA;INTERNORTE;MARTINS, T;4
3;DEDDO;3;5 años;60;M.GOMES;LUZERPALHA;MARTINS, T;8
4;TODT (FR);4;4 años;60;V.JANACEK;EL SABLE;PUENTE, E.;2
5;EL CAÑONERO;9;3 años;58,5;R.H.HUAYAS;A'CASIÑA;GUTIERREZ, A.;3
6;ALJIBE (GB);12;8 años;58;R.RAMOS (B.Azul);EL SABLE;PUENTE, E.;6
7;ESTELA;11;4 años;57;B.FAYOS;MI VIEJITA;AON, ROBERTO;7
8;BALLINGLORIA (FR);5;5 años;56;J.L.BORREGO;ROYAL GAIT;BORREGO R , J. M.;1
9;KUCHULU (GB);7;4 años;56;M.BORREGO;Y AHORA QUE;GUTIERREZ, A.;5
10;TEXEDU;1;4 años;56;S.BERMEJO (54);MARQUES DE CAVIEDES;VILLARTA, G.;9
11;OKANDA;10;4 años;51;M.SECCI (B.Roja);LAS AGUILAS;VILLARTA, G.;10
12;MELANITA;6;7 años;50;SRTA.GUTIERREZ,A (48)(B.Verde);A'CASIÑA;GUTIERREZ, A.;12
;;;;;;;;
4ª CARRERA;;1600 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;LA RUBIA (IRE);5;5 años;62;J.HORCAJADA;CIELO DE MADRID;RODRIGUEZ, O.;11
2;ENMASCARADO;1;6 años;59;J.C.CERQUEIRA;DANIEL ROSET;CALLEJO S., T;12
3;SAMSAM (IRE);2;4 años;59;B.FAYOS;SUREÑA;RODRIGUEZ, J.A.;3
4;AS DE THOMAS (GB);11;5 años;58;M.GOMES;CUATRO JOTAS;RECIO, B.;2
5;MONTEAGUDO EBRO (IRE);6;3 años;57,5;O.O. DE URBINA;SAN CRISTOBAL;LOPEZ, J.;9
6;LITERARIO;10;3 años;56,5;V.JANACEK;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;6
7;UN MONDE;4;3 años;56,5;J.GROSJEAN;ALISARES;SANCHEZ C., A.;7
8;BEROA (GB);8;3 años;55,5;M.BORREGO;MATIAS BORREGO;BORREGO, M.;8
9;SKY BLUE;7;4 años;55;S.BERMEJO (53);LAS AGUILAS;VILLARTA, G.;1
10;RIVALLERO (GER);12;7 años;55;R.RAMOS (55,5);EL SABLE;PUENTE, E.;5
11;EL GUAJE (IRE);9;5 años;54;A.GOMEZ;LAMASON;LOPEZ, H.;10
12;REVOLAINA (USA);3;4 años;53;J.L.BORREGO (54,5);YEGUADA URDIÑ-ORIYA;PEREZ, F.;4
;;;;;;;;
5ª CARRERA;;1600 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ILLIZMIT (FR);6;6 años;62;O.O. DE URBINA;ORO;LOPERA, J.C.;1
2;SAPHYRA (IRE);9;6 años;61;V.JANACEK;C.D. DOS TRIOS;HERNANDEZ, M.;5
3;VODKA LEMON (GB);3;3 años;60,5;J.GROSJEAN;DE LA FUENTE STUD;DUREPAIRE, Y.;2
4;LEONIDAS BASILEUS(IRE);14;3 años;59,5;M.GOMES;LOS ESPARTANOS;FERNANDEZ R., J.C.;8
5;EL SANTO (IRE);8;4 años;59;E.MELIAN (57);CHAMBERI;ROSELL, J.C.;10
6;DAVAY (USA);1;3 años;58,5;J.C.CERQUEIRA;LUIS ALBERTO NUÑEZ;RODRIGUEZ, J.A.;12
7;NOVA FLAG (FR);5;3 años;58,5;R.RAMOS;ROMALU;RECIO, B.;7
8;PERCUS MOL;10;7 años;58;A.GOMEZ;ENDICA ARCENTALES;PUENTE, E.;9
9;FORTH KING;11;4 años;57;B.FAYOS;FRANCISCO DE JULIAN;RODRIGUEZ, J.A.;13
10;GENERAL MUSIC (IRE);13;6 años;57;M.BORREGO;DOMI;GUTIERREZ, A.;14
11;SEASIDE (FR);7;3 años;56,5;J.L.BORREGO;SAN MARCOS;PEREZ, F.;4
12;LUTHJET;2;5 años;56;M.SECCI;LAS AGUILAS;VILLARTA, G.;11
13;RIDE TO LIVE (IRE);4;4 años;56;J.HORCAJADA;CIELO DE MADRID;RODRIGUEZ, O.;3
14;REVADOUR (FR);12;3 años;54,5;V.SANCHEZ (51,5);EL SABLE;PUENTE, E.;6
