06/05/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;1600 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;SURVIBLE (IRE);6;3 años;62;J.CROCQUEVIEILLE;LUIS ALBERTO NUÑEZ;RODRIGUEZ, J.A.;5
2;DEDDO;2;5 años;62;B.FAYOS;LUZERPALHA;MARTINS, T;6
3;KUCHULU (GB);4;4 años;62;J.GROSJEAN;REZA PAZOOKI;RODRIGUEZ, F.;1
4;LUTHMEST;5;4 años;62;M.SECCI;LAS AGUILAS;URBINA, P.R.;2
5;SPECTRUM'S CHILD (IRE);1;6 años;61;J.HORCAJADA (B.Roja);LAS AGUILAS;URBINA, P.R.;4
6;BALLINGLORIA (FR);3;5 años;61;J.L.BORREGO;ROYAL GAIT;BORREGO R , J. M.;3
;;;;;;;;
2ª CARRERA;;1600 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;URBASA (USA);8;4 años;62;B.FAYOS;VELAGA;SANCHEZ C., A.;8
2;NOVA VIXEN (FR);1;3 años;60;O.O. DE URBINA;ALISARES;SANCHEZ C., A.;1
3;DRACO;3;5 años;58;SRTA.LOPEZ,D;LOPEZ VALLADARES;LOPEZ L, D.;3
4;RIDE TO LIVE (IRE);2;4 años;57;M.GOMES;CIELO DE MADRID;RODRIGUEZ, O.;5
5;GETXO (IRE);7;4 años;56;J.GROSJEAN;JIMENA;SANCHEZ C., A.;7
6;OSADO;5;6 años;55;J.L.MARTINEZ;COMANSI;FERNANDEZ R., J.C.;2
7;FORTH KING;4;4 años;54;J.M.SANCHE C (51);FRANCISCO DE JULIAN;RODRIGUEZ, J.A.;6
8;MIURA;6;4 años;54;M.SECCI;STAND CARMO;OLIVEIRA, L.A.;4
;;;;;;;;
3ª CARRERA;;1800 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;KINGSIDE (FR);1;3 años;58;J.GROSJEAN;SAFSAF;DELCHER S., M.;2
2;FETICHE VAL;3;3 años;57;J.CROCQUEVIEILLE;LOS TONELES;RODRIGUEZ, F.;1
3;BAND KARO (GB);5;3 años;55;F.LYNCH;BAND-KARO;CALLEJO S., T;7
4;DON LUIS (FR);6;3 años;55;V.JANACEK;SALVADOR MARQUEZ;RODRIGUEZ, J.A.;4
5;FANDIÑO;2;3 años;55;J.M.SANCHEZ C (51);CACHARELA;RODRIGUEZ, J.A.;6
6;KERBASI;7;3 años;55;B.FAYOS;YEGUADA ARANJUEZ;RODRIGUEZ, J.A.;8
7;LEONIDAS BASILEUS (IRE);4;3 años;55;F.JIMENEZ;LOS ESPARTANOS;FERNANDEZ R., J.C.;3
8;MONFORTE;8;3 años;55;R.RAMOS (56);PEREIRA S.A.T.;LOPERA, J.C.;9
9;SMALL HILL;9;3 años;55;M.SECCI;LAS AGUILAS;URBINA, P.R.;5
;;;;;;;;
4ª CARRERA;;1800 metros;ARENA-FIBRA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;SUDAFRICANA HAB (GB);1;3 años;60;D.DIEZ (57);TADI;DIEZ, D;12
2;NOVA WANGO (FR);7;3 años;58;M.BORREGO;RIBAMONTAN;GUTIERREZ, L.F.;5
3;SARAHZEM;6;3 años;58;M.GOMES;CIELO DE MADRID;RODRIGUEZ, O.;3
4;BLACK MOON (IRE);4;3 años;57;V.JANACEK;TRES Y MEDIO;VALENTI, B.;10
5;FONCUBERTA;10;3 años;57;O.O. DE URBINA;LOS GUERREROS;LOPEZ, R.;6
6;ULZARA (IRE);8;3 años;57;E.MELIAN (54);LEZO;BORREGO, J.A.;8
7;BERLINESA (IRE);12;3 años;55;S.MARTIN;LAS AGUILAS;URBINA, P.R.;9
8;EKKAIA (IRE);2;3 años;55;J.HORCAJADA;MIRANDA;DELCHER S., M.;7
9;MARIA IGNACIA (FR);3;3 años;55;B.FAYOS;KIF KIF;DUREPAIRE, Y.;4
10;MIMBRERA;11;3 años;55;A.GOMEZ;MADROÑOS;GOMEZ, I.;11
11;NOVIZA (GB);9;3 años;55;J.CROCQUEVIEILLE;AFRICA;OSORIO, J.M.;2
12;ZENOTZ;5;3 años;55;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;1
;;;;;;;;
5ª CARRERA;;2100 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ARGALY;2;5 años;60;B.FAYOS;PINCAL;SANCHEZ, A.F.;6
2;INDIAN LOU;5;4 años;60;E.MELIAN (58);TOLOSANA;GALDEANO R., F.;8
3;LISSELAN BEAUTY (USA);1;5 años;60;V.JANACEK;LISSELAN FARMS;A. R ACOSTA;4
4;EL CHULAPO (FR);7;5 años;59;O.O. DE URBINA;GONZALO HERNANDO-ABOIN;CARRASCO, A.;7
5;ISAMAN (GB);4;4 años;57;J.CROCQUEVIEILLE;AFRICA;OSORIO, J.M.;1
6;VAINILLA (IRE);6;5 años;56;J.HORCAJADA;EL LATIGAZO;SALAS, J.L. DE;5
7;POPURRI (FR);3;5 años;55;J.C.CERQUEIRA (55,5);LAJORQUIN;LOPEZ, J.;2
8;EL DORADDO;8;4 años;50;M.GOMES (51);PASTELERIA SANTO ANDRE;SILVA, J.M.;3
