13/11/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;2000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;BARONIA;2;4 años;58,5;V.JANACEK;L'ETOILE;SALAS, J.L. DE;5
2;MANIVELA;7;3 años;57;J.C.CERQUEIRA;FANTASIA;CALLEJO S., T;6
3;CRIS CROSS;4;4 años;56,5;J.HORCAJADA;TIZIANO;DELCHER S., M.;1
4;PANACEA (GB);5;4 años;56,5;J.CROCQUEVIEILLE;DUQUE DE ALBURQUERQUE;OSORIO, J.M.;2
5;AZAMOR;3;3 años;55;J.L.BORREGO;EL HERROJO;ARIZKORRETA, G.;3
6;RAMALLAH;1;3 años;55;A.GOMEZ;ODISEA;GOMEZ, I.;4
7;TAFADHALI;8;3 años;55;F.JIMENEZ;LAJORQUIN;LOPEZ, J.;7
8;VODKA LEMON (GB);6;3 años;55;R.H.HUAYAS;DOS HERMANOS;GUTIERREZ, A.;8
;;;;;;;;
2ª CARRERA;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ALUVION;99;2 años;57;D.DELGADO;SAN JOSE;RODRIGUEZ, J.A.;5
2;CUENTISTA;6;2 años;57;A.GOMEZ;ODISEA;GOMEZ, I.;12
3;GUSTEI;12;2 años;57;S.MARTIN;JOSE CUNHA;GALLIPOLI, C.;7
4;JOKAN (FR);99;2 años;57;J.CROCQUEVIEILLE;SALVADOR ELIZONDO TEKNICA;LOPEZ, J.;11
5;L'ACERONE (ITY);10;2 años;57;J.L.BORREGO (B.Blanca);SAN JOSE;PEREZ, M.J.;9
6;LEPIC (FR);7;2 años;57;J.L.MARTINEZ;DI BENISICHI;VALENTI, B.;8
7;ORINWAY (IRE);4;2 años;57;J.B.HAMEL;MARTUL;IMAZ C., A.;2
8;REAL DE CATORCE;9;2 años;57;J.C.CERQUEIRA;JARILLA;PEREZ, F.;6
9;ABLITAS;99;2 años;55,5;O.O. DE URBINA;LUXEMBURGO;LOPEZ, R.;13
10;CASCABEL;1;2 años;55,5;M.BORREGO;PINCAL;SANCHEZ, A.F.;10
11;ESTELLA;11;2 años;55,5;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;4
12;EXTRAÑEZA;5;2 años;55,5;R.H.HUAYAS;STUD RIO QUEQUEN;PEREZ, M.J.;1
13;GALA;3;2 años;55,5;M.GOMES;REZA PAZOOKI;RODRIGUEZ, F.;15
14;IUNE (USA);2;2 años;55,5;J.HORCAJADA;MADROÑOS;DELCHER S., M.;3
15;REAL TIGRESS (IRE);8;2 años;55,5;V.JANACEK;BETVICTOR;ARIZKORRETA, G.;14
;;;;;;;;
3ª CARRERA;;1600 metros;HIERBA;;;;;
