20/11/2011;;;;;;;;
Gran Hipódromo de Andalucía Javier Piñar Hafner;;;;;;;;
;;;;;;;;
1ª Carrera;;1000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;KIUMARS (IRE);7;58;2;J. GROSJEAN;REZA PAZOOKI;F. RODRÍGUEZ;4
2;CALITXO (IRE);5;57;2;J.L. BORREGO;M & K RACING;B. RAMA;2
3;CHIQUI (IRE);4;57;2;C. FERNÁNDEZ;SUFLÉ;J.C. FERNÁNDEZ;6
4;MASIVO MAN (IRE);1;57;2;J.E. JARCOVSKY;CELSO MENDEZ;M. ÁLVAREZ;5
5;LA NIÑA (IRE);6;55,5;2;J. CROCQUEVIEILLE;ROCHE;M. ÁLVAREZ;3
6;QUEEN DYHIM (FR);8;55,5;2;F. JIMÉNEZ;ALISARES;A. SÁNCHEZ C.;7
7;SCARLATTI;2;55,5;2;V. JANACEK;YEGUADA CORTIÑAL;J.M BORREGO;8
8;VIA MEYDAN (IRE);3;55,5;2;O. O. URBINA;MALDON;M. DELCHER S;1
9;MY FAIR LADY;9;53,5;2;M. SECCI;LAS AGUILAS;G. VILLARTA;9
;;;;;;;;
2ª Carrera;;1500 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CHITON;1;60;3;D. DELGADO;FRANCISCO DE JULIAN;J.A RODRÍGUEZ;6
2;DON PABLOS (IRE);4;60;3;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;10
3;EAGLE CANYON (IRE);2;60;3;V. JANACEK;TINERFE;J. CALDERÓN;2
4;SUPER NENA (IRE);5;56,5;3;SRTA. GELABERT, L. (52,5);CELANOVA;J.A RODRÍGUEZ;4
5;BLUE SKY;10;56;3;M. SECCI;LAS AGUILAS;G. VILLARTA;9
6;OMNIPOTENT (IRE);3;56;3;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;11
7;VAL DA MAHIA;6;56;3;A. GOMEZ (53);PALMA REAL;J.M BORREGO;5
8;BATILIA;12;54,5;3;J.L. BORREGO (55);DUO;J. SALGUERO;1
9;CARABELLE;7;54,5;3;F. JIMÉNEZ (55);ALISARES;A. SÁNCHEZ C;7
10;CUÑATAY;11;54,5;3;S. MARTÍN;GUAICURU;A.R ACOSTA;8
11;LA GALEA (IRE);9;54,5;3;E. MELIÁN (52);COLISA;J.A RODRÍGUEZ;12
12;PARTOVIA;8;54,5;3;R. NAYLOR (51,5);BOREAL;T. CALLEJO;3
;;;;;;;;
3ª Carrera;;1800 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ESQUIO;2;62;4;J. CROCQUEVIEILLE;PEREIRA SAT;J.C LOPERA;14
2;BURNING LIGHT (IRE);14;62;4;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;9
3;EL AFRICANO;10;62;5;J.C. CERQUEIRA;LAS AGUILAS;G. VILLARTA;15
4;HIGHSIDE (IRE);7;61;3;O. O. URBINA;MARISOL;R. LÓPEZ;3
5;MUNRO'S DRAGON (GB);12;60;3;V. JANACEK;NANINA;J. CALDERÓN;12
6;DELLA BEND (FR);13;60;3;J.L. BORREGO;JIMENA;B. RAMA;18
7;SACRAMENTO;18;60;3;SRTA. GELABERT, L. (58);AREVACOS;J.A RODRÍGUEZ;13
8;GOMINOLA (IRE);1;60;3;J.L. MARTÍNEZ;CANTER;J.L MARTÍNEZ;4
9;COLELARA (FR);15;60;4;F. JIMÉNEZ;SANLUQUEÑA;J. CALDERÓN;17
10;ZENOTZ;8;59;3;J. GROSJEAN;SAFSAF;F. RODRÍGUEZ;6
11;VALESKA;19;59;3;J.J. SALGUERO;VIENTOS DEL SUR;J. SALGUERO;19
12;COVELO;5;58;6;D. DELGADO (B. BLANCA);PEREIRA SAT;J.C LOPERA;11
13;HARRY CAN SAY (GB);11;58;3;R. H. HUAYAS;OS COISAS DOCES;J.M SILVA;8
14;DIAMOND FOR EVER;6;57;4;M. GOMES;ADELAI;F. RODRÍGUEZ;10
15;GRAN AGUILA (IRE);9;56;5;J.E. JARCOVSKY;IGKAMAR;M. ÁLVAREZ;1
16;MEARI (ARG);4;56;4;C. CAZALIS;MI VIEJITA;J.C. FERNÁNDEZ;7
17;MISS CLAUSS;17;54;3;A. GÓMEZ (52) (B. ROJA);NANINA;J. CALDERÓN;16
18;GOLD SNAKE (IRE);16;54;3;V. SÁNCHEZ (52);PASTELERIA SANTO ANDRE;J.M SILVA;2
19;GREEN NIGHT (IRE);3;50;3;M. SECCI (51) (B. ROJA);LAS AGUILAS;G. VILLARTA;5
;;;;;;;;
4ª Carrera;;1800 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN
1;BLAISE TOWER (GB);2;62;5;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;2
2;LA RUBIA (IRE);1;62;5;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;7
3;IBSAAR (GB);8;61;3;J.E. JARCOVSKY;TINERFE;J. CALDERÓN;8
4;SINGAPORE GUY (FR);3;61;5;F. JIMÉNEZ;CELSO MENDEZ;E. GALLARDO;3
5;OPUS;5;59;3;R. RAMOS;ROMALU;B.J RECIO;6
6;MALKOVA (FR);10;58;3;J. GROSJEAN;YUDAKOVA;J.A RODRÍGUEZ;11
7;BIPOLAR;4;58;3;M. GOMES;STAND VITORIA;L.A OLIVEIRA;1
8;PEACH BLOOM (GB);12;58;3;O. O. URBINA;LA TOLEDANA;J.L MAROTO;10
9;CAÑADIO (IRE);6;57;4;J.L. MARTÍNEZ;HISPANICA;J.C. FERNÁNDEZ;12
