02/10/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
1ª CARRERA;;1500 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;GIGGOLO STAR;2;2 años;58;J.L.MARTINEZ;MAGAÑA;FERNANDEZ R., J.C.;4
2;GNOMO;8;2 años;58;J.CROCQUEVIEILLE;JIMENA;SANCHEZ C., A.;7
3;MARIUS;3;2 años;58;O.O. DE URBINA;LUXEMBURGO;LOPEZ, R.;5
4;SAPHIRSIDE (IRE);1;2 años;58;J.GROSJEAN;SAFSAF;DELCHER S., M.;8
5;BARULLO;9;2 años;57;J.C.CERQUEIRA;CEREZO LARRECHE;VALENTI, B.;2
6;CALLSIDE (IRE);5;2 años;57;A.GOMEZ (B.Roja);SAFSAF;LEON, E;6
7;ILLUNBE (FR);4;2 años;57;F.JIMENEZ;CIELO DE MADRID;RODRIGUEZ, O.;1
8;KIUMARS (IRE);6;2 años;57;M.BORREGO;REZA PAZOOKI;RODRIGUEZ, F.;3
9;ALDUIDES (IRE);7;2 años;55;V.JANACEK;QUINTO REAL;ARIZKORRETA, G.;9
10;FLEUR ROYALE;10;2 años;55;M.SECCI;LAS AGUILAS;VILLARTA, G.;10
;;;;;;;;
2ª CARRERA;;1400 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;AGALA CANARIAS (IRE);8;2 años;57;J.L.MARTINEZ;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;2
2;DIME QUE SI (IRE);3;2 años;57;J.CROCQUEVIEILLE;DI BENISICHI;VALENTI, B.;4
3;DREAM DREAM DREAM (FR);7;2 años;57;D.DELGADO;BLOKE;RODRIGUEZ, J.A.;8
4;LA NAVA;4;2 años;57;S.MARTIN;BRAZACORTA;VILLARTA, G.;5
5;LUCENA (GB);1;2 años;57;J.L.BORREGO;REALEJO;ARIZKORRETA, G.;7
6;MARMARA;5;2 años;57;A.GOMEZ;ODISEA;GOMEZ, I.;1
7;NONALASS;2;2 años;57;J.HORCAJADA;CHAMARTIN;VALENTI, B.;3
8;PUNTABECA (IRE);9;2 años;57;J.C.CERQUEIRA;NANINA;CALLEJO S., T;6
9;SPORTSIDE (IRE);6;2 años;57;J.GROSJEAN;SAFSAF;DELCHER S., M.;9
;;;;;;;;
3ª CARRERA;;2100 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;AZAMOR;3;3 años;63,5;SRTA.BUESA,C (59,5);EL HERROJO;ARIZKORRETA, G.;8
2;PRINCE TRIAL;4;3 años;61;C.FERNANDEZ (58);ZALDUENDO;FERNANDEZ R., J.C.;1
3;ACHTUNG;1;3 años;58;O.O. DE URBINA;ENALTO;LOPEZ, R.;2
4;CASPIAN BOY;2;3 años;57;J.GROSJEAN;REZA PAZOOKI;RODRIGUEZ, F.;4
5;GRANADA;7;3 años;55,5;M.SECCI;BATTISTI TURF;AUGELLI, M.;5
6;LODOSA;5;3 años;55;F.JIMENEZ;CIELO DE MADRID;RODRIGUEZ, O.;7
7;SANGUIÑAL;9;3 años;55;J.CARBALLO (52);LAS AGUILAS;VILLARTA, G.;3
8;SMALL HILL;8;3 años;55;J.M.SANCHEZ C (52) (B.Roja);LAS AGUILAS;VILLARTA, G.;6
