23/10/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CASTELLANA;1;2 años;57;J.L.MARTINEZ;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;7
2;DIME QUE SI (IRE);3;2 años;57;V.JANACEK;DI BENISICHI;VALENTI, B.;11
3;NONALASS;4;2 años;57;J.HORCAJADA;CHAMARTIN;VALENTI, B.;3
4;AGALA CANARIAS (IRE);9;2 años;55;M.GOMES;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;6
5;ALMAZORA (GB);6;2 años;55;J.CROCQUEVIEILLE;EL HERROJO;OSORIO, J.M.;10
6;LA QUIMERA;10;2 años;55;R.RAMOS;E. PEREZ GUZMAN;MARTIN V., R.;8
7;LUCCIOLE LOL (FR);2;2 años;55;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;4
8;MARMARA;11;2 años;55;A.GOMEZ;ODISEA;GOMEZ, I.;9
9;QUEEN DYHIM (FR);8;2 años;55;F.JIMENEZ;ALISARES;SANCHEZ C., A.;1
10;SAMSARA;7;2 años;55;M.SECCI;BRAZACORTA;VILLARTA, G.;2
11;SPORTSIDE (IRE);5;2 años;55;J.GROSJEAN;SAFSAF;DELCHER S., M.;5
;;;;;;;;
2ª CARRERA;;1800 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;BAND KARO (GB);1;3 años;60;R.H.HUAYAS;CELSO MENDEZ;CALLEJO S., T;8
2;COSIDE (USA);2;3 años;60;S.MARTIN;SAFSAF;DELCHER S., M.;4
3;VIREAL (FR);4;3 años;60;V.SANCHEZ (57);ALISARES;SANCHEZ C., A.;1
4;CASPIAN BOY;3;3 años;58;M.BORREGO;REZA PAZOOKI;RODRIGUEZ, F.;10
5;ALBUR (GB);10;3 años;57;A.GUTIERREZ;AFRICA;OSORIO, J.M.;2
6;ALTAMIR ONE (GB);8;3 años;57;T.TRABUCCO;TRES Y MEDIO;VALENTI, B.;6
7;IZABARRE;6;3 años;57;J.JIMENEZ (54);DOS DE MAYO;HERNANDEZ, M.;11
8;LODOSA;5;3 años;57;C.FERNANDEZ (54);CIELO DE MADRID;RODRIGUEZ, O.;9
9;MIKELO (IRE);7;3 años;57;J.M.SANCHEZ C (54);TOLOSANA;GALDEANO R., F.;7
10;AZUCENA SAMVEL;9;3 años;55,5;F.ALVARADO;NAVARRAMIRO;CARRASCO, A.;3
11;LA GALEA (IRE);99;3 años;55,5;J.CARBALLO (52,5);COLISA;RODRIGUEZ, J.A.;12
12;VEROOONNICA;99;3 años;55,5;C.CORTEZ;TICIANA;MAROTO, J.L.;5
;;;;;;;;
3ª CARRERA;;2100 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;BLACK MOON (IRE);2;3 años;62;V.JANACEK;TRES Y MEDIO;VALENTI, B.;11
2;KALANDA;1;6 años;61;M.BORREGO;CENTRO;MARIN, M.A.;2
3;ALTEZA (IRE);5;3 años;61;J.L.MARTINEZ;MIRINDA RACING, S.C.;PEREZ, F.;7
4;ALFRED;7;5 años;61;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;3
5;KALINEA (GER);11;4 años;61;D.DELGADO;TALISMAN;RODRIGUEZ, J.A.;6
6;DIAMOND FOR EVER;3;4 años;59;J.GROSJEAN;ADELAI;RODRIGUEZ, F.;8
7;ANTIQARIA (FR);10;3 años;57;A.GOMEZ;ODISEA;CARRASCO, A.;9
8;PATRICIO (GB);9;4 años;57;O.O. DE URBINA;JOSE CUNHA;GALLIPOLI, C.;10
9;RIVIERA DE SOU (FR);6;8 años;56;R.H.HUAYAS;MY OWN BUSINEES;MEDINA, C.;4
10;GAMBERRO (IRE);4;3 años;54;M.GOMES;ZEBRA;FERNANDEZ R., J.C.;1
11;OJO DE HALCON (IRE);8;3 años;51;J.M.SANCHEZ C (49);LAS AGUILAS;VILLARTA, G.;5
;;;;;;;;
4ª CARRERA;;2100 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ZONA CERO (IRE);1;6 años;62;V.JANACEK;POPULAR;ARIZKORRETA, G.;5
2;DIEGO QUERCUS (FR);9;6 años;60;E.MELIAN (58);EL REMO;CARRASCO, A.;7
3;ROYAL IMARI (USA);2;4 años;58;O.O. DE URBINA;LA TOLEDANA;MAROTO, J.L.;1
4;INDIAN LOU;3;4 años;57;J.L.MARTINEZ;TOLOSANA;GALDEANO R., F.;8
5;MALKOVA (FR);8;3 años;57;D.DELGADO;YUDAKOVA;RODRIGUEZ, J.A.;2
6;ORLOV;12;5 años;57;J.C.CERQUEIRA;AGRADO;CALLEJO S., T;11
7;RAMALLAH;11;3 años;56;A.GOMEZ;ODISEA;GOMEZ, I.;4
8;LE COURLIS (FR);10;8 años;56;R.RAMOS;EL SWING;RECIO, B.;3
9;ABANTOS (IRE);6;3 años;56;J.L.BORREGO;ESCORIAL;GALDEANO R., F.;12
