25/09/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
1ª CARRERA;;1400 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;DAKSIDE;2;2 años;57;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;13
2;GOLDEN;9;2 años;57;F.JIMENEZ;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;10
3;JUAN DANIEL;7;2 años;57;V.JANACEK;CARBIAL;BORREGO R , J. M.;11
4;PHUKET;3;2 años;57;J.CROCQUEVIEILLE;MARIA DE SALAS;SALAS, J.L. DE;3
5;MARIA ANTONIETA;8;2 años;56,5;J.L.BORREGO;LA EXTREMEÑA;BORREGO, J.A.;12
6;CASTELLANA;4;2 años;55,5;J.L.MARTINEZ (B.Blanca);YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;5
7;DANIEL BOONE;11;2 años;55;R.RAMOS (B.Verde);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;6
8;DELFOSIDE;1;2 años;55;J.HORCAJADA (B.Roja);SAFSAF;DELCHER S., M.;8
9;EL VIRGINIANO;6;2 años;55;O.O. DE URBINA;ENALTO;LOPEZ, R.;1
10;GOMARIZ;10;2 años;55;D.DELGADO;PADRONESA;RODRIGUEZ, J.A.;9
11;SIR ALFIL;5;2 años;55;M.SECCI;AJEDREZ RACING;HERNANDEZ, M.;2
12;MAR CARIBE;99;2 años;53,5;J.M.SANCHEZ C;LAS AGUILAS;VILLARTA, G.;4
13;ORLIKA;12;2 años;53,5;J.CARBALLO (B.Roja);LAS AGUILAS;VILLARTA, G.;7
;;;;;;;;
2ª CARRERA;;2200 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CALAMARGO (IRE);5;4 años;60,5;O.O. DE URBINA;JIMENA;SANCHEZ, A.F.;5
2;SEÑOR MIRANDA (GB);7;4 años;60,5;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;1
3;LOCH ETIVE (GB);99;5 años;59,5;J.C.CERQUEIRA;DANIEL ROSET;CALLEJO S., T;8
4;PLANTAGENET;2;4 años;59,5;J.L.BORREGO;WHYLAR;ARIZKORRETA, G.;9
5;PORQUENOTECALLAS (IRE);4;5 años;59,5;J.CROCQUEVIEILLE;AFRICA;OSORIO, J.M.;2
6;ELTSO;3;3 años;57;V.JANACEK;SAN CRISTOBAL;LOPEZ, J.;6
7;ARNUERO (GB);1;3 años;56;J.HORCAJADA;MEDREAL;DELCHER S., M.;3
8;DIAMANT DU SOLEIL (FR);6;3 años;56;F.JIMENEZ;CIELO DE MADRID;RODRIGUEZ, O.;7
9;RIO DUERNA;8;3 años;56;J.M.SANCHEZ C.;LAS AGUILAS;VILLARTA, G.;4
;;;;;;;;
3ª CARRERA;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;AS DE THOMAS (GB);7;5 años;62;O.O. DE URBINA;CUATRO JOTAS;RECIO, B.;9
