Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;;;;;;;[image];;;;;;
;;;;;;;Programa de Carreras - 15 de abril de 2012;;;;;;
;;;;;;;Hipódromo LA ZARZUELA - Programa del día;15/04/2012;;;;;
;;;;;;1ª CARRERA - Premio Cría Nacional;- 10.000 Euros a repartir - 2.200 mts.;Hora: 11:15 h.;;;;;
Nº;;CABALLO;;EDAD;KG;JINETE;CUADRA;PREPARADOR;;CAJÓN;;Últ. actuaciones*;
1;;GRAN CHIPI (FR);;3 años;59;V.JANACEK;POPULAR;ARIZKORRETA, G.;;6;;[02,04,01,07];
2;;FISCHER;;3 años;58;A.GOMEZ (56);COMANSI;FERNANDEZ R., J.C.;;7;;[02,01,06];
3;;GIGGOLO STAR;;3 años;58;J.L.MARTINEZ;MAGAÑA;FERNANDEZ R., J.C.;;4;;[03,03,02,10,02];
4;;DELANADA;;3 años;57;J.CROCQUEVIEILLE;OBERON;SALAS, J.L. DE;;5;;[05];
5;;FAIRMOND;;3 años;57;M.BORREGO;CENTRO;MARIN, M.A.;;3;;[09,10];
6;;GUSTEI;;3 años;57;J.L.URIBE;PEÑARROYA;GALLIPOLI, C.;;1;;[11,08,12];
7;;REAL DE CATORCE;(5);3 años;57;J.L.BORREGO;JARILLA;PEREZ, F.;;2;;[12,09];
;;;;;;;2ª CARRERA - Premio Cruzcampo - 7.763 Euros a repartir - 1.400 mts.;Hora: 11:50 h.;;;;;
Nº;;CABALLO;;EDAD;KG;JINETE;CUADRA;PREPARADOR;;CAJÓN;;Últ. actuaciones*;
1;;OHCAPTAINMYCAPTAIN (FR);;3 años;59;A.GOMEZ (57);SAN MARCIAL;BORREGO, J.M.;;11;;[03,07,04,03,06];
2;;PANISIDE;;3 años;57;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;;13;;[04,04];
3;;VALERIANO (IRE);;3 años;57;J.HORCAJADA;MEDITERRANEO;DELCHER S., M.;;10;;[04,06];
4;;CHATARRILLA (FR);;3 años;55,5;F.JIMENEZ;EL REMO;CARRASCO, A.;;12;;[03];
5;;GALA;(5);3 años;55,5;M.GOMES;REZA PAZOOKI;RODRIGUEZ, F.;;5;;[03,NP];
6;;TERMANCIA (IRE);;3 años;55,5;B.FAYOS;VILLARTA;VILLARTA, G.;;8;;[04,NP];
7;;AMAVAS (IRE);;3 años;55;V.SANCHEZ (52);GREILET;SANCHEZ C., A.;;6;;[11];
8;;MIGUEL ANGEL (GB);(5);3 años;55;J.CROCQUEVIEILLE;ASOC. USSIA-HINOJOSA;SALAS, J.L. DE;;2;;[12];
9;;SUSPIRON (IRE);;3 años;55;V.JANACEK;M.A.F.;ARIZKORRETA, G.;;9;;[08];
10;;JUNGLE (GB);;3 años;53,5;J.M.SANCHEZ C (50,5);LABERINTO;AON, ROBERTO;;7;;[07,10,07];
11;;MONA LISA;;3 años;53,5;M.SECCI;CELSO MENDEZ;MARTIN V., R.;;3;;[09];
12;;PRIARANZA;;3 años;53,5;S.BERMEJO (51);LAS AGUILAS;URBINA, P.R.;;1;;[12];
13;;TENDENCIA;;3 años;53,5;SRTA GELABERT,L (50,5);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;;4;;[13];
14;;VETONIA (IRE);(2)(5);3 años;53,5;R,RAMOS (55,5);EL SWING;RECIO, B.;;14;;[07];
