29/04/2012;;;;;;;;;
Hipódromo de la Zarzuela;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1ª CARRERA;;1400 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;
1;EL AFRICANO;3;5 años;62;S.BERMEJO (60);LAS AGUILAS;URBINA, P.R.;8;
2;LUTHJET;8;6 años;58;B.FAYOS (B.Roja);LAS AGUILAS;URBINA, P.R.;7;
3;LISSELAN NYMPH (USA);4;4 años;58;S.MARTIN;LISSELAN FARMS;A. R ACOSTA;4;
4;CHIEF KEY (GB);5;4 años;58;M.SECCI;CANTER;AUGELLI, M.;1;
5;SANTI GULCH (IRE);7;4 años;57;V.JANACEK;PAGANINI;CALLEJO S., T;3;
6;VEGA DE CASTILLA (IRE);1;7 años;56;M.GOMES;STAND CARMO;AUGELLI, M.;5;
7;PEDREÑA;2;5 años;54;J.L.MARTINEZ;HISPANICA;FERNANDEZ R., J.C.;6;
8;FOLGOSO;6;4 años;54;A.GOMEZ (52);MARES;GUTIERREZ, A.;2;
;;;;;;;;;
2ª CARRERA;;1600 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;
1;ARATAN (IRE);6;5 años;65;SRTA ZAPICO,S.;ODISEA;GOMEZ, I.;7;
2;SANDOVAL (GB);2;6 años;65;SR MARTIN,L.A. (63);GONZALO HERNANDO-ABOIN;CARRASCO, A.;5;
3;BANBU;4;4 años;63;SR SOTO,A.;ALBERO;FERNANDEZ R., J.C.;2;
4;DRACO;5;6 años;63;SRTA LOPEZ,D. (61);LOPEZ VALLADARES;LOPEZ L, D.;6;
5;MUÑECA BRAVA (IRE);7;5 años;62,5;SR SARABIA,D.;KEMENG, C.D.E.;LOPEZ, R.;4;
6;AROUSA;8;5 años;61,5;SR CARMENA,M.;PEREIRA S.A.T.;LOPERA, J.C.;1;
7;BAZTAN;11;4 años;59;SR AGUILERA,R.(62);CALEJAÑA;LOPEZ F, D.;9;
8;LIBERTINO (FR);1;4 años;59;SR GREDILLA,P.;LA SETA DE CUBILLAS;ARIZKORRETA, G.;10;
9;LISSELAN MISSILE (USA);3;4 años;59;SR DE JULIAN,N.(57);LISSELAN FARMS;A.R.ACOSTA;11;
10;TAHUR (FR);10;4 años;59;SRTA MORENO,O. (57);CANTER;LEON, E;8;
11;SARAHZEM;9;4 años;58,5;SRTA ALONSO,B.(54,5);CIELO DE MADRID;RODRIGUEZ, O.;3;
;;;;;;;;;
3ª CARRERA;;1400 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;
1;VOLCANICO (IRE);3;4 años;61;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;1;
2;MIL AZUL;1;4 años;60;J.L.BORREGO;YEGUADA URDIÑ-ORIYA;SALAS, J.L. DE;3;
3;S GRILLO (GB);4;4 años;60;V.JANACEK;USSIA-FIGUEROA;ARIZKORRETA, G.;4;
4;AS DE TREBOL (USA);2;6 años;57;B.FAYOS;CHICAGO;DELCHER S., M.;6;
