10/08/2012;;;;;;;;
Hipódromo Costa del Sol;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;1400 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS
1;DUBROVNIK;1;2;58;J. CROCQUEVIEILLE;Y. LAS CUEVAS;J. CALDERON;6
2;CONFIÑO;2;2;56;F.JIMENEZ A.;CELANOVA;O. RODRIGUEZ;5
3;FAST CANARY(IRE);4;2;56;V. JANACEK;TINERFE;J. CALDERON;1
4;GOLDING BOY(FR);3;2;56;D. DELGADO;HELPING HAND REAL ESTATE;J. C. LOPERA;4
5;POTCAKE BOY(FR);99;2;56;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;3
6;FIGUEIRAS;5;2;52,5;J. GROSJEAN (54,5);PEREIRA SAT;J. C. LOPERA;2
;;;;;;;;
2ª CARRERA;;1200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS
1;BAHRAJ (USA);1;5;61;I. LOPEZ;TRES MALAGUEÑAS;O. ANAYA;6
2;ANGEL MELODY(FR);2;6;60;SR. SARABIA, D.;RIO CUBAS;D. SARABIA;3
3;BOMBADIL(IRE);5;5;60;V. JANACEK;JEREZANA;J. CALDERON;2
4;GASPARIÑO;3;3;59;J. GROSJEAN;LUIS ALBERTO NUÑEZ;J. A. RODRIGUEZ;1
5;CALITXO;4;3;52;G.CARTER (53);M & K RACING;B. RAMA;5
6;GANDARA(FR);99;3;50;J.M.SANCHEZ C (49);MAURICIO DELCHER SANCHEZ;M. DELCHER S.;4
;;;;;;;;
3ª CARRERA;;2100 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS
1;HELLO SNOW;3;3;62;D. DELGADO;BLOKE;J. A. RODRIGUEZ;1
2;MALKOVA (FR);1;4;61;J. GROSJEAN;YUDAKOVA;J. A. RODRIGUEZ;3
3;BURNING LIGHT(IRE);2;5;61;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;4
4;MEARI(ARG);4;5;58;C. FERNANDEZ (56);MI VIEJITA;J. C. FERNANDEZ;6
5;DELIRADA;6;4;58;R.H.HUAYAS;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;8
6;BLADE RUNNER;8;3;57;I. LOPEZ;RACHAEL TEASDALE RACING;J. L. EYRE;10
7;LUCCIOLE LOL (FR);5;3;56;E. MELIAN (54);CIELO DE MADRID;O. RODRIGUEZ;2
8;OLINA;7;5;54;G.CARTER;KINGS RACING;B. RAMA;5
;;;;;;;;
4ª CARRERA;;2100 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS
1;LIBRETRASTO;5;4;62;SR. SARABIA, D.;RIO CUBAS;D. SARABIA;3
2;VODKA LEMON(GB);6;4;62;R.H.HUAYAS;MADELAINE;R. H. HUAYAS;9
3;COSIDE(USA);1;4;59;J. GROSJEAN;SAFSAF;M. DELCHER S.;11
4;DELLA BEND(FR);4;4;58;V.JANACEK;JIMENA;B. RAMA;2
5;ILUSIONISTA;2;6;58;I. LOPEZ;ODISEA;B. RAMA;12
6;ALFRED;7;6;56;F. JIMENEZ A.;CIELO DE MADRID;O. RODRIGUEZ;10
7;OLZA (GB);99;5;56;M. SECCI;SCUDERIA TOSCANA;M. AUGUELLI;4
8;NOT SO BRIGHT (USA);9;4;56;F. ALVARADO (57);CASTILLO DE CHARETA;B. RAMA;5
9;EXPATBET(GB);10;3;55;G. CARTER;BETVICTOR;P. HALEY;6
10;LISSELAN GRACE(IRE);8;5;55;S.MARTIN;LISSELAN FARMS;A. R. ACOSTA;1
11;LODOSA;3;4;55;E. MELIAN (53)(B.R);CIELO DE MADRID;O. RODRIGUEZ;8
12;LONGUEIRON;99;3;53;N. GARCIA;PEREIRA SAT;J. C. LOPERA;7
;;;;;;;;
5ª CARRERA;;2200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS
1;BLACKBERRY BOY(IRE);4;8;60;G. CARTER;SUNSHINE RACING;P. HALEY;2
2;KURDO(FR);3;4;60;V. JANACEK;Y. AGF;G. ARIZCORRETA;1
3;SEMINOLE CRY(USA);1;7;60;J.L.MARTINEZ;CARRERAS INT.;J. L. EYRE;4
4;MENELDOR (IRE);2;4;58,5;J.CROCQUEVIEILLE;GONZALO HERNANDO ABOIN;A. CARRASCO;5
5;THE BELONGER(USA);5;5;58,5;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;3
