15/08/2012;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;
;;;;;;;;
1ª Carrera;;1400 metros ;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;BEAR PRINCE(GER);5;2;57;O.O. DE URBINA;C.LOS TONELES;F.RODRIGUEZ;4
2;COTONIO;4;2;57;J.L.BORREGO;C.ONE;M.J.PEREZ;8
3;DON ALEXANDRO(GB);7;2;57;G.MADERO;DANIEL ROSET;T.CALLEJO;5
4;IRISH SAND(IRE);1;2;57;J.B.HAMEL;C.MARTUL;A.IMAZ C;1
5;MAYO;2;2;57;V.JANACEK;C.USSIA-FIGUEROA;G.ARIZKORRETA;6
6;ACORAN CANARIAS(GB);6;2;55;J.CROCQUEVIEILLE;GR.BOLAÑOS GR.CANARIA;E.LEON;7
7;SUPER COCO;8;2;55;A.GOMEZ;C.ODISEA;I.GOMEZ;3
8;TONSAF(IRE);3;2;55;J.GROSJEAN;AS.SAFSAF-LOS TONELES;F.RODRIGUEZ;2
;;;;;;;;
2ª Carrera;;2000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;MARIUS;9;3;58;R.C.MONTENEGRO;C.LUXEMBURGO;R.LOPEZ;10
2;BELEFORONTE(IRE);11;3;56;J.CROCQUEVIEILLE;DQ.ALBURQUERQUE;J.M.OSORIO;4
3;FARO DE MONCLOA(IRE);8;3;56;O.O. DE URBINA;SALVADOR ELIZONDO TEKN.;J.LOPEZ;8
4;HAMELIN;1;3;56;F.JIMENEZ;Y.MILITAR;J.P.ESPINOSA;1
5;LEPIC(FR);3;3;56;J.HORCAJADA;C.DI BENISICHI;J.LOPEZ;2
6;OLAIBAR;10;3;56;M.BORREGO;C.EKI;D.DEL BARRIO;3
7;URDAZURI;4;3;56;M.SECCI;C.ERNIO;M.ALONSO;6
8;CHATARRILLA(FR);2;3;54,5;J.L.MARTINEZ;C.EL REMO;A.CARRASCO;7
9;DIAMOND BEAT(IRE);7;3;54,5;J.GROSJEAN;C.KOTARRO;A.SANCHEZ M;9
10;LA GOBERNADORA(GB);6;3;54,5;V.JANACEK;C.SANTA BARBARA;G.ARIZKORRETA;11
11;SILENT HAB;5;3;54,5;R.RAMOS (56);C.ROMALU;B.J.RECIO;5
;;;;;;;;
3ª Carrera;;2400 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON
1;ACHTUNG;7;4;59;J.GROSJEAN;C.ENALTO;R.LOPEZ;8
2;AUSTRALIA DAY(IRE);3;9;59;M.DWYER;SKIPPY & THE PERNERS;P.WEBBER;4
3;DUNNBOINEE(IRE);8;4;59;G.MADERO;C.MARTUL;A.IMAZ C;5
4;ENTRE COPAS(GB);5;8;59;J.CROCQUEVIEILLE;C.AFRICA;J.M.OSORIO;6
5;ESLES(FR);99;4;59;J.B.EYQUEM;GEORGIANA CABRERO;C.LAFFON-PARIAS;9
6;HIGH JO(GB);6;4;59;P.SOGORB;G.AUGUSTIN NORMAND;E.LELLOUCHE;2
7;PAZIFIKSTURM(GER);1;5;59;J.B.HAMEL (B.roja);C.MARTUL;A.IMAZ C;3
8;FORTUN(IRE);4;3;54;C.NORA;C.LA TOLEDANA;J.L.MAROTO;1
9;PHUKET;2;3;54;J.L.BORREGO;MARIA DE SALAS;J.L.DE SALAS;7
;;;;;;;;
4ª Carrera;;1500 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN
1;MAKAAMEN(GB);2;6;62;V.JANACEK;DANIEL ROSET;T.CALLEJO;10
2;VEGA DE CASTILLA(IRE);3;7;59;M.GOMES;STAND CARMO;M.AUGELLI;12
3;CATTIVA(FR);11;3;58,5;O.O. DE URBINA;C.DI BENISICHI;J.LOPEZ;9
4;VETONIA(IRE);9;3;57,5;R.RAMOS;C.EL SWING;B.J.RECIO;5
5;AS DE THOMAS(GB);1;6;57;J.B.HAMEL;C. CUATRO JOTAS;B.J.RECIO;1
6;FEARSIDE;10;3;56,5;J.GROSJEAN;C.SAFSAF;F.RODRIGUEZ;7
7;VRAIVITA;12;3;54,5;R.C.MONTENEGRO;C.MARISOL;R.LOPEZ;8
8;ALABAMA;5;4;54;J.HORCAJADA (54,5);C.REMOLINA;A.REMOLINA;2
9;D'ARTAGHAN(IRE);8;6;54;A.GOMEZ;C.DO XASTRE;J.M.BORREGO R;11
10;REENATA(IRE);4;4;53;J.M.SANCHEZ C (51);C.TOLOSANA;J.L.MAROTO;6
11;REAL TIGRESS(IRE);7;3;51,5;M.SECCI;C.BETVICTOR;G.ARIZKORRETA;3
12;SIDRA(FR);6;4;50;I.KOPLIKOVA;C.SEGAIR;E.PUENTE;4
;;;;;;;;
5ª Carrera;;2200 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;SEÑOR MIRANDA(GB);2;5;60,5;J.L.MARTINEZ;C.LOS TONELES;F.RODRIGUEZ;1
2;BEAT THE WIND(IRE);5;4;58,5;C.NORA;C.EHUN;R.MARTIN S;2
3;CASAR(IRE);1;4;58,5;V.JANACEK;C.MEDREAL;M.DELCHER S;5
4;ORGI;4;5;57,5;M.GOMES;C.NORTENHA;T.MARTINS;4
5;ARSALAN(GB);3;3;57;J.GROSJEAN;REZA PAZOOKI;F.RODRIGUEZ;3
