19/08/2012;;;;;;;;;;
Hipódromo de San Sebastián;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1ª Carrera;;2200 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;;
1;TRESENPUNTO;5;4;62;V.JANACEK;C.DONALFA;M.J.PEREZ;1;;
2;PIPIRE DES GALAS(FR);99;6;60;G.MADERO;C.EL SABLE;E.PUENTE;4;;
3;FACON DE PARLER(FR);1;4;59;F.JIMENEZ (B.roja);C.EL SABLE;E.PUENTE;3;;
4;TANEA(IRE);3;6;58;R.RAMOS;C.RIBAMONTAN;G.VILLARTA;6;;
5;COMODORO(GER);4;3;57;C.FERNANDEZ (55);C.CARBALLOP;J.C.FERNANDEZ;7;;
6;RECONQUISTA(IRE);7;5;54;R.C.MONTENEGRO;C.ROBER;R.AVIAL;5;;
7;KALIMUTXO(FR);6;5;53;A.GOMEZ (B.roja);C.ROBER;R.AVIAL;8;;
8;NAVARRO(GER);2;5;53;J.M.SANCHEZ C (51)(B.az);C.EL SABLE;E.PUENTE;2;;
;;;;;;;;;;
2ª Carrera;;1400 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;;
1;AL QUEST(IRE);8;2;57;J.L.BORREGO;C.SAN MARCIAL;J.M.BORREGO B;11;;
2;CANTARELLA(IRE);5;2;57;A.GOMEZ;C.ODISEA;I.GOMEZ;8;;
3;JACETANA(FR);11;2;57;G.MADERO;C.ESTRADOS;R.MARTIN S;2;;
4;LA CAÑIZA(IRE);2;2;57;R.C.MONTENEGRO;Y.MILAGRO;R.AVIAL;6;;
5;LUZ DE MAR;10;2;57;R.RAMOS;C.RIBAMONTAN;G.VILLARTA;7;;
6;SONIC CHAPARRAL(IRE);3;2;57;J.HORCAJADA;C.TIZIANO;M.DELCHER S;10;;
7;ZAHORA;4;2;57;J.L.MARTINEZ;CELSO MENDEZ;M.ALVAREZ;3;;
8;CINNAMON CRESCENT(FR);1;2;55;J.B.HAMEL;JUAN IGNACIO ESCARIO;S.VIDAL;1;;
9;IBRI;9;2;55;F.JIMENEZ;Y.MILITAR;A.SUÑEN;5;;
10;KANALA(FR);6;2;55;V.JANACEK;C.SAN IGNACIO;G.ARIZKORRETA;9;;
11;MARIA FELIZ(GB);7;2;55;J.CROCQUEVIEILLE;AS.USSIA-HINOJOSA;J.L.DE SALAS;4;;
;;;;;;;;;;
3ª Carrera;;1400 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;;
1;AS DE TREBOL(USA);1;6;62;O.O. DE URBINA;C.CHICAGO;M.DELCHER S;8;;
2;AZABACHE;8;3;60;J.L.MARTINEZ;C.LOS TONELES;F.RODRIGUEZ;5;;
3;MARISCAL(IRE);7;6;60;R.C.MONTENEGRO;JESUS MEJIA;C.DELCHER;7;;
4;SHUMOOKH(IRE);6;9;59;J.B.HAMEL;C.DH LOS ASPIRANTES;T.CALLEJO;3;;
5;OTRO GINTONIC(GB);3;3;56;V.JANACEK;C.FACTOR SORPRESA;G.ARIZKORRETA;4;;
6;SAPHIRSIDE(IRE);4;3;56;J.GROSJEAN;C.SAFSAF;M.DELCHER S;2;;
7;EXTRAÑEZA;5;3;55,5;J.L.BORREGO;C.RIO QUEQUEN;M.J.PEREZ;6;;
8;ALMAZORA(GB);2;3;53,5;J.CROCQUEVIEILLE (54,5);C.EL HERROJO;J.M.OSORIO;1;;
;;;;;;;;;;
4ª Carrera;;2200 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN;;
1;DEL COSSA(FR);9;4;62;SR. SARABIA D.A.;C.RIO CUBAS SL;J.C.FERNANDEZ;5;;
2;RANYAN;1;3;61;V.JANACEK;C.AGRADO;T.CALLEJO;7;;
3;GOIMENDI;7;4;60;F.JIMENEZ;Y.MILITAR;J.P.ESPINOSA;1;;
4;RAMALLAH;3;4;58;SR. DE JULIAN N. (55);C.ODISEA;I.GOMEZ;4;;
5;DIME QUE SI(IRE);99;3;57;O.O. DE URBINA;C.DI BENISICHI;J.LOPEZ;10;;
6;BARROCCO;8;6;56;J.HORCAJADA;C.LLAS;J.LOP.VALVERDE;6;;
7;AMOREBIETA;2;4;55;R.H.HUAYAS;C.MADELEINE;R.H.HUAYAS;9;;
8;ECO JAR;4;5;55;J.GROSJEAN;REZA PAZOOKI;F.RODRIGUEZ;3;;
9;GAMBERRO(IRE);6;3;51;C.CAZALIS;C.ZEBRA;J.C.FERNANDEZ;2;;
10;SINAN;5;4;50;J.M.SANCHEZ (49);C.ROBER;R.AVIAL;8;;
;;;;;;;;;;
5ª Carrera;;1600 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;;
1;CIELO CANARIAS(IRE);1;4;58;J.L.MARTINEZ;GR.BOLAÑOS GR.CANARIA;E.LEON;8;;
2;FELIPE EL HERMOSO(FR);11;4;58;V.JANACEK;C.BALDA;G.ARIZKORRETA;2;;
