23/08/2012;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;
;;;;;;;;
1ª Carrera;;2200 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;AROUND THE MOON(IRE) (10000);2;3;59;O.O. DE URBINA;C.CHICAGO;M.DELCHER S;6
2;SECONDLIFE (8000);4;3;57,5;J.GROSJEAN;C.SAFSAF;M.DELCHER S;5
3;CAFAY (6000);5;3;56;J.L.URIBE;C.EL TRISQUEL;T.MARTINS;3
4;MONIUS(IRE) (6000);1;3;56;G.MADERO;C.ALISARES;A.IMAZ C;1
5;BELAGUA(IRE) (6000);99;3;54,5;V.JANACEK;C.QUINTO REAL;G.ARIZKORRETA;4
6;GIMENA (6000);3;3;54,5;M.GOMES;REZA PAZOOKI;F.RODRIGUEZ;2
;;;;;;;;
2ª Carrera;;1400 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;EASY TAG(FR) (10000);8;2;56;G.MADERO;ALEXANDRE MICELI;A.IMAZ C;3
2;LOVE IS THE ANSWER(FR) (10.);99;2;56;T.HENDERSON;JUAN IGNACIO ESCARIO;S.VIDAL;10
3;PUBLICREDIT (10000);7;2;56;J.B.HAMEL;C.ALAI;A.IMAZ B;5
4;WINKL SIDE (10000);3;2;56;J.GROSJEAN;C.SAFSAF;M.DELCHER S;1
5;BETTY (10000);6;2;54,5;M.GOMES;REZA PAZOOKI;F.RODRIGUEZ;7
6;FONDELUZ(IRE) (10000);1;2;54,5;R.C.MONTENEGRO;Y.MILAGRO;R.AVIAL;9
7;GOTA DE ORO (10000);4;2;54,5;J.L.MARTINEZ;C.LEVANTE;J.C.FERNANDEZ;8
8;MAMBIS(IRE) (10000);5;2;54,5;O.O. DE URBINA (55);C.RIAS BAIXAS;R.LOPEZ;2
9;MESENA (10000);9;2;54,5;V.JANACEK;C.EFES;A.CARRASCO;4
10;VILLAVICIOSA(IRE) (10000);2;2;54,5;J.CROCQUEVIEILLE;C.ODON;S.VIDAL;6
;;;;;;;;
3ª Carrera;;2000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON
1;SENTENCE;1;3;62;M.SECCI;C.FINCA CAS SANT;G.ARIZKORRETA;7
2;OLAIBAR;8;3;61;M.BORREGO;C.EKI;D.DEL BARRIO;1
3;BELGIAN CHOCOLATE;6;4;60,5;G.MADERO;C.COVADONGA;D.DEL BARRIO;4
4;MORNING MUSE(IRE);2;3;59;M.GOMES;C.NORTENHA;T.MARTINS;8
5;CAPITAL;3;5;57,5;A.GOMEZ;C.BOBBY;I.GOMEZ;3
6;DAL BACO;5;3;57;V.JANACEK;C.LA LLOSA;E.PUENTE;2
7;DONASKAIA(FR);7;4;52,5;F.R.MARTINEZ;C.LAGUNILLA;A.SANCHEZ M;5
8;XAMURAY;4;8;50;I.KOPLIKOVA (B.roja);C.BOBBY;I.GOMEZ;6
;;;;;;;;
4ª Carrera;;2000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN
1;AMBASADOR;5;6;62;A.GOMEZ;C.LA ESPIGA;I.GOMEZ;5
2;HAPPY FEW(GB);4;4;58;J.CROCQUEVIEILLE;C.ODISEA;I.GOMEZ;10
3;INDIAN BLUE(IRE);99;8;56;V.JANACEK;Y.MARQUES;E.PUENTE;3
4;GADIBA;7;4;55;J.L.MARTINEZ;Y.MILITAR;A.SUÑEN;1
5;SAMANA BLUE(FR);3;6;55;J.GROSJEAN;C.KOTARRO;A.SANCHEZ M;8
6;LETTICE KNOLLYS(GB);8;3;53,5;M.FOULON;C.LA TOLEDANA;J.L.MAROTO;9
7;SIDRA(FR);1;4;52;M.GOMES;C.SEGAIR;E.PUENTE;6
8;SLICK KNIGHT(GB);6;5;52;F.R.MARTINEZ (B.blanca);C.KOTARRO;A.SANCHEZ M;7
9;PERCUS MOL;2;8;51;J.M.SANCHEZ C (49);ENDICA ARCENTALES;E.PUENTE;2
10;YUCATAN;99;3;50,5;M.SECCI (51);C.A GRANXA;J.M.BORREGO R;4
;;;;;;;;
5ª Carrera;;1500 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CAPEARTH(IRE);2;2;56;J.B.HAMEL;C.MARTUL;A.IMAZ C;6
2;GO PARTI(FR);8;2;56;C.NORA;C.ALISARES;A.IMAZ C;7
3;KIRIL(FR);3;2;56;J.HORCAJADA;C.MADROÑOS;R.MARTIN S;3
4;MOU THE SPECIAL(IRE);1;2;56;V.JANACEK;C.LOS TONELES;F.RODRIGUEZ;8
5;OR STAR(IRE);7;2;56;G.MADERO (B.azul);C.MARTUL;A.IMAZ C;5
6;TXURI URDIN;6;2;56;M.FOULON;C.EVA;A.IMAZ C;1
7;LOLITA PLUMA(GB);5;2;54,5;R.C.MONTENEGRO;AS.SAFSAF-LOS TONELES;F.RODRIGUEZ;4
8;PEARLSIDE(FR);4;2;54,5;J.GROSJEAN;C.SAFSAF;M.DELCHER S;2
