Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
;;;;[image];;;;;;;
;;;;Programa de Carreras - 30 de agosto de 2012;;;;;;;
;;;;PARTICIPANTES PARA LAS CARRERAS DEL JUEVES, 30 DE AGOSTO DE 2012;;;;HIPODROMO DE SAN SEBASTIAN;;;
;;1ª Carrera - Premio;;Onda Cero;(Amazonas y Gentlemen) - 7.650 Euros a repartir- 1.500 metros. Hora: 17 h. 15 m.;;;;;;
Nº;CABALLO;;EDAD;KG;;JINETE;;CUADRA;PREPARADOR;CAJÓN;"Últ.
actuaciones*
*"
1;BOTTEGA(USA);;5;71;;SR.SARABIA D.A.;;C.RIO CUBAS SL;M.DELCHER S;3;4,1,3,2,5
2;GOLFO PERSICO(IRE);;4;69;;SR.CARMENA M;;AS.LOS TONELES-PAZOOKI;F.RODRIGUEZ;5;5,2,3,8,2
3;BILBO(FR);;5;67;;SR.GREDILLA P (65);;C.RIO AULENCIA;G.ARIZKORRETA;2;1,9,2,6,2
4;DON FERNANDO HAB;(5);4;64;;SR.PINEDA G (62);;C.VADILLO;A.CARRASCO;1;6,4,6,6,7
5;MUÑECA BRAVA(IRE);(5);5;63,5;;SRTA.BUESA C;;C.LUXEMBURGO;R.LOPEZ;4;2,7,4,7,2
;;;;2ª Carrera - Premio Ministerio de Alimentación, Agricultura y Medio Ambiente;;;;- 9.000 Euros a repartir - 1.600 metros. Hora: 17 h. 50 m.;;;
Nº;CABALLO;;EDAD;KG;;JINETE;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;CRACK;;3;58;;J.B.HAMEL;;Y.DONOSTIARRA;R.MARTIN S;4;8,6,7,0,8
2;HELSINKI;(4)(5);3;58;;J.L.MARTINEZ;;Y.MILITAR;J.P.ESPINOSA;1;3,7,5,6,1
3;PANISIDE;(3);3;57;;J.GROSJEAN;;C.SAFSAF;F.RODRIGUEZ;9;2,6,7,1,4
4;HADES;(5);3;56;;J.L.BORREGO (B.blanca);;Y.MILITAR;A.SUÑEN;8;Deb.
5;CASCABEL;;3;55,5;;G.MADERO;;C.PINCAL;M.A.MARIN;2;0,4,1
6;EYES WIDE OPEN;(5);3;55,5;;J.CROCQUEVIEILLE (B.roja);;C.SAFSAF;E.LEON;7;4,1
7;CHUCHES;;3;54,5;;M.GOMES;;C.LUZERPALHA;T.MARTINS;6;6,5
8;LIBERALIA;;3;54,5;;R.H.HUAYAS;;C.BUELNA EQUII;R.H.HUAYAS;5;8,0,0,2,7
9;LULU;;3;54,5;;V.JANACEK;;Y.AGF;G.ARIZKORRETA;3;0
;;3ª Carrera - Premio;;Manpel;(Handicap) (1ª parte) - 8.500 Euros a repartir- 2.000 metros. Hora: 18 h. 25 m.;;;;;;
Nº;CABALLO;;EDAD;KG;;JINETE;;CUADRA;PREPARADOR;CAJON;Ult.Actuac.
1;DEL COSSA(FR);;4;62;;SR.SARABIA D.A.;;C.RIO CUBAS SL;J.C.FERNANDEZ;3;9,4,5,2,9
2;AMBASADOR;;6;59;;A.GOMEZ;;C.LA ESPIGA;I.GOMEZ;2;5,2,2,7,0
3;LORD OF THE RINGS(FR);(5);4;58;;G.MADERO;;C.EVA;A.IMAZ C;8;2,1,2,3,9
4;RAMALLAH;;4;58;;SR.DE JULIAN N. (55);;C.ODISEA;I.GOMEZ;1;3,0,0,4,4
5;AMOREBIETA;;4;56;;R.H.HUAYAS;;C.MADELEINE;R.H.HUAYAS;5;2,1,3,2,6
6;CREYENTE(IRE);(5);4;56;;J.B.HAMEL;;CEDRIC BOUTIN;A.IMAZ C;4;3,3,5,0,7
7;SIDRA(FR);;4;54;;M.GOMES;;C.SEGAIR;E.PUENTE;6;1,6,5,0,0
8;ECO JAR;;5;54;;J.GROSJEAN;;REZA PAZOOKI;F.RODRIGUEZ;9;4,5,6,9,2
9;STILWELL(FR);;4;52;;J.M.SANCHEZ C (50);;C.IBAITA;E.PUENTE;7;6,8,0,0,0
;;4ª Carrera - Premio;;Gasogas;;(Handicap) (2ª parte) - 6.800 Euros a repartir- 2.000 metros. Hora: 19 h.;;;;;
Nº;CABALLO;;EDAD;KG;;JIINETE;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;ASHDEUZO(FR);(5);6;62;;SR.AGUILERA R (60);;Y.BALBAS ALONSO;E.PUENTE;3;2,7,3,8,3
2;FACON DE PARLER(FR);;4;61;;G.MADERO;;C.EL SABLE;E.PUENTE;1;1,0,0,7,8
3;GAMBERRO(IRE);;4;61;;C.FERNANDEZ (59);;C.ZEBRA;J.C.FERNANDEZ;9;6,6,1,8,3
4;BARATHEA BAY(IRE);(3);4;60;;M.GOMES;;C.LUZERPALHA;S.P.OLIVEIRA;10;4,7,5,6,0
5;SINAN;;4;60;;J.B.HAMEL;;C.ROBER;R.AVIAL;4;5,7,3,8,0
6;KEITY;;4;58;;V.JANACEK;;C.EL TRISQUEL;T.MARTINS;2;5,9,7,8,9
7;KIASIDE;;3;56,5;;J.GROSJEAN;;C.SAFSAF;E.LEON;6;6,0,0
8;BELGIAN CHOCOLATE;;4;56;;SR.DE JULIAN N. (54);;C.COVADONGA;D.DEL BARRIO;8;6,9,7,0
9;CAPITAL;(5);5;54;;A.GOMEZ;;C.BOBBY;I.GOMEZ;7;3,0,2,5,8
10;NAVARRO(PER);;5;52;;J.M.SANCHEZ C (50) (B.Roja);;C.EL SABLE;E.PUENTE;5;2,6,0,0,8
11;RETIRADO;;;;;RETIRADO;;;;;
12;RETIRADO;;;;;RETIRADO;;;;;
;;5ª Carrera - Premio;;Albañilería Vertical;;;- 10.000 Euros a repartir- 1.600 metros. Hora: 19 h. 40 m.;;;;
Nº;CABALLO;;EDAD;KG;;JINETE;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;AZAMOR;(4)(5);4;56,5;;V.JANACEK;;C.EL HERROJO;G.ARIZKORRETA;1;5,2,2,3,5
2;VODKA LEMON(GB);(3);4;56,5;;R.H.HUAYAS;;C.MADELEINE;R.H.HUAYAS;5;1,6,1,1,3
3;FLASH MCQUEEN;;3;55;;G.MADERO;;C.EVA;A.IMAZ C;3;9,7,4,8,0
4;EXTRAÑEZA;;3;54;;J.L.BORREGO;;C.RIO QUEQUEN;M.J.PEREZ;2;5,9,5,5,8
5;MISS BLONDIE(FR);;3;54;;A.GOMEZ;;C.BOBBY;I.GOMEZ;4;1,1,4,5,3
;;(2);;DIFICIL EN LA SALIDA;;;;;;;
;;(3);;CORRERA CON CARRILLERAS;;;;;;;
;;(4);;CORRERA CON TAPONES;;;;;;;
;;(5);;CORRERA CON ANTEOJERAS;;;;;;;
;;(6);;CORRERA CON VISOR;;;;;;;
;;;;[image];;;;SERVICIO DE COMUNICACIÓN;;;
;;;;;;;;Tel.: 91 596 25 23-24. Fax: 91 533 33 03;;;
;;;;;;;;www.loteriasyapuestas.es;;;
