 06-08-12;;;;;;;;
Hipódromo de San Sebastián;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª Carrera;;2000 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ASSABAA(FR) (8.000);7;7;66;SR.NASARI B. (64);C.LA TALETA;E.ABAJAS;7
2;AZAMOR (6.000);2;4;63,5;SR.PINEDA G. (61,5);C.EL HERROJO;G.ARIZKORRETA;4
3;DIXLESIO(IRE) (4.000);3;4;63;SR.DE JULIAN N.;C.RIAS BAIXAS;R.LOPEZ;9
4;RELAMPAGO(GB) (6.000);1;5;62,5;SR.CARMENA M.;C.TRES Y MEDIO;B.VALENTI;2
5;IRUZ(IRE) (4.000);4;7;62;SRTA.GRARD I.;C.ROBER;R.AVIAL;8
6;PERCUS MOL (4.000);6;8;62;SR.GUTIERREZ A. (58);ENDICA ARCENTALES;E.PUENTE;5
7;STILWELL(FR) (4.000);8;4;62;SR.CLEMENTE E. (63,5);C.IBAITA;E.PUENTE;6
8;ZACARIAS(FR) (4.000);5;7;62;SR.MARTIN A. R.;C.EDIF;R.MARTIN S;1
9;BELGIAN CHOCOLATE (4.000);9;4;60,5;SRTA.LOPEZ D.;C.COVADONGA;D.DEL BARRIO;3
;;;;;;;;
2ª Carrera;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;LEY DE LEYES(FR);4;4;62;V.JANACEK;C.EL SABLE;E.PUENTE;10
2;AMOREBIETA;1;4;61;R.H.HUAYAS;C.MADELEINE;R.H.HUAYAS;8
3;SIDRA(FR);5;4;60;M.GOMES;C.SEGAIR;E.PUENTE;4
4;HIGH DOMINO(FR);12;5;59;G.MADERO;C.ALISARES;A.IMAZ C;3
5;GALA;10;3;58;J.GROSJEAN;REZA PAZOOKI;F.RODRIGUEZ;5
6;GENOVEVA;3;4;58;F.JIMENEZ;Y.MILITAR;J.P.ESPINOSA;12
7;CALDERETA;11;4;57;J.L.MARTINEZ;C.DONDE VAMOS;R.AVIAL;2
8;SENTENCE;2;3;56;M.SECCI;C.FINCA CAS SANT;G.ARIZKORRETA;7
9;PIPIRE DES GALAS(FR);6;6;56;I.KOPLIKOVA (B.roja);C.EL SABLE;E.PUENTE;11
10;NAMIA(FR);9;9;55;R.RAMOS (56);C.JIMENEZ;B.J.RECIO;1
