Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
;;;;;;;[image];;;;
;;;;;;;Programa de Carreras - 2 de diciembre de 2012;;;;
;;;;;;;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes día 02/12/12;;;;
;1ª Carrera;;;PREMIO CRIA NACIONAL (AMAZONAS Y GENTLEMEN);;;6.800 Euros a repartir -1.600 metros;;;Hora: 12:20 h.;
Nº;CABALLO;;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;;ULTIMAS ACTUACIONES;
1;BANBU;;66;4;SR. MARTIN, L.A. (64);ALBERO;J. C. FERNANDEZ;5;;[01,07,01,03,03];
2;VICTOR'S BET;;62,5;3;SR. BENITEZ, D.;BETVICTOR;P. HALEY;9;;[05,07,01,08,05];
3;DRACO;(5);62;6;SRTA. LOPEZ L., D.;LOPEZ VALLADARES;D. LOPEZ L.;10;;[07,01,06,02,07];
4;ALABAMA;;61,5;4;SR. MARTIN A., R.;EFES;A. CARRASCO;1;;[14,03,07,01,05];
5;DIAMANTE BLANCO;(5);61;5;SR. HERMOSILLA, A. (59,5);LAS AGUILAS;A. GUTIERREZ;6;;[11,10,07,06,09];
6;SONOLONGO;;60;4;SRTA. TENA, C. (58);SONOS DA BAIXA LIMIA;A. GUTIERREZ;7;;[11,08];
7;AROUSA;(5);59,5;5;SR. NARVAEZ, M. (55,5);PEREIRA SAT;J. C. LOPERA;3;;[97,06,04,12,02];
8;BELATE;(3);59,5;4;SR. PINEDA, G. (61);CARBIAL;J. M. BORREGO R;2;;[01,05,06,04,06];
9;DELFOSIDE;;59,5;3;SRTA. CARDO, B. (55,5);SAFSAF;M. DELCHER. S;8;;[01];
10;BRILLIANT CAT;(3);58;3;SRTA. GALVEZ, G. (54);LA POTENCIA;A. CARRASCO;4;;[18,15];
;2ª Carrera;;;PREMIO HIPICA RANCHO ALEGRE;;;6.800 Euros a repartir - 1.500 metros;;;Hora: 12:55 h.;
Nº;CABALLO;;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;;ULTIMAS ACTUACIONES;
1;GOLDING BOY;(3);59;2;V. JANACEK;HELPING HAND REAL ESTATE;J. C. LOPERA;12;;[02,08,97,03,05];
2;WINKL SIDE;;59;2;J. GROSJEAN;SAFSAF;M. DELCHER. S;5;;[03,02,02,03,04];
3;ROCK MUSIC;;58;2;F. JIMENEZ;YEGUADA CORTIÑAL;J. A. RODRIGUEZ;6;;[03];
4;PETITE VISION;(3);57,5;2;A. GOMEZ;LA SUECA;J. C. LOPERA;14;;[03,05,07,03,02];
5;BOB (GB);;57;2;J.L. MARTINEZ;PASALRIO DE SAN ROQUE;J. L. EYRE;3;;[11];
6;CARAMELO (GB);;57;2;J.E. JARCOVSKY;EL REMO;A. CARRASCO;8;;[08];
7;FOR ALBERT;(5);57;2;J.M. SANCHEZ C.;TINERFE;J. CALDERON;9;;[06,06];
8;TENIENTE DREBIN;;57;2;J. HORCAJADA;RIO CUBAS;D. SARABIA;13;;[12,07];
9;WAD VISON;;57;2;R. RAMOS;RCA;J. A. RODRIGUEZ;4;;[09,05];
10;MAMBIS (IRE);(3);56,5;2;R.H. HUAYAS;RIAS BAIXAS;R. LOPEZ;15;;[05,05,03,04,05];
11;CELANOVA (GB);;55,5;2;M. SECCI;CELSO MÉNDEZ;M. ALVAREZ;2;;[04];
12;VALENCIA;;55,5;2;V. SANCHEZ;LUZERPALHA;T. MARTINS;10;;[13,05];
13;CAPITAN;;55;2;S. BERMEJO (BDA. BLANCA);YEGUADA CORTIÑAL;J. A. RODRIGUEZ;1;[;Debutante;]
14;TIO LUIS;;55;2;J.L. BORREGO;SAN JULIO;J. L. MAROTO;7;[;Debutante;]
15;AFRICAN SEA (USA);;53,5;2;M. GOMES;CHICAGO;M. DELCHER. S;11;[;Debutante;]
;3ª Carrera;;;;;PREMIO GRUPO SANCHEZ RAMADE (HANDICAP DIVIDIDO 2ª PARTE);5.950 Euros a repartir -2.100 metros;;;Hora: 13:30 h.;
;CABALLO;;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;;ULTIMAS ACTUACIONES;
1;ORLOV;(2) (5);62;6;F. JIMENEZ;AGRADO;T. CALLEJO;12;;[11,06,18,05,01];
2;PATRICIO (GB);;62;5;M. GOMEZ;PEÑARROYA;C. GALLIPOLI;1;;[03,07,02,06,07];
3;COQUETA;;60;4;R.H. HUAYAS;COLISA;J. A. RODRIGUEZ;4;;[08,06,14,04,07];
4;GAMBERRO;;60;4;V. JANACEK;ZEBRA;J. C. FERNANDEZ;7;;[02,08,03,02,05];
