ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1-23/12/12;LABROS;4;58;2;J. HORCAJADA;DOSEMES;DELCHER S., M.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;SERGI SWING;2;58;2;J.L. MARTINEZ;BLOKE;AUGELLI, M.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;TENIENTE DREBIN;5;58;2;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;CAPITAN;9;57;2;F. JIMENEZ;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;EL GROO;7;57;2;M. GOMES;ONE;PEREZ, M.J.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;GOLDING BOY (FR);8;57;2;A. GOMEZ;HELPING HAND REAL ESTATE;LOPERA, J.C.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;VIENTO DE GUERRA (GB);10;57;2;M. SECCI;LAS AGUILAS;GUTIERREZ, A.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;WAD VISON;6;57;2;R. RAMOS;RCA;RODRIGUEZ, J.A.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;GRIEVOUS ANGEL (IRE);1;56,5;2;O.O. DE URBINA;B. P. SAN MATEO;ANAYA, O.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-23/12/12;POLANCO (USA);3;55;2;J.L. BORREGO;BERING;MAROTO, J.L.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2-23/12/12;TASHQEEL (GB);2;67,5;4;SR. BENITEZ, D;SAN ACACIO;ANAYA, O.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-23/12/12;BOTTEGA (USA);3;66;5;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-23/12/12;NOT SO BRIGHT (USA);4;63;4;SR. ALONSO, A.;CASTILLO DE CHARETA;RAMA, B.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-23/12/12;ALFACAR;1;62,5;3;SRTA. LOPEZ L., D.;EL FARGUE;DELCHER S., M.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2-23/12/12;BURNING LIGHT (IRE);5;61,5;5;SRTA. CHAMIZO, R. (63) (BDA. ROJA);CASTILLO DE CHARETA;RAMA, B.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3-23/12/12;CAÑADIO (IRE);1;62;5;J. HORCAJADA;HISPANICA;FERNANDEZ R., J.C.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;LISSELAN HOSTESS (IRE);9;59;4;R.H. HUAYAS;LISSELAN FARMS;ACOSTA, A.R;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;DESEADO;2;58;3;R. RAMOS;SUREÑA;RODRIGUEZ, J.A.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;DON PABLOS (IRE);3;58;4;J.L. BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;GREEN NIGHT (IRE);4;57;4;M. SECCI;LAS AGUILAS;GUTIERREZ, A.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;CAPTAIN BLUEBIRD (IRE);5;55;5;A. GOMEZ;CASTILLO DE CHARETA;RAMA, B.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;GARRARUFA (IRE);6;55;3;F. ALVARADO (57) (BDA. ROJA);CASTILLO DE CHARETA;RAMA, B.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;BELEFORONTE (IRE);8;55;3;F. JIMENEZ;INSTAGONZA;PEREZ, F.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;SCARLATTI;10;53;3;E. MELIAN (52);AREVACOS;RODRIGUEZ, J.A.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-23/12/12;BOMBAY CANALLA;7;51;4;M. GOMES (52);MG RACING;PEREZ, M.J.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4-23/12/12;RUBENS;1;62;7;F. JIMENEZ;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;BANBU;11;61;4;C. FERNANDEZ (59);ALBERO;FERNANDEZ R., J.C.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;CORCUBION;5;61;7;A. GOMEZ;PEREIRA S.A.T.;LOPERA, J.C.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;ALHAPRINCE (IRE);6;59;8;J.E. JARCOVSKY;LABERINTO;GOMEZ, G.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;GARAJONAY (FR);99;59;3;S. BERMEJO (57);ASOC. SAFSAF-LOS TONELES;RODRIGUEZ, F.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;VICTOR'S BET;4;59;3;SR. NARVAEZ, M.A. (57);BETVICTOR;HALEY, P.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
