Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1-12/02/2012;VICTOR'S BET;2;60;3;F. JIMENEZ;BET VICTOR;P. HALEY;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1-12/02/2012;BENTAYGA (IRE);5;58;3;I. LOPEZ;INSTAGONZA;O. ANAYA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1-12/02/2012;LADYKIN (IRE);3;56,5;3;A. GOMEZ (53,5);MAZZANTINNI;A. CARRASCO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1-12/02/2012;BARULLO;4;56;3;J. CROCQUEVIEILLE;CEREZO LARRECHE;B. VALENTI;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1-12/02/2012;ESGUES;1;56;3;J. GROSJEAN;LA SUECA;J.C. LOPERA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
1-12/02/2012;GALAXY;6;54,5;3;E. MELIAN (52);SAN JOSE;J.A. RODRIGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2-12/02/2012;ESQUIO;2;67;5;SR. CARMENA, M.;PEREIRA SAT;J.C. LOPERA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
2-12/02/2012;JORDAN WATER;4;64;5;SRTA. BUESA C. (62);SAYAGO;G. ARIZCORRETA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
2-12/02/2012;MENELDOR;1;64;4;SRTA. ZAPICO, S.;GONZALO HERNANDO-ABOÍN;A. CARRASCO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
2-12/02/2012;BOREAS;5;63;5;SRTA. RODRIGUEZ, G. (61);CELSO MENDEZ;M. ALVAREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
2-12/02/2012;NARIXA (GB);3;60,5;4;SR. BENITEZ, D.;CRUCEÑA;O. ANAYA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
2-12/02/2012;MASON (SWE);7;60;4;SR. SOTO, A. (61);DUO;J. SALGUERO;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
2-12/02/2012;MANLY DREAM (FR);6;59,5;5;SR. DE JULIAN N. (57,5);INTERNORTE;T. MARTINS;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3-12/02/2012;PADRON;3;62;4;A. GOMEZ (60);PEREIRA SAT;J. C. LOPERA;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-12/02/2012;FATHSIDE (IRE);6;61;6;S. MARTIN;STAND CARMO;L. A. OLIVEIRA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-12/02/2012;LUTHJET;2;58;6;S. BERMEJO (56);LAS AGUILAS;G. VILLARTA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-12/02/2012;SUPER NENA (IRE);99;55;4;J. CROCQUEVIEILLE;AREVACOS;J. A. RODRIGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-12/02/2012;NAZARENO HEN (IRE);7;55;4;F. JIMENEZ;DUO;J. SALGUERO;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
3-12/02/2012;PERFECTAMENTE (GB);9;53;6;E. MELIAN (52);JOLAM;E. OLGADO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
