ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1-5/02/2012;POMPOM COEUR;1;57;3;J. GROSJEAN;SAFSAF;F. RODRIGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;VELEZA;2;56;3;J. CROCQUEVIEILLE;SAN JOSE;J. A. RODRIGUEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;ALDAMAR;6;55;3;E. MELIAN (52);COLISA;J. A. RODRIGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;ALMA DHARMA;8;55;3;F. JIMENEZ;JOSE SIMO;J. CALDERON;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;CAFFE LATTE;5;55;3;S. MARTIN;SOÑADOR;J. SALGUERO;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;GAMELA;99;55;3;O.O. URBINA;DI BENISICHI;B. VALENTI;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;MY FAIR LADY;7;55;3;M. GOMES;LAS AGUILAS;G. VILLARTA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;SANTILLANA;3;55;3;J.L. BORREGO;YEGUADA URDIÑ-ORIYA;J. L. DE SALAS;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1-5/02/2012;SINDARITA;4;55;3;V. JANACEK;EL GIRALDILLO;M. ALVAREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2-5/02/2012;DUNEDAIN (GB);2;60;4;SR. SARABIA, D.;RIO CUBAS;J. C. FERNANDEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2-5/02/2012;BOMBADIL (IRE);7;59;5;A. GOMEZ (56);JEREZANA;J. CALDERON;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2-5/02/2012;COLORIN (IRE);3;59;5;C. FERNANDEZ (56);YEGUADA CASAS;J. C. FERNANDEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2-5/02/2012;RAYO NEGRO (IRE);6;59;5;O.O. URBINA;NANINA;J. CALDERON;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2-5/02/2012;SERGEI (IRE);1;59;4;J. CROCQUEVIEILLE;SAN JOSE;J. A. RODRIGUEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2-5/02/2012;ALTAMIR ONE (GB);4;56;4;V. JANACEK;TRES Y MEDIO;B. VALENTI;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
2-5/02/2012;CAPTAIN BLUEBIRD (IRE);5;56;5;F.ALVARADO (56,5);CASTILLO DE CHARETA;B. RAMA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3-5/02/2012;BARROCCO;10;63;6;A. GOMEZ (61);LLAS;J. L. VALVERDE;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;PERSICUS (GB);1;63;6;C. FERNANDEZ (61);HISPANICA;J. C. FERNANDEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;ROLANDINO (FR);99;63;6;S. BERMEJO (61);YEGUADA URDIÑ-ORIYA;F. PEREZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;MADRUGAR (FR);8;60;8;S. MARTIN;PADRONESA;J. A. RODRIGUEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;ORLOV;5;60;6;J.C. CERQUEIRA;AGRADO;T. CALLEJO;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;VOLCAN CANARIAS (IRE);11;60;4;F. JIMENEZ;GRUPO BOLAÑOS GRAN CANARIA;E. LEON;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;ZARIEVICH NUÑEZ (IRE);3;60;5;J. CROCQUEVIEILLE;LUIS ALBERTO NUÑEZ;J. A. RODRIGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;ECO JAR;2;58;5;J. GROSJEAN;REZA PAZOOKI;F. RODRIGUEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3-5/02/2012;ILLIZMIT (FR);6;57;7;D, DELGADO;LA SUECA;J. C. LOPERA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
