ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1-19/07/2012;ALBUHERA;1;2 años;57,5;J.HORCAJADA;CACHARELA;RODRIGUEZ, J.A.;1;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1-19/07/2012;CONFIÑO;2;2 años;57;F.JIMENEZ;CELANOVA;RODRIGUEZ, O.;5;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1-19/07/2012;DEVIL BLACK;3;2 años;57;J.L.MARTINEZ;YEGUADA CORTIÑAL;FERNANDEZ R., J.C.;3;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1-19/07/2012;DOMECQ;4;2 años;57;J.GROSJEAN;RCA;RODRIGUEZ, J.A.;4;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1-19/07/2012;ALHACENA;5;2 años;55,5;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;2;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2-19/07/2012;GRAN CHIPI (FR);1;3 años;61;V.JANACEK;POPULAR;ARIZKORRETA, G.;1;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
2-19/07/2012;HENARES;3;3 años;61;J.GROSJEAN;A'CASIÑA;RODRIGUEZ, J.A.;4;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
2-19/07/2012;MARIUS;2;3 años;59;O.O. DE URBINA;LUXEMBURGO;LOPEZ, R.;6;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
2-19/07/2012;OBLA DI;4;3 años;58;E.MELIAN (55);L. Y J.A. ALONSO;RODRIGUEZ, O.;5;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
2-19/07/2012;SAMSARA;5;3 años;56,5;M.GOMES;BRAZACORTA;VILLARTA, G.;8;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
2-19/07/2012;GHOST;6;3 años;55,5;A.GOMEZ;ENALTO;LOPEZ, R.;7;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
2-19/07/2012;SILENT HAB;7;3 años;55,5;R,RAMOS (56);ROMALU;RECIO, B.;2;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
2-19/07/2012;SPARTA;8;3 años;55,5;N.GARCIA;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;3;Hipódromo LA ZARZUELA;1800;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3-19/07/2012;INDIAN DRUMS (USA);1;4 años;62;V.JANACEK;POPULAR;ARIZKORRETA, G.;2;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
3-19/07/2012;PENDENCIERO (USA);5;5 años;59;J.GROSJEAN;LA PAZ;RODRIGUEZ, J.A.;1;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
3-19/07/2012;ALFRED;4;6 años;56;J.M.SANCHEZ C (54);CIELO DE MADRID;RODRIGUEZ, O.;6;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
3-19/07/2012;NESKA (GB);2;4 años;56;R.HUAYAS;GONZALO HERNANDO-ABOIN;CARRASCO, A.;4;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
3-19/07/2012;DAVAY (USA);3;4 años;54;N.GARCIA;LUIS ALBERTO NUÑEZ;RODRIGUEZ, J.A.;7;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
3-19/07/2012;UN MONDE;7;4 años;53;A.GOMEZ;ALISARES;SANCHEZ C., A.;5;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
3-19/07/2012;GAMBERRO (IRE);6;4 años;52;C.CAZALIS;ZEBRA;FERNANDEZ R., J.C.;3;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4-19/07/2012;PATRICIO (GB);7;5 años;62;R.RAMOS;PEÑARROYA;GALLIPOLI, C.;3;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;SUDAFRICANA HAB (GB);9;4 años;62;D,DIEZ (60);TADI;DIEZ, D;8;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;CALDERETA;3;4 años;60;F.JIMENEZ;DONDE VAMOS;AVIAL, R.;5;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;LUCCIOLE LOL (FR);4;3 años;59;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;7;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;MALKOVA (FR);2;4 años;59;J.GROSJEAN;YUDAKOVA;RODRIGUEZ, J.A.;2;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;AGALA CANARIAS (IRE);8;3 años;58;M.SECCI;ENTREAMIGOS;AUGELLI, M.;4;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;MASSYAF (IRE);5;4 años;55;A.GOMEZ;ALISARES;SANCHEZ C., A.;10;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;HANDSOME HUGO;1;4 años;52;M.GOMES;AIBRUN;RECIO, B.;6;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;SHARP EYE;6;4 años;52;S.BERMEJO (51);LAS AGUILAS;URBINA, P.R.;1;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
4-19/07/2012;OKANDA;10;5 años;50;SRTA GUTIERREZ,A.(47)(B.Roja);LAS AGUILAS;URBINA, P.R.;9;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5-19/07/2012;MEDESIDE (IRE)(6000);99;6 años;67;SRTA TENA,C. (63);IGUELDO;ROSELL, J.C.;2;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;FLASH VAL(6000);3;4 años;66;SRTA CARDO,B. (62);REZA PAZOOKI;RODRIGUEZ, F.;9;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;LIBRETRASTO(6000);7;4 años;66;SR SARABIA,D.;RIO CUBAS;SARABIA, D.;6;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;MAKAAMEN (GB)(6000);6;6 años;66;SR CARMENA,M.;DANIEL ROSET;CALLEJO S., T;4;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;SMASHER (FR)(8000);2;7 años;65,5;SR MARTIN A,R.;KAELA;MARTIN V., R.;8;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;BELATE(10000);4;4 años;64,5;SR SANTAMARIA,J.A. (60,5);CARBIAL;BORREGO R , J. M.;7;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;CHITON(6000);8;4 años;64;SR DE JULIAN,N. (62);FRANCISCO DE JULIAN;RODRIGUEZ, J.A.;1;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;EL AFRICANO(6000);5;5 años;64;SRTA GALVEZ,G. (60);LAS AGUILAS;URBINA, P.R.;5;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
5-19/07/2012;VODKA LEMON (GB)(6000);1;4 años;62,5;SR AGUILERA,R.;MADELAINE;HUAYAS, R.;3;Hipódromo LA ZARZUELA;1600;ARENA-FIBRA
