ID;CABALLO;;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_21-07-2012;BANBU (6,000);;4;63;SR. GREDILLA, P.(ESP);ALBERO;J. C. FERNANDEZ;2;Hipódromo Costa de Sol;1200;ARENA-FIBRA
1_21-07-2012;DIXLESIO (IRE) (6,000);;4;63;SR. MARTIN, R.(ESP);RIAS BAIXAS;R. LOPEZ;4;;;
1_21-07-2012;JORDAN WATER (6,000);;5;63;SR. SARABIA, D.(ESP);SAYAGO;G. ARIZCORRETA;3;;;
1_21-07-2012;NOT SO BRIGHT (USA) (6,000);;4;63;SR. ENNIS,M.(GB) (64);CASTILLO DE CHARETA;B. RAMA;5;;;
1_21-07-2012;THE BELONGER (USA)(6,000);;5;63;SR. PEREGO, F.(ITY);LISSELAN FARMS;A. R. ACOSTA;1;;;
;;;;;;;;;;;
ID;CABALLO;;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;;;
2_21-07-2012;LAAZEM(IRE);;5;63;SR. BENITEZ, D. (61);HNOS. GARCIA Y VEGA;O. ANAYA;5;;;
2_21-07-2012;LINIBERTO(GB);;7;61;SR. GREDILLA, P. (59);LA SETA DE CUBILLAS;G. ARIZKORRETA;4;;;
2_21-07-2012;BLAISE TOWER(GB);;6;58;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;1;;;
2_21-07-2012;ALHAPRINCE (IRE);;8;57;I. LOPEZ;LABERINTO;R. AON;2;;;
2_21-07-2012;VRAIZEM;;4;53;A. GOMEZ;TURF LA GARE;R. LOPEZ;3;;;
2_21-07-2012;VICTOR'S BET;;3;53;G. CARTER (53);BETVICTOR;P. HALEY;6;;;
;;;;;;;;;;;
ID;CABALLO;;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;;;
3_21-07-2012;ESGUES;;3;58;J. GROSJEAN;LA SUECA;J. C. LOPERA;6;;;
3_21-07-2012;COCO PALM;;3;56;I. LOPEZ;M & K RACING;B. RAMA;2;;;
3_21-07-2012;EXPATBET(GB);;3;55;G. CARTER;BETVICTOR;P. HALEY;1;;;
3_21-07-2012;SINDARITA;;3;55;J. L. MARTINEZ;BETICO;M. ALVAREZ;7;;;
3_21-07-2012;BLADE RUNNER;;3;54;V. JANACEK (55);RACHAEL TEASDALE RACING;J. L.EYRE;9;;;
3_21-07-2012;EUROPAMPLONA;;3;54;A. GOMEZ;LA LONGUERA;J. C.MARTINEZ;5;;;
3_21-07-2012;ESTRELLITA DIBEL;;3;53;S. BERMEJO (51,5);RIISIO;J. C.MARTINEZ;4;;;
3_21-07-2012;LUISIANNA;;3;53;D. DELGADO (54,5);JOLAM;J. C. MARTINEZ;3;;;
;;;;;;;;;;;
ID;CABALLO;;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;;;
4_21-07-2012;BOUQUETOT BELLE (USA);;4;62;I. LOPEZ;LISSELAN FARMS;A. R.ACOSTA;3;;;
4_21-07-2012;CAPTAIN BLUEBIRD (IRE);;5;62;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;9;;;
4_21-07-2012;AROUSA;;5;60;J. GROSJEAN;PEREIRA S.A.T.;J. C. LOPERA;2;;;
4_21-07-2012;COVELO;;7;60;D. DELGADO (B.B.);PEREIRA S.A.T.;J. C. LOPERA;10;;;
4_21-07-2012;OTTAWA;;5;58;J. L. MARTINEZ;Y. CORTIÑAL;J. C. FERNANDEZ;7;;;
4_21-07-2012;EL LOLO(IRE);;6;58;S. BERMEJO (56);EL LOBO;O. ANAYA;6;;;
4_21-07-2012;NUBIA;;4;58;J. CROCQUEVIEILLE;NANINA;J. CALDERON;1;;;
4_21-07-2012;FORNELLS(IRE);;3;56;V. JANACEK;MEDITERRANEO;G. ARIZCORRETA;4;;;
4_21-07-2012;OLINA;;5;53;G. CARTER;KINGS RACING;B. RAMA;5;;;
4_21-07-2012;MISS CORONITA;;4;52;A. GOMEZ (B.R.);EL LOBO;O. ANAYA;8;;;
;;;;;;;;;;;
ID;CABALLO;;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;;;
5_21-07-2012;BLACKBERRY BOY(IRE);;8;61;G. CARTER;SUNSHINE RACING;P. HALEY;5;;;
5_21-07-2012;PORQUENOTECALLAS(IRE);;6;61;J. CROCQUEVIEILLE;AFRICA;J. M. OSORIO;6;;;
5_21-07-2012;RAAMI(GB);;5;61;SR. SARABIA, D.;RIO CUBAS;O. ANAYA;4;;;
5_21-07-2012;SEMINOLE CRY(USA);;7;61;J. L. MARTINEZ;CARRERAS INT.;J. L. EYRE;2;;;
5_21-07-2012;WHISTLEINTHEWIND (IRE);;5;61;V. JANACEK;NANINA;J. CALDERON;1;;;
5_21-07-2012;BURNING LIGHT (IRE);;5;59;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;3;;;
