ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_28-07-2012;GOLDING BOY(FR);5;2;57;D. DELGADO;HELPING HAND REAL ESTATE;J. C. LOPERA;3;Hipódromo Costa del Sol.;1400;ARENA
1_28-07-2012;SANTUZZO;4;2;57;E. MELIAN;CELANOVA;J. A. RODRIGUEZ;5;Hipódromo Costa del Sol.;1400;ARENA
1_28-07-2012;ARTESA (GB);1;2;55,5;J. GROSJEAN;BLOKE;J. A. RODRIGUEZ;2;Hipódromo Costa del Sol.;1400;ARENA
1_28-07-2012;MAMBIS (IRE);3;2;55,5;O. O. DE URBINA;RIAS BAIXAS;R. LOPEZ;4;Hipódromo Costa del Sol.;1400;ARENA
1_28-07-2012;PETITE VISION;2;2;55,5;A. GOMEZ;LA SUECA;J. C. LOPERA;6;Hipódromo Costa del Sol.;1400;ARENA
1_28-07-2012;POTCAKE BOY(FR);6;2;55;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;1;Hipódromo Costa del Sol.;1400;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_28-07-2012;BURNING LIGHT(IRE);7;5;62;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;1;Hipódromo Costa del Sol.;2100;ARENA
2_28-07-2012;MALKOVA (FR);2;4;60;J. GROSJEAN;YUDAKOVA;J. A. RODRIGUEZ;2;Hipódromo Costa del Sol.;2100;ARENA
2_28-07-2012;DELIRADA;5;4;59;D. DELGADO;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;8;Hipódromo Costa del Sol.;2100;ARENA
2_28-07-2012;MUNRO'S DRAGON(GB);3;3;57;V. JANACEK;TINERFE;J. CALDERON;6;Hipódromo Costa del Sol.;2100;ARENA
2_28-07-2012;AGALA CANARIAS(IRE);6;3;55,5;M. SECCI;ENTRE AMIGOS;M. AUGELLI;5;Hipódromo Costa del Sol.;2100;ARENA
2_28-07-2012;OLINA;4;5;54;G. CARTER;KINGS RACING;B. RAMA;4;Hipódromo Costa del Sol.;2100;ARENA
2_28-07-2012;MEARI(ARG);1;5;54;C. FERNANDEZ;MI VIEJITA;J. C. FERNANDEZ;3;Hipódromo Costa del Sol.;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_28-07-2012;BYRON BABY (IRE);1;3;57;I. LOPEZ;M & K RACING;B. RAMA;4;Hipódromo Costa del Sol.;1600;ARENA
