;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1-7/07/2012;ALBUR (GB);1;4;62;J. CROCQUEVIEILLE;AFRICA;J. M.OSORIO;5;Hipódromo Costa del Sol.;2000;ARENA
1-7/07/2012;COVELO;5;7;62;I. LOPEZ;PEREIRA S.A.T.;J. C. LOPERA;6;Hipódromo Costa del Sol.;2000;ARENA
1-7/07/2012;DELIRADA;2;4;57;R. H. HUAYAS;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;8;Hipódromo Costa del Sol.;2000;ARENA
1-7/07/2012;DROP RISK(FR);99;9;56;S. MARTIN;JOLAM;O. ANAYA;1;Hipódromo Costa del Sol.;2000;ARENA
1-7/07/2012;OLINA;4;5;55;J. E. JARCOVSKY(56);KINGS RACING;B. RAMA;3;Hipódromo Costa del Sol.;2000;ARENA
1-7/07/2012;MISS CORONITA;3;4;53;A. GOMEZ;EL LOBO;O. ANAYA;4;Hipódromo Costa del Sol.;2000;ARENA
1-7/07/2012;BUEN VIAJE;99;5;50;S. BERMEJO (51);NUEVE DE JULIO;R. AON;2;Hipódromo Costa del Sol.;2000;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2-7/07/2012;BILBO (FR) (8.000);2;5;64,5;SRTA. BURGUEÑO, V.(60,5);RIO AULENCIA;G.ARIZCORRETA;4;Hipódromo Costa del Sol.;1600;ARENA
2-7/07/2012;BANBU (6.000);3;4;62,5;SR. SOTO, A.;ALBERO;J. C. FERNANDEZ;1;Hipódromo Costa del Sol.;1600;ARENA
2-7/07/2012;BARKING (IRE) (6.000);99;4;62,5;SR. SARABIA, D.;B.P. SAN MATEO;O. ANAYA;3;Hipódromo Costa del Sol.;1600;ARENA
2-7/07/2012;BOUQUETOT KING (IRE);6;4;62,5;SR. MARTIN, L.(60,5);LISSELAN FARMS;A. R. ACOSTA;5;Hipódromo Costa del Sol.;1600;ARENA
2-7/07/2012;DIXLESIO (IRE) (6.000);4;4;62,5;SR. DE JULIAN, N;RIAS BAIXAS;R. LOPEZ;7;Hipódromo Costa del Sol.;1600;ARENA
2-7/07/2012;LAAZEM(IRE) (6.000);1;5;62,5;SR. BENITEZ, D.;HNOS. GARCIA Y VEGA;O. ANAYA;6;Hipódromo Costa del Sol.;1600;ARENA
2-7/07/2012;PIPPA SNUDGE(IRE)(6000);5;3;59;SR. CARMENA, M.(60);SUNSHINE RACING;P. HALEY;2;Hipódromo Costa del Sol.;1600;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3-7/07/2012;JORDAN WATER;1;5;68;SR. GREDILLA, P. (66);SAYAGO;G. ARIZCORRETA;1;Hipódromo Costa del Sol.;2000;ARENA
3-7/07/2012;COQUETA;8;4;62;J. GROSJEAN;COLISA;J. A. RODRIGUEZ;4;Hipódromo Costa del Sol.;2000;ARENA
3-7/07/2012;FABIELLO (GB);4;4;61;I. LOPEZ;MARTEL SANCHEZ;O. ANAYA;2;Hipódromo Costa del Sol.;2000;ARENA
3-7/07/2012;MISSIN;3;6;60;J. E. JARCOVSKY;KINGS RACING;B. RAMA;3;Hipódromo Costa del Sol.;2000;ARENA
3-7/07/2012;DELLA BEND(FR);6;4;58;A. GOMEZ;JIMENA;B. RAMA;7;Hipódromo Costa del Sol.;2000;ARENA
3-7/07/2012;SINGAPORE GUY(FR);7;6;58;F. JIMENEZ A.;CELSO MENDEZ;M. ALVAREZ;6;Hipódromo Costa del Sol.;2000;ARENA
3-7/07/2012;EXPATBET(GB);2;3;56;G. CARTER;BETVICTOR;P. HALEY;8;Hipódromo Costa del Sol.;2000;ARENA
3-7/07/2012;BOUQUETOT BELLE (USA);5;4;56;S. MARTIN;LISSELAN FARMS;A. R.ACOSTA;5;Hipódromo Costa del Sol.;2000;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4-7/07/2012;BYRON BABY (IRE);3;3;57;I. LOPEZ;M & K RACING;B. RAMA;9;Hipódromo Costa del Sol.;1400;ARENA
4-7/07/2012;CALITXO;1;3;57;G. CARTER (B. B.);M & K RACING;B. RAMA;1;Hipódromo Costa del Sol.;1400;ARENA
4-7/07/2012;EUROPAMPLONA;7;3;57;SR. DE JULIAN, N (54);LA LONGUERA;J. C. MARTINEZ;3;Hipódromo Costa del Sol.;1400;ARENA
4-7/07/2012;CANELA FINA;4;3;55,5;A. GOMEZ;SOÑADOR;J. SALGUERO;6;Hipódromo Costa del Sol.;1400;ARENA
4-7/07/2012;DEYANIRA(GB);5;3;55,5;J. CROCQUEVIEILLE;DUQUE DE ALBURQUERQUE;J. M. OSORIO;4;Hipódromo Costa del Sol.;1400;ARENA
4-7/07/2012;REAL TIGRESS(IRE);2;3;55,5;M. SECCI;BETVICTOR;G. ARIZCORRETA;5;Hipódromo Costa del Sol.;1400;ARENA
4-7/07/2012;EAGRET (POR);10;3;55;J. E. JARCOVSKY (56);MILD WEST;J. CALDERON;12;Hipódromo Costa del Sol.;1400;ARENA
4-7/07/2012;GUICHO;99;3;55;M. GOMES;DIMAR;T. MARTINS;8;Hipódromo Costa del Sol.;1400;ARENA
