ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_14-06-2012;OHCAPTAINMYCAPTAIN (FR);5;3 años;58;J.L.BORREGO;SAN MARCIAL;BORREGO, J.M.;4;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_14-06-2012;LA NAVA;4;3 años;57,5;F.JIMENEZ;BRAZACORTA;VILLARTA, G.;5;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_14-06-2012;ARKADIN (IRE);2;3 años;57;J.CROCQUEVIEILLE;IGUELDO;ROSELL, J.C.;2;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_14-06-2012;GASPARIÑO;1;3 años;57;J.GROSJEAN;LUIS ALBERTO NUÑEZ;RODRIGUEZ, J.A.;3;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_14-06-2012;MONA LISA;3;3 años;55,5;M.SECCI;CELSO MENDEZ;MARTIN V., R.;1;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_14-06-2012;LE FEU DU CIEL (FR);1;6 años;70;SR GREDILLA,P. (68);SAYAGO;ARIZKORRETA, G.;4;Hipódromo LA ZARZUELA;2300;ARENA-FIBRA
2_14-06-2012;MADRUGAR (FR);5;8 años;62;J.GROSJEAN;PADRONESA;RODRIGUEZ, J.A.;6;Hipódromo LA ZARZUELA;2300;ARENA-FIBRA
2_14-06-2012;ILUSIONISTA;2;6 años;60;A.GOMEZ;ODISEA;GOMEZ, I.;3;Hipódromo LA ZARZUELA;2300;ARENA-FIBRA
2_14-06-2012;ZARIEVICH NUÑEZ (IRE);6;5 años;59;V.JANACEK;LUIS ALBERTO NUÑEZ;RODRIGUEZ, J.A.;1;Hipódromo LA ZARZUELA;2300;ARENA-FIBRA
2_14-06-2012;ALFRED;3;6 años;57;J.M.SANCHEZ C. (55);CIELO DE MADRID;RODRIGUEZ, O.;5;Hipódromo LA ZARZUELA;2300;ARENA-FIBRA
2_14-06-2012;ILLUNBE (FR);4;3 años;54,5;J.CROCQUEVIEILLE (B.Roja);CIELO DE MADRID;RODRIGUEZ, O.;2;Hipódromo LA ZARZUELA;2300;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
