ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_11-03-2012;ABLITAS;14;3 años;57;O.O.DE URBINA;LUXEMBURGO;LOPEZ, R.;1;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;BELAGUA (IRE);7;3 años;57;V.JANACEK;QUINTO REAL;ARIZKORRETA, G.;13;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;CHATARRILLA (FR);3;3 años;57;F.JIMENEZ;EL REMO;CARRASCO, A.;10;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;GAELICA;10;3 años;57;S.BERMEJO (54);AREVACOS;CARRASCO, A.;7;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;GANDARA (FR);6;3 años;57;J.HORCAJADA;MAURICIO DELCHER SANCHEZ;DELCHER S., M.;12;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;HELLO SNOW;2;3 años;57;A.ACHARD;BLOKE;RODRIGUEZ, J.A.;5;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;KETALA (FR);1;3 años;57;M.SECCI;LAC INTERNACIONAL;LOPEZ, J.;6;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;KIASIDE;12;3 años;57;J.GROSJEAN;SAFSAF;LEON, E;2;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;LULU;11;3 años;57;J.L.BORREGO;YEGUADA AGF;ARIZKORRETA, G.;4;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;MONA LISA;9;3 años;57;R.RAMOS;CELSO MENDEZ;MARTIN V., R.;11;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;SIXTEEN ROSES (GB);5;3 años;57;J.L.MARTINEZ;DE GRANA Y ORO;MARTINEZ, J.L;14;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;SPARTA;8;3 años;57;E.MELIAN (54);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;3;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;TENDENCIA;13;3 años;57;A.GOMEZ (55)(B.Blanca);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;9;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;TERMANCIA (IRE);4;3 años;57;J.C.CERQUEIRA;VILLARTA;VILLARTA, G.;8;Hipódromo LA ZARZUELA;1600;HIERBA
1_11-03-2012;ZISTAN (USA);99;3 años;57;J.CROCQUEVIEILLE;YEGUADA SAN ISIDRO;SALAS, J.L. DE;15;Hipódromo LA ZARZUELA;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_11-03-2012;ALUVION;7;3 años;57;J.C.CERQUEIRA;SAN JOSE;RODRIGUEZ, J.A.;13;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;BLANTOR (IRE);9;3 años;57;R.RAMOS;E. PEREZ GUZMAN;MARTIN V., R.;5;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;BLUE RIBBON;13;3 años;57;M.GOMES;LAS AGUILAS;VILLARTA, G.;8;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;BRINDOS (GB);8;3 años;57;J.L.BORREGO;SANTA BARBARA;ARIZKORRETA, G.;12;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;CIRDAN (GB);99;3 años;57;J.M.SANCHEZ C. (54);MIRANDA;DELCHER S., M.;3;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;FORNELLS (IRE);10;3 años;57;V.JANACEK;MEDITERRANEO;ARIZKORRETA, G.;7;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;GARABULLO;5;3 años;57;J.HORCAJADA;RIO CUBAS;FERNANDEZ R., J.C.;4;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;GWENDAL;6;3 años;57;M.BORREGO;JIMENA;SANCHEZ C., A.;9;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;JOKAN (FR);3;3 años;57;O.O. DE URBINA;SALVADOR ELIZONDO TEKNICA;LOPEZ, J.;6;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;KADMIOS (FR);1;3 años;57;J.L.MARTINEZ;NAKATA;MARTINEZ, J.L;1;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;MIGUEL ANGEL (GB);12;3 años;57;J.CROCQUEVIEILLE;ASOC. USSIA-HINOJOSA;SALAS, J.L. DE;11;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;RIKY ROCK (IRE);2;3 años;57;A.ACHARD;BLOKE;RODRIGUEZ, J.A.;2;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;SECONDLIFE;11;3 años;57;J.GROSJEAN;SAFSAF;DELCHER S., M.;10;Hipódromo LA ZARZUELA;1600;HIERBA
2_11-03-2012;TORERO HAB;4;3 años;57;F.JIMENEZ;GONZALO HERNANDO-ABOIN;CARRASCO, A.;14;Hipódromo LA ZARZUELA;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_11-03-2012;CASAR (IRE);4;4 años;62;J.M.SANCHEZ C (60);MEDREAL;DELCHER S., M.;12;Hipódromo LA ZARZUELA;2200;HIERBA
3_11-03-2012;FRANCESCO CARA (FR);7;4 años;62;J.GROSJEAN;SANTA BARBARA;CALLEJO S., T;6;Hipódromo LA ZARZUELA;2200;HIERBA
3_11-03-2012;LIONEL STAR (FR);9;4 años;61;J.L.BORREGO;LOS HIERROS;PEREZ, M.J.;9;Hipódromo LA ZARZUELA;2200;HIERBA
3_11-03-2012;PORQUENOTECALLAS (IRE);8;6 años;61;J.CROCQUEVIEILLE;AFRICA;OSORIO, J.M.;1;Hipódromo LA ZARZUELA;2200;HIERBA
3_11-03-2012;CALAMARGO (IRE);6;5 años;60;V.JANACEK;JIMENA;SANCHEZ, A.F.;8;Hipódromo LA ZARZUELA;2200;HIERBA
