ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_27-05-2012;BRISEIDA;5;2 años;57;J.L.BORREGO;LOS TONELES;RODRIGUEZ, F.;6;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;COLLIO SIDE;7;2 años;57;J.HORCAJADA;SAFSAF;DELCHER S., M.;4;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;COTONIO;3;2 años;57;M.SECCI;ONE;PEREZ, M.J.;3;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;DAGOBERTO;1;2 años;57;V.JANACEK;NANINA;CALLEJO S,T.;7;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;HELFA DE ROUS;2;2 años;57;O.O. DE URBINA;YEGUADA GONZALEZ CARO;LOPEZ, R.;8;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;LUZ DE MAR;9;2 años;57;R.RAMOS;RIBAMONTAN;SANCHEZ, A.F.;9;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;PEARLSIDE (FR);4;2 años;57;J.GROSJEAN (B.Roja);SAFSAF;DELCHER S., M.;5;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;SERGI SWING;6;2 años;57;B.FAYOS;BLOKE;RODRIGUEZ, J.A.;1;Hipódromo LA ZARZUELA;1000;HIERBA
1_27-05-2012;VRAIFOL;8;2 años;57;J.CROCQUEVIEILLE;CIELO DE MADRID;RODRIGUEZ, O.;2;Hipódromo LA ZARZUELA;1000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_27-05-2012;ARIETE ARROLLADOR (GB);99;5 años;59;J.L.BORREGO;ALBERO;ARIZKORRETA, G.;5;Hipódromo LA ZARZUELA;1600;HIERBA
2_27-05-2012;AS DE TREBOL (USA);3;6 años;59;B.FAYOS;CHICAGO;DELCHER S., M.;6;Hipódromo LA ZARZUELA;1600;HIERBA
2_27-05-2012;VOLCANICO (IRE);2;4 años;59;J.GROSJEAN;LOS TONELES;RODRIGUEZ, F.;2;Hipódromo LA ZARZUELA;1600;HIERBA
2_27-05-2012;BELLASIDE (IRE);5;5 años;57,5;A.GOMEZ;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;4;Hipódromo LA ZARZUELA;1600;HIERBA
2_27-05-2012;RISQUILLO (FR);4;6 años;57;F.JIMENEZ;EL RISQUILLO;CARRASCO, A.;3;Hipódromo LA ZARZUELA;1600;HIERBA
2_27-05-2012;WESTSTOW (GB);1;4 años;57;J.CROCQUEVIEILLE;VIGURIA;OSORIO, J.M.;1;Hipódromo LA ZARZUELA;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_27-05-2012;VEGA DE CASTILLA (IRE);1;7 años;62;M.GOMES;STAND CARMO;AUGELLI, M.;8;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;BOMBAY CANALLA;10;4 años;62;J.HORCAJADA;MG RACING;PEREZ, M.J.;10;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;KEITY;8;4 años;61;R.HUAYAS;EL TRISQUEL;HUAYAS, R.;6;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;GREEN NIGHT (IRE);6;4 años;60;J.E.JARCOVSKY;LAS AGUILAS;URBINA, P.R.;9;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;BABOSO NOV (ARG);3;7 años;60;M.SECCI;SONIA FERNANDES;SANTOS, F.;1;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;CHIEF KEY (GB);9;4 años;60;V.JANACEK;CANTER;AUGELLI, M.;3;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;LUTHJET;4;6 años;60;S.BERMEJO (58) (B.Roja);LAS AGUILAS;URBINA, P.R.;7;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;VETONIA (IRE);2;3 años;59;R.RAMOS;EL SWING;RECIO, B.;11;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;PEDREÑA;11;5 años;58;C.FERNANDEZ (56);HISPANICA;FERNANDEZ R., J.C.;4;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;BLANTOR (IRE);7;3 años;55;A.GOMEZ;E. PEREZ GUZMAN;MARTIN V., R.;5;Hipódromo LA ZARZUELA;1500;HIERBA
3_27-05-2012;JUNKAL;5;6 años;51;J.M,.SANCHEZ C (49);GRAFIMAR;SANCHEZ, A.F.;2;Hipódromo LA ZARZUELA;1500;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_27-05-2012;AS DE THOMAS (GB);9;6 años;62;S.BERMEJO (60);CUATRO JOTAS;RECIO, B.;11;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;BLACK DIBEL (GB);1;4 años;62;J.E.JARCOVSKY;LABERINTO;AON, R.;1;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;FLASH VAL;7;4 años;62;V.JANACEK;REZA PAZOOKI;RODRIGUEZ, F.;10;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;HAPPY FEW (GB);8;4 años;61;A.GOMEZ;ODISEA;GOMEZ, I.;9;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;VIVA A FRANCA (USA);10;4 años;61;B.FAYOS;YEGUADA CORTIÑAL;BORREGO R , J. M.;8;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;CAÑADIO (IRE);3;5 años;60;J.L.MARTINEZ;HISPANICA;FERNANDEZ R., J.C.;4;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;CATTIVA (FR);12;3 años;60;O.O. DE URBINA;DI BENISICHI;LOPEZ, J.;3;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;FEARSIDE;6;3 años;59;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;6;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;NOVA FLAG (FR);11;4 años;59;R.RAMOS;COSTA LA VALL;RECIO, B.;12;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;ALHAPRINCE (IRE);2;8 años;57;J.M.SANCHEZ C.(55)(B.Blanca);LABERINTO;AON, R.;5;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;UN MONDE;5;4 años;55;M.SECCI;ALISARES;SANCHEZ C., A.;7;Hipódromo LA ZARZUELA;1500;HIERBA
4_27-05-2012;ALBUR (GB);4;4 años;54;J.CROCQUEVIEILLE (54,5);AFRICA;OSORIO, J.M.;2;Hipódromo LA ZARZUELA;1500;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_27-05-2012;BARAÑAIN;10;3 años;57;M.BORREGO;DOSANGELES;SANCHEZ, A.F.;7;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;BELAGUA (IRE);7;3 años;57;J.L.BORREGO;QUINTO REAL;ARIZKORRETA, G.;8;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;CHATARRILLA (FR);11;3 años;57;F.JIMENEZ;EL REMO;CARRASCO, A.;5;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;IUNE (USA);4;3 años;57;J.HORCAJADA;MADROÑOS;DELCHER S., M.;9;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;KETALA (FR);8;3 años;57;M.SECCI;LAC INTERNACIONAL;LOPEZ, J.;1;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;MARMARA;6;3 años;57;A.GOMEZ;ODISEA;GOMEZ, I.;3;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;NONALASS;5;3 años;57;O.O. DE URBINA;CHAMARTIN;VALENTI, B.;10;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;OPIKKOPI;1;3 años;57;V.JANACEK;USSIA-FIGUEROA;ARIZKORRETA, G.;11;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;POMPOM COEUR;3;3 años;57;J.CROCQUEVIEILLE;SAFSAF;RODRIGUEZ, F.;6;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;SHE RULES (FR);9;3 años;57;B.FAYOS;ZURRAQUIN;HERNANDEZ,M.;4;Hipódromo LA ZARZUELA;2200;HIERBA
5_27-05-2012;SPORTSIDE (IRE);2;3 años;57;J.GROSJEAN (B.Roja);SAFSAF;DELCHER S., M.;2;Hipódromo LA ZARZUELA;2200;HIERBA
;;;;;;;;;;;
