ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_18-08-2014;AMAIA(GB);6;2;57;V.JANACEK;C.USSIA-FIGUEROA;G.ARIZKORRETA;5;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;BABY ALE(FR);99;2;57;A.GUTIERREZ;C.Y AHORA QUE;A.GUTIERREZ;3;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;GOLFA;5;2;57;J.B.HAMEL;C.ROBER;R.AVIAL;2;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;MELEA(FR);3;2;57;G.MADERO;C.ALISARES;A.IMAZ C;7;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;MISS SIDNEY(FR);4;2;57;J.L.MARTINEZ;JOSETTE SARTI;A.IMAZ C;6;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;ROCHO;1;2;57;B.FAYOS;C.PAGANINI;T.CALLEJO;8;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;SUNSUNA(GB);2;2;57;R.C.MONTENEGRO;C.SAN MARCIAL;J.M.BORREGO;9;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;ASTURIA(GER);8;2;55;M.SECCI;C.ROBLEDAL;S.VIDAL;4;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_18-08-2014;KAYENNE(FR);7;2;55;J.CROCQUEVIEILLE(B.r.);C.ROBLEDAL;S.VIDAL;1;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_18-08-2014;TAKAR(IRE);6;5;60;J.L.BORREGO;C.DI BENISICHI;F.RODRIGUEZ;2;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
2_18-08-2014;TIO LUIS(IRE);1;4;60;J.L.MARTINEZ;C.SAN JULIO;J.L.MAROTO;5;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
2_18-08-2014;VALLILA(GB);2;3;58,5;B.FAYOS;C.TRES MALAGUEÑAS;O.ANAYA;4;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
2_18-08-2014;DEEP SHADOW(IRE);99;3;58;J.B.HAMEL;C.ALISARES;A.IMAZ C;7;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
2_18-08-2014;MICKEY(GER);3;4;58;R.SOUSA;C.CARBALLOP;J.C.FERNANDEZ;6;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
2_18-08-2014;CHECO;4;3;56;V.JANACEK;C.POPULAR;G.ARIZKORRETA;8;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
2_18-08-2014;MIND(GB);5;3;56;J.GROSJEAN;C.ALBERO;G.ARIZKORRETA;1;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
2_18-08-2014;SARAH BERRY(GB);7;5;55,5;G.MADERO;BENTON GOODBRAND;L.PHILLIPS;3;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_18-08-2014;ABDEL(FR);1;6;58;J.CROCQUEVIEILLE;DQ.DE ALBURQUERQUE;J.M.OSORIO;11;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;BROOKLYN BOWL(USA);3;4;58;F.X.BERTRAS;B. VAN DALFSEN;F.ROHAUT;8;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;COMPLIMENTOR(IRE);99;4;58;Jim MARTIN;PRIME EQUESTRIAAN SARL;X.THOMAS;5;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;MIL AZUL;10;6;58;R.SOUSA;Y.URDIN-ORIYA;E.LEON;2;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;TOTXO(IRE);2;6;58;R.C.MONTENEGRO;C.ROBER;R.AVIAL;9;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;ITAQUI;9;4;56,5;J.GROSJEAN;Y.MILITAR;J.P.ESPINOSA;4;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;KETALA(IRE);4;5;56,5;B.FAYOS;C.EL FARGUE;J.L.MAROTO;3;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;MADRILEÑA;5;4;56,5;V.JANACEK;C.POPULAR;G.ARIZKORRETA;1;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;VAUNOISE(IRE);7;4;56,5;J.B.EYQUEM;G.AUGUSTIN NORMAND;J.C.ROUGET;7;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;DANI WALLON(FR);6;3;55,5;J.L.MARTINEZ;C.BLOKE;C.DELCHER;10;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_18-08-2014;EMPERORS SONG(IRE);8;3;55,5;J.B.HAMEL;CELSO MENDEZ;T.CALLEJO;6;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_18-08-2014;TUBAL(GB);7;4;62;SR.AGUILERA R. (60);Y.BALBAS ALONSO;E.PUENTE;3;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_18-08-2014;AMBAR(FR);5;3;61;V.JANACEK;C.CANTER;M.AUGELLI;10;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_18-08-2014;LEPIC(FR);2;5;58;M.SECCI;C.DI BENISICHI;F.RODRIGUEZ;1;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_18-08-2014;CHAIMAN;4;4;57;I.BORREGO;C.CAPRI;F.SILVA;8;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_18-08-2014;CROQUANTINE(FR);9;4;55;A.J.GRATEROL (54);Y.ESCALONA;M.ALONSO;6;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_18-08-2014;SINAN;3;6;54;R.C.MONTENEGRO;C.ROBER;R.AVIAL;4;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
4_18-08-2014;BAMBOLA;8;5;53;J.L.BORREGO (54,5);C.CALEJAÑA;D.LOPEZ F;7;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
