ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_15-12-2013;CAPTAIN MOONLITE (IRE);1;2;59;J. HORCAJADA;MARTEL SANCHEZ;RAMA, B.;6;Gran Hipódromo de Andalucía;1500;HIERBA
1_15-12-2013;EL VIEJO GAUCHO;2;2;59;J.L. MARTINEZ;JOSE SIMO;CALDERON, J.;8;Gran Hipódromo de Andalucía;1500;HIERBA
1_15-12-2013;HUERTA GRANDE (FR);7;2;58;F. JIMENEZ A.;CELSO MENDEZ;ALVAREZ, M.;5;Gran Hipódromo de Andalucía;1500;HIERBA
1_15-12-2013;COMANCHERO;5;2;57;R. RAMOS;LA VICTORIA;RODRIGUEZ., J.A.;4;Gran Hipódromo de Andalucía;1500;HIERBA
1_15-12-2013;LA MILAGROSA (FR);6;2;56,5;V. JANACEK;ODISEA;GOMEZ, I.;3;Gran Hipódromo de Andalucía;1500;HIERBA
1_15-12-2013;POLGAR;3;2;56,5;J.E. JARCOVSKY;COMANSI;FERNANDEZ R., J.C.;1;Gran Hipódromo de Andalucía;1500;HIERBA
1_15-12-2013;DAM DAM;4;2;55,5;M. GOMES;SEVILLA;CALDERON, J.;7;Gran Hipódromo de Andalucía;1500;HIERBA
1_15-12-2013;VALE DI ROSA (GB);8;2;55,5;J. CROCQUEVIEILLE;DI ROSA;CERQUEIRA., J.C;2;Gran Hipódromo de Andalucía;1500;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_15-12-2013;ANGEL MELODY (FR);1;7;64;SR. SARABIA, D.;RIO CUBAS;ANAYA, O.;8;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;CRACK;4;4;63;SRTA. RODRIGUEZ, G. (61);PINEDA;CALDERON, J.;4;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;RIDGE CITY (IRE);8;6;62;SR. SOTO, A.;LABERINTO;GOMEZ, G.;5;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;ALHAPRINCE (IRE);7;9;61;SR. RAMIREZ, A. (60);GUAYCURU;NIKANEN., K.;6;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;CALABAZAS (FR);3;3;61;SR. GELABERT, J. (57);ODISEA;GOMEZ, I.;3;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;EL AFRICANO;6;6;61;SR. ALONSO, A.;LAS AGUILAS;IVANOVA, E.;10;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;MONTEAGUDO EBRO (IRE);5;5;61;SR. DE JULIAN, N.;NANINA;CALDERON, J.;9;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;ANGEL ART (FR);10;8;60;SRTA. DA COSTA, J. (56);RANCHO PILAR;OLGADO, E.;7;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;ASSIZES (GB);2;4;60;SR. BENITEZ, D.;TINERFE;ANAYA, O.;1;Gran Hipódromo de Andalucía;1600;HIERBA
2_15-12-2013;LEO;9;4;60;SRTA. BUESA, C.;LAC INTERNACIONAL;LOPEZ, J.;2;Gran Hipódromo de Andalucía;1600;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_15-12-2013;ALABARDA;7;3;62;J. HORCAJADA;IL PADRINO;LOPEZ, J.;6;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;MAGIC POMMIER (GB);3;3;62;R. RAMOS;LOS NIÑOS;SALGUERO, J.;4;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;LEY DE LEYES (FR);10;5;61;J.J. SALGUERO (59);SOÑADOR;SALGUERO, J.;11;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;BALABINDU;2;3;60;R. SOUSA (58);C.D.E. CIBELES;HERNANDEZ, M.;9;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;CIRDAN (GB);5;4;60;J. CROCQUEVIEILLE;HERMANOS GUART-XATRUC;CERQUEIRA., J.C;1;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;DELLA BEND (FR);1;5;60;V. JANACEK;JIMENA;RAMA, B.;2;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;DISPARATE;6;3;60;J.L. MARTINEZ;NANINA;CALDERON, J.;10;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;ILLIZMIT (FR);4;8;60;M. GOMES;OS COISAS DOCES (POR);PEREIRA, H.;5;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;GAMBERRO (IRE);9;5;57;J.E. JARCOVSKY;ZEBRA;RODRIGUEZ, J.A.;7;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;LEADER LADY;8;6;50;SR. GELABERT, J. (47);LAS AGUILAS;IVANOVA, E.;8;Gran Hipódromo de Andalucía;2100;HIERBA
3_15-12-2013;TABUYANA;11;4;50;A. GUTIERREZ B. (47) (B. Roja);LAS AGUILAS;IVANOVA, E.;3;Gran Hipódromo de Andalucía;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_15-12-2013;BOTTEGA (USA);4;6;66;SR. BENITEZ, D.(64);RIO CUBAS;ANAYA, O.;2;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;SUKARRIETA;2;4;60;V. JANACEK;ATERPE;ARIZKORRETA, G.;9;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;GIGGOLO STAR;3;4;59;J. HORCAJADA;MAGAÑA;FERNANDEZ R., J.C.;4;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;PENDENCIERO (USA);5;6;59;J. CROCQUEVIEILLE;LA PAZ;RODRIGUEZ, J.A.;5;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;BLACKBERRY BOY (IRE);6;9;57;F. JIMENEZ A.;SUNSHINE RACING;HALEY, P.;3;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;MARENGO;9;3;57;R. RAMOS;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;10;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;MARIA FELIZ (GB);7;3;56;S. BERMEJO (54);REZA PAZOOKI;RODRIGUEZ, F.;7;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;POMPOM COEUR;10;4;54;M. GOMES;EL POSTIGO;CALDERON, J.;6;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;NEW PARADE;8;3;52;R.SOUSA (52,5);EL NEGREDO;MARTINS, T;8;Gran Hipódromo de Andalucía;2100;HIERBA
4_15-12-2013;RAMALLAH;1;5;52;SR. GELABERT, J. (49);AREVACOS;GELABERT, B.;1;Gran Hipódromo de Andalucía;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_15-12-2013;CAMURAY;1;8;59;J.L. MARTINEZ;GRUPO BOLAÑOS GRAN CA;LEON, E;2;Gran Hipódromo de Andalucía;1000;HIERBA
5_15-12-2013;CAÑADIO (IRE);5;6;58;J. HORCAJADA;HISPANICA;FERNANDEZ R., J.C.;3;Gran Hipódromo de Andalucía;1000;HIERBA
5_15-12-2013;DEVIL BLACK;4;3;58;A. GOMEZ;LA ESPIGA;GOMEZ, I.;5;Gran Hipódromo de Andalucía;1000;HIERBA
