ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_27-01-2013;DEVIL BLACK;1;3;57;A. GOMEZ;LA ESPIGA;GOMEZ, I.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1_27-01-2013;TENIENTE DREBIN;4;3;57;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1_27-01-2013;SOLIMAN;5;3;56;F. JIMENEZ;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1_27-01-2013;BRISEIDA;2;3;55,5;V. JANACEK;LOS TONELES;RODRIGUEZ, F.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1_27-01-2013;SUNAMI;3;3;55,5;J. HORCAJADA;COLISA;RODRIGUEZ, J.A.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_27-01-2013;CORCUBION;2;8;60;A. GOMEZ;PEREIRA S.A.T.;LOPERA, J.C.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_27-01-2013;VICTOR'S BET;1;4;60;O.O. DE URBINA;BETVICTOR;HALEY, P.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_27-01-2013;DESEADO;7;4;58;E. MELIAN (55);SUREÑA;RODRIGUEZ, J.A.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_27-01-2013;GALILEUS;6;4;58;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_27-01-2013;PANISIDE;4;4;58;S. BERMEJO (55);DI BENISICHI;RODRIGUEZ, F.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_27-01-2013;CAMURAY;8;8;56;F.JIMENEZ;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_27-01-2013;ARIZA;3;6;55,5;V. JANACEK;LUZERPALHA (POR-ESP);MARTINS, T;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
2_27-01-2013;FEARSIDE;5;4;54,5;M. GOMES;SAFSAF;RODRIGUEZ, F.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_27-01-2013;ANGLE DROIT (FR);2;7;62;J.E. JARCOVSKY;DA SILVA (SPA);MARTINS, T;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;FLASH VAL;9;5;62;S. BERMEJO (60);REZA PAZOOKI;RODRIGUEZ, F.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;NOVA GLITER;99;5;61;V. SANCHEZ (59);QUINTA DOS MOINHOS;OLIVEIRA, L.A.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;CUDON (IRE);5;5;60;V. JANACEK;ENTREAMIGOS;AUGELLI, M.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;ILLIZMIT (FR);4;8;60;J. CROCQUEVIEILLE;LAS CADENAS;LOPERA, J.C.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;BOUQUETOT BELLE (USA);1;5;54;M. GOMES;LISSELAN FARMS;ACOSTA, A.R;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;MERLIN;6;4;54;R.RAMOS (56);LOS NIÑOS;SALGUERO, J.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;LA NAVA;3;4;52;E. MELIAN;SUREÑA;RODRIGUEZ, J.A.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;SPECTRUM'S CHILD (IRE);7;8;50;M. SECCI (52,5);LAS AGUILAS;GUTIERREZ, A.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3_27-01-2013;SONOLONGO;8;5;50;J.M. SANCHEZ C. (49,5);SONOS DA BAIXA LIMIA;SALGUERO, J.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_27-01-2013;JORDAN WATER;1;6;66;SRTA. BUESA, C. (64);SAYAGO;ARIZKORRETA, G.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;FINLEY CONNOLLY (IRE);5;4;62;J.L. BORREGO;AMIGA;ALVAREZ, M.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;DEL COSSA (FR);6;5;60;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;PICHUCA (GB);3;5;60;J.E. JARCOVSKY;LABERINTO;GOMEZ, G.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;CHIRIVITO (FR);2;5;59;O.O. DE URBINA;UNIVERSAL MERCHAN;LOPEZ, J.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;COCO PALM;8;4;59;V. JANACEK;M & K RACING;RAMA, B.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;ESQUIO;7;6;59;A. GOMEZ;PEREIRA S.A.T.;LOPERA, J.C.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;LEPIC (FR);10;4;58;S. BERMEJO (56);DI BENISICHI;RODRIGUEZ, F.;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;DRACO;9;7;55;SRTA. LOPEZ L., D.;LOPEZ VALLADARES;LOPEZ L, D.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;MONSAGRO;4;6;54;F. JIMENEZ (55);LA GITANA;HIDALGO, J.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;DELLA BEND (FR);11;5;54;E. MELIAN (52);JIMENA;RAMA, B.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4_27-01-2013;LISSELAN GRACE (IRE);12;6;53;M.GOMES;GUAYCURU;ACOSTA, A.R;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_27-01-2013;ANGEL MELODY (FR);4;7;57;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5_27-01-2013;DON FERNANDO HAB;3;5;57;J.E. JARCOVSKY;VADILLO;CARRASCO, A.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
