ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_21/07/2013;HELY DE MARCO(FR);99;2;58;J.HORCAJADA;C.REMOLINA;A.REMOLINA;3;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_21/07/2013;VIRIMOON(FR);1;2;56,5;G.MADERO;C.ALISARES;A.IMAZ C;4;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_21/07/2013;FAFEL;2;2;56;J.L.MARTINEZ (B.roja);C.REMOLINA;A.REMOLINA;1;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_21/07/2013;TUERGANO;4;2;56;J.B.HAMEL;C.ROBER;R.AVIAL;2;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_21/07/2013;ALCARA DU BARDET;3;2;54,5;V.JANACEK;C.LEZAMA;A.LEZAMA;5;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_21/07/2013;RANYAN;3;4;63;J.L.MARTINEZ;C.AGRADO;T.CALLEJO;3;HIPODROMO DE SAN SEBASTIAN;3000;HIERBA
2_21/07/2013;GALIPOLI(FR);5;4;62;V.JANACEK;C.SAN RAFAEL;T.CALLEJO;1;HIPODROMO DE SAN SEBASTIAN;3000;HIERBA
2_21/07/2013;FARO DE MONCLOA;4;4;56;O.O.DE URBINA;C.LE CLUB;J.LOPEZ;4;HIPODROMO DE SAN SEBASTIAN;3000;HIERBA
2_21/07/2013;TSARABI(IRE);1;8;55;G.MADERO;C.EVA;A.IMAZ C;5;HIPODROMO DE SAN SEBASTIAN;3000;HIERBA
2_21/07/2013;SENTENCE;2;4;53;M.SECCI;C.FINCA CAS SANT;G.ARIZKORRETA;2;HIPODROMO DE SAN SEBASTIAN;3000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_21/07/2013;CELTIC ROCK(GB);1;4;59;J.L.MARTINEZ;C.HABIT;J.C.FERNANDEZ;1;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
3_21/07/2013;BILADI(FR);5;4;58;A.GOMEZ;ROBERTO COCHETEUX;J.M.OSORIO;6;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
3_21/07/2013;ROATAN(GB);4;8;58;G.MADERO;C.ULIA;A.IMAZ C;3;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
3_21/07/2013;AVANTE(GB);2;4;56;J.CROQUEVIEILLE;C.AFRICA;J.M.OSORIO;4;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
3_21/07/2013;IBANHUI(IRE);6;4;56;C.A.LOAIZA;C.ROBER;R.AVIAL;2;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
3_21/07/2013;PHUKET;3;4;56;O.O.DE URBINA;MARIA DE SALAS;A.REMOLINA;5;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_21/07/2013;BEAT THE WIND(IRE);3;5;62;J.HORCAJADA;C.REMOLINA;A.REMOLINA;1;HIPODROMO DE SAN SEBASTIAN;2200;HIERBA
