ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_1-09-2013;FAFEL;99;2;57;J.L.MARTINEZ;C.REMOLINA;A.REMOLINA;3;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_1-09-2013;HOLY IRELAND;1;2;57;J.CROCQUEVIEILLE;C.TIZIANO;J.L.MAROTO;2;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_1-09-2013;TUERGANO;3;2;57;M.SECCI;C.ROBER;R.AVIAL;4;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_1-09-2013;JELGABA;2;2;55,5;R.C.MONTENEGRO;Y.MILITAR;J.P.ESPINOSA;5;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
1_1-09-2013;POR FIN;4;2;55;V.JANACEK;C.USSIA-FIGUEROA;G.ARIZKORRETA;1;HIPODROMO DE SAN SEBASTIAN;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_1-09-2013;JORDAN WATER;4;6;67;SRTA.BUESA C. (SPA);C.SAYAGO;G.ARIZKORRETA;2;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
2_1-09-2013;CRACK;3;4;63;SRTA.SLAMANIG M. (AUS);Y.DONOSTIARRA;S.VIDAL;4;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
2_1-09-2013;PASIEGA(IRE);2;4;61,5;SRTA.MARCIALIS J. (ITY);C.ROBER;R.AVIAL;6;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
2_1-09-2013;SUSPIRON(IRE);1;4;61;SRTA.GUENET B. (FR);C.MAF;G.ARIZKORRETA;1;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
2_1-09-2013;CAUPOLICAN(FR);6;3;57;SRTA.GELABERT L. (SPA);ROBERTO COCHETEUX;J.L.MAROTO;3;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
2_1-09-2013;PUBLICREDIT(IRE);5;3;57;SRTA.LOPEZ D. (SPA);C.ALAI;A.IMAZ B;5;HIPODROMO DE SAN SEBASTIAN;2000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_1-09-2013;MAYO;1;3;62;V.JANACEK;C.USSIA-FIGUEROA;G.ARIZKORRETA;2;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_1-09-2013;VEGA DE CASTILLA(IRE);7;8;62;M.GOMES;STAND CARMO;T.MARTINS;7;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_1-09-2013;CAÑADIO(IRE);4;6;60;J.L.MARTINEZ;C.HISPANICA;J.C.FERNANDEZ;5;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_1-09-2013;ALABAMA;2;5;59;O.ORTIZ DE URBINA;C.MARISOL;J.C.FERNANDEZ;6;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_1-09-2013;DEVIL BLACK;5;3;57;J.CROCQUEVIEILLE;C.LA ESPIGA;I.GOMEZ;3;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_1-09-2013;AL QUEST(IRE);6;3;55;R.C.MONTENEGRO;HERMANOS SILVA;J.M.BORREGO R;4;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
3_1-09-2013;ASHDEUZO(FR);3;7;54;C.A.LOAIZA (52);Y.BALBAS ALONSO;E.PUENTE;1;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_1-09-2013;SIDRA(FR);6;5;62;M.GOMES;C.SEGAIR;A.SANCHEZ C;5;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;VANITY FAIR;4;3;60;O.ORTIZ DE URBINA;C.ASTURLEÑA;J.LOPEZ;3;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;URDAZURI;2;4;60;M.SECCI;C.ERNIO;M.ALONSO;2;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;SECRET SPOT;8;3;59;R.RAMOS;C.CALEJAÑA;D.LOPEZ F;1;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;TIRA PALANTE;3;3;59;R.C.MONTENEGRO;C.ROBER;R.AVIAL;4;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;VRAIVITA;7;4;59;J.CROCQUEVIEILLE;C.EL SABLE;E.PUENTE;10;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;MATXOTE;99;3;57;J.CARBALLO;C.LAGUNILLA;A.SANCHEZ M;6;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;DIAMOND BEAT(IRE);9;4;54;V.JANACEK;C.KOTARRO;A.SANCHEZ C;9;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;LA MORAÑA;1;9;53;A.GUTIERREZ B. (50);Y.BALBAS ALONSO;E.PUENTE;7;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
4_1-09-2013;MAYDRIT SANTOS;5;5;52;C.A.LOAIZA;C.HOTELES SANTOS;E.PUENTE;8;HIPODROMO DE SAN SEBASTIAN;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_1-09-2013;TAKAR(IRE);3;4;60;O.ORTIZ DE URBINA;C.DI BENISICHI;F.RODRIGUEZ;5;HIPODROMO DE SAN SEBASTIAN;1200;HIERBA
