ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_05-09-2013;CHACARITA;1;3 años;62;V.JANACEK;ALBERO;ARIZKORRETA, G.;5;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_05-09-2013;NESKA (GB);4;5 años;61,5;J.E.JARCOVSKY;AREVACOS;CARRASCO, A.;4;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_05-09-2013;BALABINDU;6;3 años;59;J.CROCQUEVIEILLE;CDE CIBELES;HERNANDEZ, M.;1;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_05-09-2013;LUISIANNA;2;4 años;58,5;R.RAMOS;MADELAINE;HUAYAS, R.;7;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_05-09-2013;GAMBERRO (IRE);5;5 años;57,5;M.GOMES;ZEBRA;DIEZ, D;6;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_05-09-2013;LA NAVA;7;4 años;57,5;M.A.NARVAEZ (55,5);LA VICTORIA;RODRIGUEZ, J.A.;2;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_05-09-2013;LUCCIOLE LOL (FR);3;4 años;57,5;M.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;3;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_05-09-2013;DIXLESIO (IRE);2;5 años;63;M.A.NARVAEZ (61);RIAS BAIXAS;RODRIGUEZ, O.;6;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
2_05-09-2013;INDIAN DRUMS (USA);1;5 años;59;SRTA BUESA,C. (57);ZUL;ARIZKORRETA, G.;1;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
2_05-09-2013;SUPERBONI (FR);4;5 años;56;SR LABORDE,P. (53);CRUCEÑA;LOPEZ, J.;4;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
2_05-09-2013;MITRA;3;3 años;55,5;S.BERMEJO (53,5);REZA PAZOOKI;RODRIGUEZ, F.;2;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
2_05-09-2013;MARENGO;7;3 años;53,5;M.GOMES;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;7;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
2_05-09-2013;SANTUZZO;6;3 años;53,5;J.M.SANCHEZ C. (51,5);CALVENTE CHECA;RODRIGUEZ, J.A.;3;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
2_05-09-2013;CHATARRILLA (FR);5;4 años;52;E.MELIAN;CELSO MENDEZ;CARRASCO, A.;5;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
